signal_date,entry_date,exit_date,ticker,entry_adjusted_close,exit_adjusted_close,adjusted_close_interval_ready,source_quality,adjustment_policy,blocked_reason,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2015-04-30,2015-05-04,2015-05-11,2316,,,false,blocked_no_accepted_adjusted_close_source,adjusted_close_not_fabricated,no_local_adjusted_cache_for_required_p1_dates; yahoo_chart_http_429; stooq_js_verification_block; finmind_taiwanstockpriceadj_free_level_blocked,0,false,false,false,false,false,false,false,true,false
2015-10-08,2015-10-12,2015-10-19,6143,,,false,blocked_no_accepted_adjusted_close_source,adjusted_close_not_fabricated,no_local_adjusted_cache_for_required_p1_dates; yahoo_chart_http_429; stooq_js_verification_block; finmind_taiwanstockpriceadj_free_level_blocked,0,false,false,false,false,false,false,false,true,false
2015-10-16,2015-10-19,2015-10-26,8433,,,false,blocked_no_accepted_adjusted_close_source,adjusted_close_not_fabricated,no_local_adjusted_cache_for_required_p1_dates; yahoo_chart_http_429; stooq_js_verification_block; finmind_taiwanstockpriceadj_free_level_blocked,0,false,false,false,false,false,false,false,true,false
2016-02-26,2016-03-01,2016-03-07,3324,,,false,blocked_no_accepted_adjusted_close_source,adjusted_close_not_fabricated,no_local_adjusted_cache_for_required_p1_dates; yahoo_chart_http_429; stooq_js_verification_block; finmind_taiwanstockpriceadj_free_level_blocked,0,false,false,false,false,false,false,false,true,false
2017-02-03,2017-02-06,2017-02-13,3346,,,false,blocked_no_accepted_adjusted_close_source,adjusted_close_not_fabricated,no_local_adjusted_cache_for_required_p1_dates; yahoo_chart_http_429; stooq_js_verification_block; finmind_taiwanstockpriceadj_free_level_blocked,0,false,false,false,false,false,false,false,true,false
2017-05-12,2017-05-15,2017-05-22,1569,,,false,blocked_no_accepted_adjusted_close_source,adjusted_close_not_fabricated,no_local_adjusted_cache_for_required_p1_dates; yahoo_chart_http_429; stooq_js_verification_block; finmind_taiwanstockpriceadj_free_level_blocked,0,false,false,false,false,false,false,false,true,false
2017-10-27,2017-10-30,2017-11-06,6121,,,false,blocked_no_accepted_adjusted_close_source,adjusted_close_not_fabricated,no_local_adjusted_cache_for_required_p1_dates; yahoo_chart_http_429; stooq_js_verification_block; finmind_taiwanstockpriceadj_free_level_blocked,0,false,false,false,false,false,false,false,true,false
2017-11-24,2017-11-27,2017-12-04,6573,,,false,blocked_no_accepted_adjusted_close_source,adjusted_close_not_fabricated,no_local_adjusted_cache_for_required_p1_dates; yahoo_chart_http_429; stooq_js_verification_block; finmind_taiwanstockpriceadj_free_level_blocked,0,false,false,false,false,false,false,false,true,false
2018-03-16,2018-03-19,2018-03-26,6150,,,false,blocked_no_accepted_adjusted_close_source,adjusted_close_not_fabricated,no_local_adjusted_cache_for_required_p1_dates; yahoo_chart_http_429; stooq_js_verification_block; finmind_taiwanstockpriceadj_free_level_blocked,0,false,false,false,false,false,false,false,true,false
2018-06-08,2018-06-11,2018-06-19,3090,,,false,blocked_no_accepted_adjusted_close_source,adjusted_close_not_fabricated,no_local_adjusted_cache_for_required_p1_dates; yahoo_chart_http_429; stooq_js_verification_block; finmind_taiwanstockpriceadj_free_level_blocked,0,false,false,false,false,false,false,false,true,false
2018-06-29,2018-07-02,2018-07-09,8163,,,false,blocked_no_accepted_adjusted_close_source,adjusted_close_not_fabricated,no_local_adjusted_cache_for_required_p1_dates; yahoo_chart_http_429; stooq_js_verification_block; finmind_taiwanstockpriceadj_free_level_blocked,0,false,false,false,false,false,false,false,true,false
2019-12-06,2019-12-09,2019-12-16,8040,,,false,blocked_no_accepted_adjusted_close_source,adjusted_close_not_fabricated,no_local_adjusted_cache_for_required_p1_dates; yahoo_chart_http_429; stooq_js_verification_block; finmind_taiwanstockpriceadj_free_level_blocked,0,false,false,false,false,false,false,false,true,false
2021-06-18,2021-06-21,2021-06-28,2636,,,false,blocked_no_accepted_adjusted_close_source,adjusted_close_not_fabricated,no_local_adjusted_cache_for_required_p1_dates; yahoo_chart_http_429; stooq_js_verification_block; finmind_taiwanstockpriceadj_free_level_blocked,0,false,false,false,false,false,false,false,true,false
2021-07-09,2021-07-12,2021-07-19,2351,,,false,blocked_no_accepted_adjusted_close_source,adjusted_close_not_fabricated,no_local_adjusted_cache_for_required_p1_dates; yahoo_chart_http_429; stooq_js_verification_block; finmind_taiwanstockpriceadj_free_level_blocked,0,false,false,false,false,false,false,false,true,false
2021-12-30,2022-01-03,2022-01-10,8478,,,false,blocked_no_accepted_adjusted_close_source,adjusted_close_not_fabricated,no_local_adjusted_cache_for_required_p1_dates; yahoo_chart_http_429; stooq_js_verification_block; finmind_taiwanstockpriceadj_free_level_blocked,0,false,false,false,false,false,false,false,true,false
2022-08-12,2022-08-15,2022-08-22,6796,,,false,blocked_no_accepted_adjusted_close_source,adjusted_close_not_fabricated,no_local_adjusted_cache_for_required_p1_dates; yahoo_chart_http_429; stooq_js_verification_block; finmind_taiwanstockpriceadj_free_level_blocked,0,false,false,false,false,false,false,false,true,false
