signal_date,entry_date,exit_date,ticker,entry_adjusted_close_ready,exit_adjusted_close_ready,adjusted_close_interval_ready,blocked_reason,unadjusted_ohlc_comparator_ready,unadjusted_source_quality
2015-04-30,2015-05-04,2015-05-11,2316,False,False,False,missing_selected_stock_adjusted_close_entry_or_exit,True,official_unadjusted_ohlcv_twse_stock_day
2015-10-08,2015-10-12,2015-10-19,6143,False,False,False,missing_selected_stock_adjusted_close_entry_or_exit,True,official_unadjusted_ohlcv_tpex_trading_stock
2015-10-16,2015-10-19,2015-10-26,8433,False,False,False,missing_selected_stock_adjusted_close_entry_or_exit,True,official_unadjusted_ohlcv_tpex_trading_stock
2016-02-26,2016-03-01,2016-03-07,3324,False,False,False,missing_selected_stock_adjusted_close_entry_or_exit,True,official_unadjusted_ohlcv_tpex_trading_stock
2017-02-03,2017-02-06,2017-02-13,3346,False,False,False,missing_selected_stock_adjusted_close_entry_or_exit,True,official_unadjusted_ohlcv_twse_stock_day
2017-05-12,2017-05-15,2017-05-22,1569,False,False,False,missing_selected_stock_adjusted_close_entry_or_exit,True,official_unadjusted_ohlcv_tpex_trading_stock
2017-10-27,2017-10-30,2017-11-06,6121,False,False,False,missing_selected_stock_adjusted_close_entry_or_exit,True,official_unadjusted_ohlcv_tpex_trading_stock
2017-11-24,2017-11-27,2017-12-04,6573,False,False,False,missing_selected_stock_adjusted_close_entry_or_exit,True,official_unadjusted_ohlcv_twse_stock_day
2018-03-16,2018-03-19,2018-03-26,6150,False,False,False,missing_selected_stock_adjusted_close_entry_or_exit,True,official_unadjusted_ohlcv_tpex_trading_stock
2018-06-08,2018-06-11,2018-06-19,3090,False,False,False,missing_selected_stock_adjusted_close_entry_or_exit,True,official_unadjusted_ohlcv_twse_stock_day
2018-06-29,2018-07-02,2018-07-09,8163,False,False,False,missing_selected_stock_adjusted_close_entry_or_exit,True,official_unadjusted_ohlcv_twse_stock_day
2019-12-06,2019-12-09,2019-12-16,8040,False,False,False,missing_selected_stock_adjusted_close_entry_or_exit,True,official_unadjusted_ohlcv_tpex_trading_stock
2021-06-18,2021-06-21,2021-06-28,2636,False,False,False,missing_selected_stock_adjusted_close_entry_or_exit,True,official_unadjusted_ohlcv_twse_stock_day
2021-07-09,2021-07-12,2021-07-19,2351,False,False,False,missing_selected_stock_adjusted_close_entry_or_exit,True,official_unadjusted_ohlcv_twse_stock_day
2021-12-30,2022-01-03,2022-01-10,8478,False,False,False,missing_selected_stock_adjusted_close_entry_or_exit,True,official_unadjusted_ohlcv_twse_stock_day
2022-08-12,2022-08-15,2022-08-22,6796,False,False,False,missing_selected_stock_adjusted_close_entry_or_exit,True,official_unadjusted_ohlcv_twse_stock_day
