ticker,price_date,required_field,variants,impacted_signal_dates,source_requirement,next_owner,official_unadjusted_ohlc_ready,adjusted_close_ready,blocked_reason,attempted_source
2303,2015-07-10,entry_close,I1_replacement_only_hold|I2_deteriorating_incumbent_plus_better_challenger|I3_one_prior_snapshot_confirmation,2015-07-09,bounded selected-ticker official unadjusted daily OHLC,Radar/Data,false,false,official_response_has_no_exact_trading_close_for_requested_ticker_date,TWSE_RWD_STOCK_DAY_then_TPEX_TRADING_STOCK; no_neighbour_date_substitution
2303,2015-07-10,exit_close,I1_replacement_only_hold|I2_deteriorating_incumbent_plus_better_challenger|I3_one_prior_snapshot_confirmation,2015-07-08,bounded selected-ticker official unadjusted daily OHLC,Radar/Data,false,false,official_response_has_no_exact_trading_close_for_requested_ticker_date,TWSE_RWD_STOCK_DAY_then_TPEX_TRADING_STOCK; no_neighbour_date_substitution
2317,2016-03-30,entry_close,I1_replacement_only_hold|I2_deteriorating_incumbent_plus_better_challenger|I3_one_prior_snapshot_confirmation,2016-03-29,bounded selected-ticker official unadjusted daily OHLC,Radar/Data,false,false,official_response_has_no_exact_trading_close_for_requested_ticker_date,TWSE_RWD_STOCK_DAY_then_TPEX_TRADING_STOCK; no_neighbour_date_substitution
2317,2016-03-30,exit_close,I1_replacement_only_hold|I2_deteriorating_incumbent_plus_better_challenger|I3_one_prior_snapshot_confirmation,2016-03-28,bounded selected-ticker official unadjusted daily OHLC,Radar/Data,false,false,official_response_has_no_exact_trading_close_for_requested_ticker_date,TWSE_RWD_STOCK_DAY_then_TPEX_TRADING_STOCK; no_neighbour_date_substitution
2317,2018-10-18,entry_close,I1_replacement_only_hold|I2_deteriorating_incumbent_plus_better_challenger|I3_one_prior_snapshot_confirmation,2018-10-17,bounded selected-ticker official unadjusted daily OHLC,Radar/Data,false,false,official_response_has_no_exact_trading_close_for_requested_ticker_date,TWSE_RWD_STOCK_DAY_then_TPEX_TRADING_STOCK; no_neighbour_date_substitution
2317,2018-10-18,exit_close,I1_replacement_only_hold|I2_deteriorating_incumbent_plus_better_challenger|I3_one_prior_snapshot_confirmation,2018-10-16,bounded selected-ticker official unadjusted daily OHLC,Radar/Data,false,false,official_response_has_no_exact_trading_close_for_requested_ticker_date,TWSE_RWD_STOCK_DAY_then_TPEX_TRADING_STOCK; no_neighbour_date_substitution
2317,2018-10-19,entry_close,I1_replacement_only_hold|I2_deteriorating_incumbent_plus_better_challenger|I3_one_prior_snapshot_confirmation,2018-10-18,bounded selected-ticker official unadjusted daily OHLC,Radar/Data,false,false,official_response_has_no_exact_trading_close_for_requested_ticker_date,TWSE_RWD_STOCK_DAY_then_TPEX_TRADING_STOCK; no_neighbour_date_substitution
2317,2018-10-19,exit_close,I1_replacement_only_hold|I2_deteriorating_incumbent_plus_better_challenger|I3_one_prior_snapshot_confirmation,2018-10-17,bounded selected-ticker official unadjusted daily OHLC,Radar/Data,false,false,official_response_has_no_exact_trading_close_for_requested_ticker_date,TWSE_RWD_STOCK_DAY_then_TPEX_TRADING_STOCK; no_neighbour_date_substitution
2317,2018-10-22,exit_close,I1_replacement_only_hold|I2_deteriorating_incumbent_plus_better_challenger|I3_one_prior_snapshot_confirmation,2018-10-18,bounded selected-ticker official unadjusted daily OHLC,Radar/Data,false,false,official_response_has_no_exact_trading_close_for_requested_ticker_date,TWSE_RWD_STOCK_DAY_then_TPEX_TRADING_STOCK; no_neighbour_date_substitution
2330,2015-09-29,entry_close,I1_replacement_only_hold|I2_deteriorating_incumbent_plus_better_challenger|I3_one_prior_snapshot_confirmation,2015-09-25,bounded selected-ticker official unadjusted daily OHLC,Radar/Data,false,false,official_response_has_no_exact_trading_close_for_requested_ticker_date,TWSE_RWD_STOCK_DAY_then_TPEX_TRADING_STOCK; no_neighbour_date_substitution
2382,2015-09-29,exit_close,I1_replacement_only_hold|I2_deteriorating_incumbent_plus_better_challenger|I3_one_prior_snapshot_confirmation,2015-09-24,bounded selected-ticker official unadjusted daily OHLC,Radar/Data,false,false,official_response_has_no_exact_trading_close_for_requested_ticker_date,TWSE_RWD_STOCK_DAY_then_TPEX_TRADING_STOCK; no_neighbour_date_substitution
