source,period,query_url,method,http_code,content_type,date_field_detected,source_date,holdings_date,row_count,acceptance_decision,retrieved_path,error,notes
Yuanta legacy/API alternative,2016Q1,https://www.yuantafunds.com/ETF/0050,GET,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_54.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2016Q1,https://www.yuantafunds.com/ETF/Download?fundid=1066&date=201603,GET,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_55.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2016Q1,https://www.yuantafunds.com/api/fund/holding?fundid=1066&date=201603,GET,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_56.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2016Q1,https://api.yuantafunds.com/ECAPI/api/ETF/GetHoldStock?fundid=0050&date=2016-03-31,GET,200,text/html,,,,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_57.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2016Q1,https://api.yuantafunds.com/ECAPI/api/ETF/GetHoldStock?fundId=1066&date=2016-03-31,GET,200,text/html,,,,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_58.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2016Q1,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20160331,GET,200,application/json; charset=utf-8,anndate,2016-04-01,2016-04-01,50,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_59.json,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2016Q1,https://etfapi.yuantaetfs.com/ectranslation/api/trans?APIType=ETFBackstage&CompanyName=YUANTAFUNDS&PageName=%2Fproduct%2Fdetail%2F0050%2Fratio&DeviceId=null&FuncId=ETFTag%2FGetProductInformation&AppName=ETF&Device=4&Platform=ETF&stk_cd=0050&date=2016-03-31,GET,200,application/json; charset=utf-8,yyyymm,2026-06,2026-06,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_60.json,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2021Q4,https://www.yuantafunds.com/fund/detail/1066,GET,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_61.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2021Q4,https://www.yuantafunds.com/fund/holding/1066,GET,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_62.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2021Q4,https://www.yuantafunds.com/active/ETF/0050,GET,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_63.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2021Q4,https://www.yuantafunds.com/ETF/0050,GET,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_64.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2021Q4,https://www.yuantafunds.com/ETF/Download?fundid=1066&date=202112,GET,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_65.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2021Q4,https://www.yuantafunds.com/api/fund/holding?fundid=1066&date=202112,GET,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_66.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2021Q4,https://api.yuantafunds.com/ECAPI/api/ETF/GetHoldStock?fundid=0050&date=2021-12-31,GET,200,text/html,,,,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_67.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2021Q4,https://api.yuantafunds.com/ECAPI/api/ETF/GetHoldStock?fundId=1066&date=2021-12-31,GET,200,text/html,,,,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_68.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2021Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20211231,GET,200,application/json; charset=utf-8,anndate,2026-06-30,2026-06-30,50,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_69.json,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2021Q4,https://etfapi.yuantaetfs.com/ectranslation/api/trans?APIType=ETFBackstage&CompanyName=YUANTAFUNDS&PageName=%2Fproduct%2Fdetail%2F0050%2Fratio&DeviceId=null&FuncId=ETFTag%2FGetProductInformation&AppName=ETF&Device=4&Platform=ETF&stk_cd=0050&date=2021-12-31,GET,200,application/json; charset=utf-8,yyyymm,2026-06,2026-06,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_70.json,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2023Q4,https://www.yuantafunds.com/fund/detail/1066,GET,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_71.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2023Q4,https://www.yuantafunds.com/fund/holding/1066,GET,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_72.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2023Q4,https://www.yuantafunds.com/active/ETF/0050,GET,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_73.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2023Q4,https://www.yuantafunds.com/ETF/0050,GET,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_74.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2023Q4,https://www.yuantafunds.com/ETF/Download?fundid=1066&date=202312,GET,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_75.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2023Q4,https://www.yuantafunds.com/api/fund/holding?fundid=1066&date=202312,GET,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_76.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2023Q4,https://api.yuantafunds.com/ECAPI/api/ETF/GetHoldStock?fundid=0050&date=2023-12-31,GET,200,text/html,,,,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_77.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2023Q4,https://api.yuantafunds.com/ECAPI/api/ETF/GetHoldStock?fundId=1066&date=2023-12-31,GET,200,text/html,,,,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_78.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2023Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20231231,GET,200,application/json; charset=utf-8,anndate,2026-06-30,2026-06-30,50,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_79.json,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,2023Q4,https://etfapi.yuantaetfs.com/ectranslation/api/trans?APIType=ETFBackstage&CompanyName=YUANTAFUNDS&PageName=%2Fproduct%2Fdetail%2F0050%2Fratio&DeviceId=null&FuncId=ETFTag%2FGetProductInformation&AppName=ETF&Device=4&Platform=ETF&stk_cd=0050&date=2023-12-31,GET,200,application/json; charset=utf-8,yyyymm,2026-06,2026-06,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_80.json,,current/rolling/date-mismatched rows are not accepted
Yuanta PCF/Daily target-month sweep,2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141201,GET,200,application/json; charset=utf-8,anndate,2014-12-02,2014-12-02,50,accepted,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_81.json,,exact ectranslation/api/bridge PCF/Daily month sweep; accept only when anndate/source_date falls in target month
Yuanta PCF/Daily target-month sweep,2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141202,GET,200,application/json; charset=utf-8,anndate,2014-12-03,2014-12-03,50,accepted,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_82.json,,exact ectranslation/api/bridge PCF/Daily month sweep; accept only when anndate/source_date falls in target month
Yuanta PCF/Daily target-month sweep,2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141203,GET,200,application/json; charset=utf-8,anndate,2014-12-04,2014-12-04,50,accepted,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_83.json,,exact ectranslation/api/bridge PCF/Daily month sweep; accept only when anndate/source_date falls in target month
Yuanta PCF/Daily target-month sweep,2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141204,GET,200,application/json; charset=utf-8,anndate,2014-12-05,2014-12-05,50,accepted,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_84.json,,exact ectranslation/api/bridge PCF/Daily month sweep; accept only when anndate/source_date falls in target month
Yuanta PCF/Daily target-month sweep,2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141205,GET,200,application/json; charset=utf-8,anndate,2014-12-08,2014-12-08,50,accepted,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_85.json,,exact ectranslation/api/bridge PCF/Daily month sweep; accept only when anndate/source_date falls in target month
Yuanta PCF/Daily target-month sweep,2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141206,GET,200,application/json; charset=utf-8,anndate,2026-06-30,2026-06-30,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_86.json,,exact ectranslation/api/bridge PCF/Daily month sweep; accept only when anndate/source_date falls in target month
Yuanta PCF/Daily target-month sweep,2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141207,GET,200,application/json; charset=utf-8,anndate,2026-06-30,2026-06-30,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_87.json,,exact ectranslation/api/bridge PCF/Daily month sweep; accept only when anndate/source_date falls in target month
Yuanta PCF/Daily target-month sweep,2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141208,GET,200,application/json; charset=utf-8,anndate,2014-12-09,2014-12-09,50,accepted,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_88.json,,exact ectranslation/api/bridge PCF/Daily month sweep; accept only when anndate/source_date falls in target month
Yuanta PCF/Daily target-month sweep,2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141209,GET,200,application/json; charset=utf-8,anndate,2014-12-10,2014-12-10,50,accepted,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_89.json,,exact ectranslation/api/bridge PCF/Daily month sweep; accept only when anndate/source_date falls in target month
Yuanta PCF/Daily target-month sweep,2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141210,GET,200,application/json; charset=utf-8,anndate,2014-12-11,2014-12-11,50,accepted,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_90.json,,exact ectranslation/api/bridge PCF/Daily month sweep; accept only when anndate/source_date falls in target month
Yuanta PCF/Daily target-month sweep,2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141211,GET,200,application/json; charset=utf-8,anndate,2014-12-12,2014-12-12,50,accepted,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_91.json,,exact ectranslation/api/bridge PCF/Daily month sweep; accept only when anndate/source_date falls in target month
Yuanta PCF/Daily target-month sweep,2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141212,GET,200,application/json; charset=utf-8,anndate,2014-12-15,2014-12-15,50,accepted,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_92.json,,exact ectranslation/api/bridge PCF/Daily month sweep; accept only when anndate/source_date falls in target month
