candidate_type,page_url,candidate_url,method,params_tested,http_code,content_type,row_count,acceptance_decision,retrieved_path,error,notes
sitca_link_or_guessed_handler,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,https://www.sitca.org.tw/Common/popcalendarfordata.htm?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,GET,"{""YEAR"": ""2014"", ""MONTH"": ""12"", ""fund"": ""1066"", ""fundid"": ""1066"", ""code"": ""0050""}",200,text/html,0,no_rows_or_not_holdings_handler,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_5.html,,not accepted unless target-date holdings table is parsed
sitca_link_or_guessed_handler,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,https://www.sitca.org.tw/Common/popcalendarfordata.htm?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,GET,"{""YEAR"": ""2016"", ""MONTH"": ""03"", ""fund"": ""1066"", ""fundid"": ""1066"", ""code"": ""0050""}",200,text/html,0,no_rows_or_not_holdings_handler,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_6.html,,not accepted unless target-date holdings table is parsed
sitca_link_or_guessed_handler,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,https://www.sitca.org.tw/ROC/Industry/IN2421.ashx?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,GET,"{""YEAR"": ""2014"", ""MONTH"": ""12"", ""fund"": ""1066"", ""fundid"": ""1066"", ""code"": ""0050""}",200,text/html,0,no_rows_or_not_holdings_handler,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_7.html,,not accepted unless target-date holdings table is parsed
sitca_link_or_guessed_handler,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,https://www.sitca.org.tw/ROC/Industry/IN2421.ashx?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,GET,"{""YEAR"": ""2016"", ""MONTH"": ""03"", ""fund"": ""1066"", ""fundid"": ""1066"", ""code"": ""0050""}",200,text/html,0,no_rows_or_not_holdings_handler,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_8.html,,not accepted unless target-date holdings table is parsed
sitca_link_or_guessed_handler,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,GET,"{""YEAR"": ""2014"", ""MONTH"": ""12"", ""fund"": ""1066"", ""fundid"": ""1066"", ""code"": ""0050""}",200,text/html; charset=utf-8,0,no_rows_or_not_holdings_handler,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_9.html,,not accepted unless target-date holdings table is parsed
sitca_link_or_guessed_handler,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,GET,"{""YEAR"": ""2016"", ""MONTH"": ""03"", ""fund"": ""1066"", ""fundid"": ""1066"", ""code"": ""0050""}",200,text/html; charset=utf-8,0,no_rows_or_not_holdings_handler,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_10.html,,not accepted unless target-date holdings table is parsed
sitca_link_or_guessed_handler,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,https://www.sitca.org.tw/ROC/Industry/IN2421CSV.aspx?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,GET,"{""YEAR"": ""2014"", ""MONTH"": ""12"", ""fund"": ""1066"", ""fundid"": ""1066"", ""code"": ""0050""}",200,text/html,0,no_rows_or_not_holdings_handler,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_11.html,,not accepted unless target-date holdings table is parsed
sitca_link_or_guessed_handler,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,https://www.sitca.org.tw/ROC/Industry/IN2421CSV.aspx?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,GET,"{""YEAR"": ""2016"", ""MONTH"": ""03"", ""fund"": ""1066"", ""fundid"": ""1066"", ""code"": ""0050""}",200,text/html,0,no_rows_or_not_holdings_handler,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_12.html,,not accepted unless target-date holdings table is parsed
sitca_link_or_guessed_handler,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,https://www.sitca.org.tw/ROC/Industry/IN2421Excel.aspx?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,GET,"{""YEAR"": ""2014"", ""MONTH"": ""12"", ""fund"": ""1066"", ""fundid"": ""1066"", ""code"": ""0050""}",200,text/html,0,no_rows_or_not_holdings_handler,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_13.html,,not accepted unless target-date holdings table is parsed
sitca_link_or_guessed_handler,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,https://www.sitca.org.tw/ROC/Industry/IN2421Excel.aspx?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,GET,"{""YEAR"": ""2016"", ""MONTH"": ""03"", ""fund"": ""1066"", ""fundid"": ""1066"", ""code"": ""0050""}",200,text/html,0,no_rows_or_not_holdings_handler,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_14.html,,not accepted unless target-date holdings table is parsed
