source,period,url,retrieved_path,content_type,http_status,sha256,bytes,notes
sitca_handler_candidate,2016Q1,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_10.html,text/html; charset=utf-8,200,373edbce3eecf11e32590d135e762fc7ddccc3bd04bdefd0d5beb0696a4cce46,116235,bounded candidate handler probe
sitca_handler_candidate,2014Q4,https://www.sitca.org.tw/ROC/Industry/IN2421CSV.aspx?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_11.html,text/html,200,ea54d522e8eeecff4dd95c8f6b91e2dedbb316514467829e73797cb9dc3441f1,534,bounded candidate handler probe
sitca_handler_candidate,2016Q1,https://www.sitca.org.tw/ROC/Industry/IN2421CSV.aspx?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_12.html,text/html,200,ea54d522e8eeecff4dd95c8f6b91e2dedbb316514467829e73797cb9dc3441f1,534,bounded candidate handler probe
sitca_handler_candidate,2014Q4,https://www.sitca.org.tw/ROC/Industry/IN2421Excel.aspx?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_13.html,text/html,200,ea54d522e8eeecff4dd95c8f6b91e2dedbb316514467829e73797cb9dc3441f1,534,bounded candidate handler probe
sitca_handler_candidate,2016Q1,https://www.sitca.org.tw/ROC/Industry/IN2421Excel.aspx?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_14.html,text/html,200,ea54d522e8eeecff4dd95c8f6b91e2dedbb316514467829e73797cb9dc3441f1,534,bounded candidate handler probe
sitca_handler_candidate,2014Q4,https://www.sitca.org.tw/ROC/Industry/IN2421Print.aspx?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_15.html,text/html,200,ea54d522e8eeecff4dd95c8f6b91e2dedbb316514467829e73797cb9dc3441f1,534,bounded candidate handler probe
sitca_handler_candidate,2016Q1,https://www.sitca.org.tw/ROC/Industry/IN2421Print.aspx?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_16.html,text/html,200,ea54d522e8eeecff4dd95c8f6b91e2dedbb316514467829e73797cb9dc3441f1,534,bounded candidate handler probe
sitca_handler_candidate,2014Q4,https://www.sitca.org.tw/ROC/Industry/IN2421_Download.ashx?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_17.html,text/html,200,ea54d522e8eeecff4dd95c8f6b91e2dedbb316514467829e73797cb9dc3441f1,534,bounded candidate handler probe
sitca_handler_candidate,2016Q1,https://www.sitca.org.tw/ROC/Industry/IN2421_Download.ashx?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_18.html,text/html,200,ea54d522e8eeecff4dd95c8f6b91e2dedbb316514467829e73797cb9dc3441f1,534,bounded candidate handler probe
sitca_handler_candidate,2014Q4,https://www.sitca.org.tw/ROC/Industry/IN2421_Download.aspx?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_19.html,text/html,200,ea54d522e8eeecff4dd95c8f6b91e2dedbb316514467829e73797cb9dc3441f1,534,bounded candidate handler probe
sitca_handler_candidate,2016Q1,https://www.sitca.org.tw/ROC/Industry/IN2421_Download.aspx?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_20.html,text/html,200,ea54d522e8eeecff4dd95c8f6b91e2dedbb316514467829e73797cb9dc3441f1,534,bounded candidate handler probe
sitca_handler_candidate,2014Q4,https://www.sitca.org.tw/ROC/Industry/IN2421_Excel.aspx?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_21.html,text/html,200,ea54d522e8eeecff4dd95c8f6b91e2dedbb316514467829e73797cb9dc3441f1,534,bounded candidate handler probe
sitca_handler_candidate,2016Q1,https://www.sitca.org.tw/ROC/Industry/IN2421_Excel.aspx?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_22.html,text/html,200,ea54d522e8eeecff4dd95c8f6b91e2dedbb316514467829e73797cb9dc3441f1,534,bounded candidate handler probe
