period,source,source_date,holdings_date,ticker,name,weight,source_type,formal_exact,evidence_quality,parser_status,notes
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,5130,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7694,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7707,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7712,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7718,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7721,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7725,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7727,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7729,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7740,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7749,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7752,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7755,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7760,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7764,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7766,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7779,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7784,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7797,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7800,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/detail/1066,2026-05,2026-05,7803,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/holding/1066,2026-05,2026-05,5130,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/holding/1066,2026-05,2026-05,7694,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/holding/1066,2026-05,2026-05,7707,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/holding/1066,2026-05,2026-05,7712,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/holding/1066,2026-05,2026-05,7718,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/holding/1066,2026-05,2026-05,7721,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/holding/1066,2026-05,2026-05,7725,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/holding/1066,2026-05,2026-05,7727,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/holding/1066,2026-05,2026-05,7729,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/holding/1066,2026-05,2026-05,7740,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/holding/1066,2026-05,2026-05,7749,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/holding/1066,2026-05,2026-05,7752,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/holding/1066,2026-05,2026-05,7755,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/holding/1066,2026-05,2026-05,7760,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/holding/1066,2026-05,2026-05,7764,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
2014Q4,https://www.yuantafunds.com/fund/holding/1066,2026-05,2026-05,7766,,,yuanta_legacy_alternative,false,date_missing_or_mismatch,parsed_from_response,not accepted unless target date matches
