period,source,source_date,holdings_date,ticker,name,weight,source_type,formal_exact,evidence_quality,matched_evidence
2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141201,2014-12-02,2014-12-02,2330,台積電,,source_backed_manual_candidate,false,target_month_matched_yuanta_pcf_daily,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_81.json#2330
2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141201,2014-12-02,2014-12-02,2317,鴻海,,source_backed_manual_candidate,false,target_month_matched_yuanta_pcf_daily,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_81.json#2317
2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141201,2014-12-02,2014-12-02,2454,聯發科,,source_backed_manual_candidate,false,target_month_matched_yuanta_pcf_daily,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_81.json#2454
2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141201,2014-12-02,2014-12-02,2882,國泰金,,source_backed_manual_candidate,false,target_month_matched_yuanta_pcf_daily,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_81.json#2882
2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141201,2014-12-02,2014-12-02,2308,台達電,,source_backed_manual_candidate,false,target_month_matched_yuanta_pcf_daily,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_81.json#2308
2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141201,2014-12-02,2014-12-02,1303,南亞,,source_backed_manual_candidate,false,target_month_matched_yuanta_pcf_daily,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_81.json#1303
2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141201,2014-12-02,2014-12-02,2881,富邦金,,source_backed_manual_candidate,false,target_month_matched_yuanta_pcf_daily,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_81.json#2881
2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141201,2014-12-02,2014-12-02,2412,中華電,,source_backed_manual_candidate,false,target_month_matched_yuanta_pcf_daily,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_81.json#2412
2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141201,2014-12-02,2014-12-02,1301,台塑,,source_backed_manual_candidate,false,target_month_matched_yuanta_pcf_daily,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_81.json#1301
2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141201,2014-12-02,2014-12-02,2002,中鋼,,source_backed_manual_candidate,false,target_month_matched_yuanta_pcf_daily,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_pcf_daily_sweep_phase8_2014Q4_81.json#2002
