source,source_family,period,query_url,method,params,http_code,content_type,date_field_detected,source_date,holdings_date,row_count,acceptance_decision,retrieved_path,error,notes
Yuanta legacy/API alternative,yuanta_legacy_alternative,2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/trans?APIType=ETFBackstage&CompanyName=YUANTAFUNDS&PageName=%2Fproduct%2Fdetail%2F0050%2Fratio&DeviceId=null&FuncId=ETFTag%2FGetProductInformation&AppName=ETF&Device=4&Platform=ETF&stk_cd=0050&date=2014-12-31,GET,,200,application/json; charset=utf-8,yyyymm,2026-06,2026-06,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2014Q4_50.json,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2016Q1,https://www.yuantafunds.com/fund/detail/1066,GET,,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_51.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2016Q1,https://www.yuantafunds.com/fund/holding/1066,GET,,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_52.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2016Q1,https://www.yuantafunds.com/active/ETF/0050,GET,,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_53.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2016Q1,https://www.yuantafunds.com/ETF/0050,GET,,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_54.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2016Q1,https://www.yuantafunds.com/ETF/Download?fundid=1066&date=201603,GET,,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_55.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2016Q1,https://www.yuantafunds.com/api/fund/holding?fundid=1066&date=201603,GET,,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_56.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2016Q1,https://api.yuantafunds.com/ECAPI/api/ETF/GetHoldStock?fundid=0050&date=2016-03-31,GET,,200,text/html,,,,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_57.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2016Q1,https://api.yuantafunds.com/ECAPI/api/ETF/GetHoldStock?fundId=1066&date=2016-03-31,GET,,200,text/html,,,,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_58.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2016Q1,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20160331,GET,,200,application/json; charset=utf-8,anndate,2016-04-01,2016-04-01,50,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_59.json,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2016Q1,https://etfapi.yuantaetfs.com/ectranslation/api/trans?APIType=ETFBackstage&CompanyName=YUANTAFUNDS&PageName=%2Fproduct%2Fdetail%2F0050%2Fratio&DeviceId=null&FuncId=ETFTag%2FGetProductInformation&AppName=ETF&Device=4&Platform=ETF&stk_cd=0050&date=2016-03-31,GET,,200,application/json; charset=utf-8,yyyymm,2026-06,2026-06,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_60.json,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2021Q4,https://www.yuantafunds.com/fund/detail/1066,GET,,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_61.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2021Q4,https://www.yuantafunds.com/fund/holding/1066,GET,,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_62.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2021Q4,https://www.yuantafunds.com/active/ETF/0050,GET,,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_63.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2021Q4,https://www.yuantafunds.com/ETF/0050,GET,,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_64.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2021Q4,https://www.yuantafunds.com/ETF/Download?fundid=1066&date=202112,GET,,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_65.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2021Q4,https://www.yuantafunds.com/api/fund/holding?fundid=1066&date=202112,GET,,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_66.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2021Q4,https://api.yuantafunds.com/ECAPI/api/ETF/GetHoldStock?fundid=0050&date=2021-12-31,GET,,200,text/html,,,,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_67.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2021Q4,https://api.yuantafunds.com/ECAPI/api/ETF/GetHoldStock?fundId=1066&date=2021-12-31,GET,,200,text/html,,,,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_68.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2021Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20211231,GET,,200,application/json; charset=utf-8,anndate,2026-06-30,2026-06-30,50,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_69.json,,current/rolling/date-mismatched rows are not accepted
