source,period,mode,method,url,http_code,content_type,post_body,date_field_detected,source_date,holdings_date,row_count,acceptance_decision,retrieved_path,error,notes
SITCA non-headless persisted Chrome,all,non_headless_persisted_profile,GET,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,200,text/html; charset=utf-8,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_all_247.html,,initial load
SITCA non-headless persisted Chrome,all,non_headless_persisted_profile,GET,https://www.sitca.org.tw/WDataStyle.css,200,text/css,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_all_248.html,,initial load
SITCA non-headless persisted Chrome,all,non_headless_persisted_profile,GET,https://www.sitca.org.tw/css/mod_settings.css,200,text/css,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_all_249.html,,initial load
SITCA non-headless persisted Chrome,all,non_headless_persisted_profile,GET,https://www.sitca.org.tw/lib/tablerow.js,200,application/x-javascript,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_all_250.html,,initial load
SITCA non-headless persisted Chrome,all,non_headless_persisted_profile,GET,https://www.sitca.org.tw/css/menu.css,404,text/html,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_all_251.html,,initial load
SITCA non-headless persisted Chrome,all,non_headless_persisted_profile,GET,https://www.sitca.org.tw/css/table1.css,200,text/css,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_all_252.html,,initial load
SITCA non-headless persisted Chrome,all,non_headless_persisted_profile,GET,https://www.sitca.org.tw/css/layout1.css,200,text/css,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_all_253.html,,initial load
SITCA non-headless persisted Chrome,all,non_headless_persisted_profile,GET,https://www.sitca.org.tw/image/MorningStar.jpg,200,image/jpeg,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_all_254.html,,initial load
SITCA non-headless persisted Chrome,all,non_headless_persisted_profile,GET,https://www.sitca.org.tw/image/Bt_query.gif,200,image/gif,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_all_255.html,,initial load
SITCA non-headless persisted Chrome,all,non_headless_persisted_profile,GET,https://www.sitca.org.tw/image/arrowd.gif,200,image/gif,,,,,0,no_holdings_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\nonheadless_sitca_capture_phase8_all_256.html,,initial load
