family,ticker,market,required_dates,ready_dates,blocked_dates,ready_share
foreign_ownership,4585,TWSE,5,1,4,0.2
foreign_ownership,4714,TPEx,3,3,0,1.0
foreign_ownership,4721,TPEx,15,15,0,1.0
foreign_ownership,4746,TWSE,66,63,3,0.9545454545
foreign_ownership,4749,TPEx,157,157,0,1.0
foreign_ownership,4755,TWSE,8,6,2,0.75
foreign_ownership,4763,TWSE,254,250,4,0.9842519685
foreign_ownership,4764,TWSE,14,14,0,1.0
foreign_ownership,4766,TWSE,29,25,4,0.8620689655
foreign_ownership,4768,TPEx,41,41,0,1.0
foreign_ownership,4770,TWSE,24,20,4,0.8333333333
foreign_ownership,4772,TPEx,103,103,0,1.0
foreign_ownership,4903,TPEx,3,3,0,1.0
foreign_ownership,4904,TWSE,375,375,0,1.0
foreign_ownership,4906,TWSE,64,60,4,0.9375
foreign_ownership,4908,TPEx,39,39,0,1.0
foreign_ownership,4909,TPEx,40,40,0,1.0
foreign_ownership,4912,TWSE,5,1,4,0.2
foreign_ownership,4915,TWSE,24,20,4,0.8333333333
foreign_ownership,4916,TWSE,35,31,4,0.8857142857
foreign_ownership,4919,TWSE,19,15,4,0.7894736842
foreign_ownership,4931,TPEx,87,87,0,1.0
foreign_ownership,4934,TWSE,5,1,4,0.2
foreign_ownership,4938,TWSE,190,187,3,0.9842105263
foreign_ownership,4949,TWSE,14,11,3,0.7857142857
foreign_ownership,4953,TPEx,50,50,0,1.0
foreign_ownership,4958,TWSE,289,289,0,1.0
foreign_ownership,4961,TWSE,64,61,3,0.953125
foreign_ownership,4966,TPEx,146,146,0,1.0
foreign_ownership,4967,TWSE,146,142,4,0.9726027397
foreign_ownership,4968,TWSE,52,52,0,1.0
foreign_ownership,4971,TPEx,49,49,0,1.0
foreign_ownership,4973,TPEx,10,10,0,1.0
foreign_ownership,4974,TPEx,16,16,0,1.0
foreign_ownership,4977,TWSE,66,59,7,0.8939393939
foreign_ownership,4979,TPEx,226,226,0,1.0
foreign_ownership,4991,TPEx,63,63,0,1.0
foreign_ownership,5009,TPEx,63,63,0,1.0
foreign_ownership,5215,TWSE,5,5,0,1.0
foreign_ownership,5222,TWSE,10,10,0,1.0
foreign_ownership,5225,TWSE,5,1,4,0.2
foreign_ownership,5234,TWSE,63,55,8,0.873015873
foreign_ownership,5236,TPEx,5,5,0,1.0
foreign_ownership,5244,TWSE,5,1,4,0.2
foreign_ownership,5251,TPEx,20,20,0,1.0
foreign_ownership,5258,TWSE,56,52,4,0.9285714286
foreign_ownership,5263,TPEx,5,5,0,1.0
foreign_ownership,5264,TWSE,5,0,5,0.0
foreign_ownership,5269,TWSE,177,177,0,1.0
foreign_ownership,5274,TPEx,188,188,0,1.0
foreign_ownership,5284,TWSE,82,78,4,0.9512195122
foreign_ownership,5289,TPEx,121,121,0,1.0
foreign_ownership,5291,TPEx,3,3,0,1.0
foreign_ownership,5309,TPEx,66,66,0,1.0
foreign_ownership,5314,TPEx,54,54,0,1.0
foreign_ownership,5315,TPEx,3,3,0,1.0
foreign_ownership,5321,TPEx,5,5,0,1.0
foreign_ownership,5328,TPEx,3,3,0,1.0
foreign_ownership,5340,TPEx,37,37,0,1.0
foreign_ownership,5347,TPEx,268,268,0,1.0
foreign_ownership,5351,TPEx,17,17,0,1.0
foreign_ownership,5371,TPEx,42,42,0,1.0
foreign_ownership,5381,TPEx,12,12,0,1.0
foreign_ownership,5386,TPEx,22,22,0,1.0
foreign_ownership,5388,TWSE,79,76,3,0.9620253165
foreign_ownership,5425,TPEx,43,43,0,1.0
foreign_ownership,5426,TPEx,5,5,0,1.0
foreign_ownership,5434,TWSE,88,84,4,0.9545454545
foreign_ownership,5439,TPEx,172,172,0,1.0
foreign_ownership,5443,TPEx,129,129,0,1.0
foreign_ownership,5452,TPEx,4,4,0,1.0
foreign_ownership,5465,TPEx,3,3,0,1.0
foreign_ownership,5469,TWSE,75,68,7,0.9066666667
foreign_ownership,5474,TPEx,9,9,0,1.0
foreign_ownership,5478,TPEx,8,8,0,1.0
foreign_ownership,5483,TPEx,181,181,0,1.0
foreign_ownership,5508,TPEx,53,53,0,1.0
foreign_ownership,5521,TWSE,14,11,3,0.7857142857
foreign_ownership,5522,TWSE,14,11,3,0.7857142857
foreign_ownership,5530,TPEx,8,8,0,1.0
foreign_ownership,5534,TWSE,30,26,4,0.8666666667
foreign_ownership,5536,TPEx,115,115,0,1.0
foreign_ownership,5706,TWSE,24,20,4,0.8333333333
foreign_ownership,5871,TWSE,146,142,4,0.9726027397
foreign_ownership,5876,TWSE,177,177,0,1.0
foreign_ownership,5880,TWSE,140,140,0,1.0
foreign_ownership,5904,TPEx,38,38,0,1.0
foreign_ownership,6005,TWSE,21,21,0,1.0
foreign_ownership,6015,TPEx,3,3,0,1.0
foreign_ownership,6016,TPEx,3,3,0,1.0
foreign_ownership,6026,TPEx,3,3,0,1.0
foreign_ownership,6104,TPEx,112,112,0,1.0
foreign_ownership,6111,TPEx,5,5,0,1.0
foreign_ownership,6112,TWSE,10,10,0,1.0
foreign_ownership,6117,TWSE,49,45,4,0.9183673469
foreign_ownership,6121,TPEx,96,96,0,1.0
foreign_ownership,6122,TPEx,5,5,0,1.0
foreign_ownership,6125,TPEx,15,15,0,1.0
foreign_ownership,6126,TPEx,17,17,0,1.0
foreign_ownership,6138,TPEx,115,115,0,1.0
foreign_ownership,6139,TWSE,196,196,0,1.0
foreign_ownership,6140,TPEx,28,28,0,1.0
foreign_ownership,6143,TPEx,75,75,0,1.0
foreign_ownership,6146,TPEx,3,3,0,1.0
foreign_ownership,6147,TPEx,55,55,0,1.0
foreign_ownership,6148,TPEx,24,24,0,1.0
foreign_ownership,6150,TPEx,5,5,0,1.0
foreign_ownership,6165,TWSE,5,1,4,0.2
foreign_ownership,6173,TPEx,45,45,0,1.0
foreign_ownership,6175,TPEx,21,21,0,1.0
foreign_ownership,6176,TWSE,183,183,0,1.0
foreign_ownership,6177,TWSE,20,16,4,0.8
foreign_ownership,6182,TPEx,81,81,0,1.0
foreign_ownership,6187,TPEx,134,134,0,1.0
foreign_ownership,6188,TPEx,58,58,0,1.0
foreign_ownership,6189,TWSE,33,33,0,1.0
foreign_ownership,6190,TPEx,67,67,0,1.0
foreign_ownership,6191,TWSE,111,104,7,0.9369369369
foreign_ownership,6196,TWSE,64,60,4,0.9375
foreign_ownership,6197,TWSE,120,120,0,1.0
foreign_ownership,6203,TPEx,5,5,0,1.0
foreign_ownership,6206,TWSE,40,36,4,0.9
foreign_ownership,6207,TPEx,34,34,0,1.0
foreign_ownership,6209,TWSE,26,26,0,1.0
foreign_ownership,6213,TWSE,213,213,0,1.0
foreign_ownership,6214,TWSE,29,25,4,0.8620689655
foreign_ownership,6215,TWSE,86,86,0,1.0
foreign_ownership,6223,TPEx,343,343,0,1.0
foreign_ownership,6227,TPEx,14,14,0,1.0
foreign_ownership,6231,TPEx,79,79,0,1.0
foreign_ownership,6235,TWSE,43,35,8,0.8139534884
foreign_ownership,6239,TWSE,238,234,4,0.9831932773
foreign_ownership,6243,TWSE,31,30,1,0.9677419355
foreign_ownership,6244,TPEx,10,10,0,1.0
foreign_ownership,6245,TPEx,5,5,0,1.0
foreign_ownership,6257,TWSE,252,252,0,1.0
foreign_ownership,6261,TPEx,10,10,0,1.0
foreign_ownership,6265,TPEx,3,3,0,1.0
foreign_ownership,6269,TWSE,4,4,0,1.0
foreign_ownership,6271,TWSE,32,29,3,0.90625
foreign_ownership,6274,TPEx,303,303,0,1.0
foreign_ownership,6275,TPEx,5,5,0,1.0
foreign_ownership,6278,TWSE,76,72,4,0.9473684211
foreign_ownership,6279,TPEx,32,32,0,1.0
foreign_ownership,6282,TWSE,117,117,0,1.0
foreign_ownership,6284,TPEx,85,85,0,1.0
foreign_ownership,6285,TWSE,232,228,4,0.9827586207
foreign_ownership,6288,TWSE,18,18,0,1.0
foreign_ownership,6290,TPEx,214,214,0,1.0
foreign_ownership,6291,TPEx,14,14,0,1.0
foreign_ownership,6409,TWSE,59,55,4,0.9322033898
foreign_ownership,6411,TPEx,8,8,0,1.0
foreign_ownership,6412,TWSE,5,5,0,1.0
foreign_ownership,6414,TWSE,173,173,0,1.0
foreign_ownership,6415,TWSE,185,185,0,1.0
foreign_ownership,6425,TPEx,4,4,0,1.0
foreign_ownership,6435,TPEx,3,3,0,1.0
foreign_ownership,6438,TWSE,54,50,4,0.9259259259
foreign_ownership,6442,TWSE,128,124,4,0.96875
foreign_ownership,6446,TWSE,211,207,4,0.981042654
foreign_ownership,6449,TWSE,37,33,4,0.8918918919
foreign_ownership,6451,TWSE,35,27,8,0.7714285714
foreign_ownership,6470,TPEx,10,10,0,1.0
foreign_ownership,6472,TWSE,202,198,4,0.9801980198
foreign_ownership,6485,TPEx,19,19,0,1.0
foreign_ownership,6488,TPEx,124,124,0,1.0
foreign_ownership,6491,TWSE,84,84,0,1.0
foreign_ownership,6505,TWSE,16,12,4,0.75
foreign_ownership,6510,TPEx,134,134,0,1.0
foreign_ownership,6515,TWSE,168,164,4,0.9761904762
foreign_ownership,6517,TPEx,13,13,0,1.0
foreign_ownership,6526,TWSE,174,174,0,1.0
foreign_ownership,6530,TPEx,44,44,0,1.0
foreign_ownership,6531,TWSE,313,309,4,0.9872204473
foreign_ownership,6533,TWSE,23,23,0,1.0
foreign_ownership,6538,TPEx,29,29,0,1.0
foreign_ownership,6546,TPEx,50,50,0,1.0
foreign_ownership,6548,TPEx,28,28,0,1.0
foreign_ownership,6558,TWSE,7,4,3,0.5714285714
foreign_ownership,6561,TPEx,4,4,0,1.0
foreign_ownership,6579,TWSE,5,1,4,0.2
foreign_ownership,6584,TPEx,51,51,0,1.0
foreign_ownership,6585,TWSE,11,7,4,0.6363636364
foreign_ownership,6591,TWSE,5,5,0,1.0
foreign_ownership,6593,TPEx,25,25,0,1.0
foreign_ownership,6596,TPEx,3,3,0,1.0
foreign_ownership,6605,TWSE,28,24,4,0.8571428571
foreign_ownership,6609,TPEx,27,27,0,1.0
foreign_ownership,6640,TPEx,90,90,0,1.0
foreign_ownership,6643,TPEx,78,78,0,1.0
foreign_ownership,6658,TWSE,10,6,4,0.6
foreign_ownership,6664,TPEx,61,61,0,1.0
foreign_ownership,6667,TPEx,61,61,0,1.0
foreign_ownership,6669,TWSE,263,259,4,0.9847908745
foreign_ownership,6670,TWSE,33,30,3,0.9090909091
foreign_ownership,6672,TWSE,40,32,8,0.8
foreign_ownership,6679,TPEx,47,47,0,1.0
foreign_ownership,6683,TPEx,72,72,0,1.0
foreign_ownership,6689,TWSE,10,2,8,0.2
foreign_ownership,6691,TWSE,123,120,3,0.9756097561
foreign_ownership,6703,TPEx,3,3,0,1.0
foreign_ownership,6712,TPEx,15,15,0,1.0
foreign_ownership,6715,TWSE,4,1,3,0.25
foreign_ownership,6719,TWSE,20,20,0,1.0
foreign_ownership,6725,TPEx,3,3,0,1.0
foreign_ownership,6727,TPEx,5,5,0,1.0
foreign_ownership,6732,TPEx,49,49,0,1.0
foreign_ownership,6739,TPEx,48,48,0,1.0
foreign_ownership,6742,TWSE,8,8,0,1.0
foreign_ownership,6752,TPEx,9,9,0,1.0
foreign_ownership,6753,TWSE,46,38,8,0.8260869565
foreign_ownership,6756,TWSE,24,20,4,0.8333333333
foreign_ownership,6757,TWSE,58,54,4,0.9310344828
foreign_ownership,6763,TPEx,15,15,0,1.0
foreign_ownership,6768,TWSE,19,15,4,0.7894736842
foreign_ownership,6770,TWSE,15,15,0,1.0
foreign_ownership,6781,TWSE,117,114,3,0.9743589744
foreign_ownership,6788,TPEx,81,81,0,1.0
foreign_ownership,6789,TWSE,149,144,5,0.966442953
foreign_ownership,6796,TWSE,5,1,4,0.2
foreign_ownership,6799,TWSE,99,96,3,0.9696969697
foreign_ownership,6805,TWSE,193,189,4,0.9792746114
foreign_ownership,6806,TWSE,108,104,4,0.962962963
foreign_ownership,6811,TPEx,21,21,0,1.0
foreign_ownership,6829,TPEx,35,35,0,1.0
foreign_ownership,6830,TWSE,29,21,8,0.724137931
foreign_ownership,6831,TWSE,5,5,0,1.0
foreign_ownership,6841,TPEx,13,13,0,1.0
foreign_ownership,6863,TWSE,15,11,4,0.7333333333
foreign_ownership,6873,TWSE,35,31,4,0.8857142857
foreign_ownership,6877,TPEx,8,8,0,1.0
foreign_ownership,6890,TWSE,31,27,4,0.8709677419
foreign_ownership,6894,TPEx,3,3,0,1.0
foreign_ownership,6903,TPEx,21,21,0,1.0
foreign_ownership,6937,TWSE,50,47,3,0.94
foreign_ownership,6944,TWSE,128,124,4,0.96875
foreign_ownership,6962,TWSE,32,32,0,1.0
foreign_ownership,7402,TPEx,10,10,0,1.0
foreign_ownership,7610,TWSE,10,6,4,0.6
foreign_ownership,7722,TWSE,20,16,4,0.8
foreign_ownership,7728,TPEx,4,4,0,1.0
foreign_ownership,7734,TPEx,23,23,0,1.0
foreign_ownership,7750,TWSE,40,36,4,0.9
foreign_ownership,7751,TPEx,28,28,0,1.0
foreign_ownership,7769,TWSE,47,47,0,1.0
foreign_ownership,7795,TWSE,10,6,4,0.6
foreign_ownership,8016,TWSE,94,94,0,1.0
foreign_ownership,8021,TWSE,87,87,0,1.0
foreign_ownership,8028,TWSE,284,277,7,0.9753521127
foreign_ownership,8032,TPEx,5,5,0,1.0
foreign_ownership,8033,TWSE,80,76,4,0.95
foreign_ownership,8039,TWSE,97,93,4,0.9587628866
foreign_ownership,8042,TPEx,9,9,0,1.0
foreign_ownership,8043,TPEx,19,19,0,1.0
foreign_ownership,8046,TWSE,109,105,4,0.9633027523
foreign_ownership,8048,TPEx,15,15,0,1.0
foreign_ownership,8050,TPEx,29,29,0,1.0
foreign_ownership,8064,TPEx,47,47,0,1.0
foreign_ownership,8069,TPEx,188,188,0,1.0
foreign_ownership,8070,TWSE,51,51,0,1.0
foreign_ownership,8072,TWSE,34,30,4,0.8823529412
foreign_ownership,8074,TPEx,3,3,0,1.0
foreign_ownership,8076,TPEx,5,5,0,1.0
foreign_ownership,8081,TWSE,33,29,4,0.8787878788
foreign_ownership,8086,TPEx,55,55,0,1.0
foreign_ownership,8088,TPEx,26,26,0,1.0
foreign_ownership,8089,TPEx,19,19,0,1.0
foreign_ownership,8091,TPEx,3,3,0,1.0
foreign_ownership,8096,TPEx,66,66,0,1.0
foreign_ownership,8103,TWSE,15,11,4,0.7333333333
foreign_ownership,8110,TWSE,29,25,4,0.8620689655
foreign_ownership,8111,TPEx,67,67,0,1.0
foreign_ownership,8112,TWSE,191,187,4,0.9790575916
foreign_ownership,8114,TWSE,5,5,0,1.0
foreign_ownership,8131,TWSE,29,25,4,0.8620689655
foreign_ownership,8147,TPEx,3,3,0,1.0
foreign_ownership,8150,TWSE,97,93,4,0.9587628866
foreign_ownership,8155,TPEx,120,120,0,1.0
foreign_ownership,8210,TWSE,265,261,4,0.9849056604
foreign_ownership,8222,TWSE,19,15,4,0.7894736842
foreign_ownership,8227,TPEx,30,30,0,1.0
foreign_ownership,8234,TPEx,35,35,0,1.0
foreign_ownership,8249,TWSE,14,14,0,1.0
foreign_ownership,8255,TPEx,32,32,0,1.0
foreign_ownership,8261,TWSE,36,36,0,1.0
foreign_ownership,8271,TWSE,75,71,4,0.9466666667
foreign_ownership,8289,TPEx,3,3,0,1.0
foreign_ownership,8299,TPEx,290,290,0,1.0
foreign_ownership,8358,TPEx,161,161,0,1.0
foreign_ownership,8374,TWSE,46,42,4,0.9130434783
foreign_ownership,8390,TPEx,11,11,0,1.0
foreign_ownership,8422,TWSE,14,11,3,0.7857142857
foreign_ownership,8436,TPEx,13,13,0,1.0
foreign_ownership,8454,TWSE,41,41,0,1.0
foreign_ownership,8464,TWSE,114,114,0,1.0
foreign_ownership,8467,TWSE,2,1,1,0.5
foreign_ownership,8478,TWSE,15,11,4,0.7333333333
foreign_ownership,8926,TWSE,17,13,4,0.7647058824
foreign_ownership,8932,TPEx,35,35,0,1.0
foreign_ownership,8936,TPEx,86,86,0,1.0
foreign_ownership,8996,TWSE,172,168,4,0.976744186
foreign_ownership,9105,TWSE,20,16,4,0.8
foreign_ownership,9802,TWSE,19,19,0,1.0
foreign_ownership,9904,TWSE,113,109,4,0.9646017699
foreign_ownership,9907,TWSE,5,1,4,0.2
foreign_ownership,9910,TWSE,23,19,4,0.8260869565
foreign_ownership,9914,TWSE,38,36,2,0.9473684211
foreign_ownership,9921,TWSE,27,20,7,0.7407407407
foreign_ownership,9933,TWSE,9,9,0,1.0
foreign_ownership,9938,TWSE,27,23,4,0.8518518519
foreign_ownership,9939,TWSE,5,5,0,1.0
foreign_ownership,9941,TWSE,15,11,4,0.7333333333
foreign_ownership,9945,TWSE,118,118,0,1.0
foreign_ownership,9958,TWSE,139,136,3,0.9784172662
adjusted_analysis,1101,TWSE,413,413,0,1.0
adjusted_analysis,1102,TWSE,319,319,0,1.0
adjusted_analysis,1210,TWSE,280,279,1,0.9964285714
adjusted_analysis,1215,TWSE,84,84,0,1.0
adjusted_analysis,1216,TWSE,705,704,1,0.9985815603
adjusted_analysis,1301,TWSE,180,180,0,1.0
adjusted_analysis,1303,TWSE,458,458,0,1.0
adjusted_analysis,1307,TWSE,83,83,0,1.0
adjusted_analysis,1319,TWSE,492,492,0,1.0
adjusted_analysis,1326,TWSE,233,233,0,1.0
adjusted_analysis,1339,TWSE,84,84,0,1.0
adjusted_analysis,1402,TWSE,481,481,0,1.0
adjusted_analysis,1409,TWSE,80,80,0,1.0
adjusted_analysis,1476,TWSE,686,685,1,0.9985422741
adjusted_analysis,1477,TWSE,727,727,0,1.0
adjusted_analysis,1503,TWSE,684,683,1,0.9985380117
adjusted_analysis,1504,TWSE,552,551,1,0.9981884058
adjusted_analysis,1513,TWSE,796,795,1,0.9987437186
adjusted_analysis,1514,TWSE,689,688,1,0.9985486212
adjusted_analysis,1515,TWSE,84,84,0,1.0
adjusted_analysis,1519,TWSE,727,726,1,0.9986244842
adjusted_analysis,1522,TWSE,374,374,0,1.0
adjusted_analysis,1524,TWSE,402,402,0,1.0
adjusted_analysis,1529,TWSE,84,84,0,1.0
adjusted_analysis,1532,TWSE,84,84,0,1.0
adjusted_analysis,1536,TWSE,102,102,0,1.0
adjusted_analysis,1540,TWSE,86,86,0,1.0
adjusted_analysis,1560,TWSE,785,784,1,0.9987261146
adjusted_analysis,1582,TWSE,285,285,0,1.0
adjusted_analysis,1584,TPEx,358,358,0,1.0
adjusted_analysis,1590,TWSE,673,672,1,0.9985141159
adjusted_analysis,1597,TWSE,365,365,0,1.0
adjusted_analysis,1603,TWSE,101,101,0,1.0
adjusted_analysis,1605,TWSE,577,577,0,1.0
adjusted_analysis,1608,TWSE,257,257,0,1.0
adjusted_analysis,1609,TWSE,586,585,1,0.9982935154
adjusted_analysis,1612,TWSE,121,121,0,1.0
adjusted_analysis,1616,TWSE,124,123,1,0.9919354839
adjusted_analysis,1618,TWSE,436,436,0,1.0
adjusted_analysis,1702,TWSE,84,84,0,1.0
adjusted_analysis,1708,TWSE,89,89,0,1.0
adjusted_analysis,1711,TWSE,105,105,0,1.0
adjusted_analysis,1717,TWSE,213,213,0,1.0
adjusted_analysis,1722,TWSE,84,84,0,1.0
adjusted_analysis,1727,TWSE,84,84,0,1.0
adjusted_analysis,1732,TWSE,84,84,0,1.0
adjusted_analysis,1736,TWSE,101,101,0,1.0
adjusted_analysis,1760,TWSE,99,99,0,1.0
adjusted_analysis,1773,TWSE,176,175,1,0.9943181818
adjusted_analysis,1785,TPEx,704,703,1,0.9985795455
adjusted_analysis,1795,TWSE,612,611,1,0.9983660131
adjusted_analysis,1802,TWSE,167,167,0,1.0
adjusted_analysis,1808,TWSE,173,173,0,1.0
adjusted_analysis,1815,TPEx,350,349,1,0.9971428571
adjusted_analysis,1904,TWSE,83,83,0,1.0
adjusted_analysis,2002,TWSE,271,271,0,1.0
adjusted_analysis,2009,TWSE,167,167,0,1.0
adjusted_analysis,2014,TWSE,187,187,0,1.0
adjusted_analysis,2027,TWSE,481,480,1,0.9979209979
adjusted_analysis,2031,TWSE,88,88,0,1.0
adjusted_analysis,2049,TWSE,548,548,0,1.0
adjusted_analysis,2059,TWSE,755,754,1,0.9986754967
adjusted_analysis,2062,TWSE,87,87,0,1.0
adjusted_analysis,2070,TPEx,83,83,0,1.0
adjusted_analysis,2101,TWSE,191,191,0,1.0
adjusted_analysis,2105,TWSE,470,470,0,1.0
adjusted_analysis,2201,TWSE,341,341,0,1.0
adjusted_analysis,2204,TWSE,240,240,0,1.0
adjusted_analysis,2206,TWSE,278,278,0,1.0
adjusted_analysis,2207,TWSE,177,177,0,1.0
adjusted_analysis,2211,TWSE,84,84,0,1.0
adjusted_analysis,2228,TWSE,168,167,1,0.994047619
adjusted_analysis,2230,TPEx,168,168,0,1.0
adjusted_analysis,2233,TWSE,210,210,0,1.0
adjusted_analysis,2301,TWSE,564,563,1,0.9982269504
adjusted_analysis,2303,TWSE,742,741,1,0.9986522911
adjusted_analysis,2308,TWSE,760,759,1,0.9986842105
adjusted_analysis,2311,TWSE,84,0,84,0.0
adjusted_analysis,2312,TWSE,492,491,1,0.9979674797
adjusted_analysis,2313,TWSE,778,777,1,0.998714653
adjusted_analysis,2317,TWSE,795,794,1,0.9987421384
adjusted_analysis,2323,TWSE,84,84,0,1.0
adjusted_analysis,2324,TWSE,506,506,0,1.0
adjusted_analysis,2325,TWSE,84,0,84,0.0
adjusted_analysis,2327,TWSE,721,720,1,0.9986130374
adjusted_analysis,2328,TWSE,263,262,1,0.9961977186
adjusted_analysis,2329,TWSE,557,556,1,0.9982046679
adjusted_analysis,2330,TWSE,796,795,1,0.9987437186
adjusted_analysis,2331,TWSE,94,94,0,1.0
adjusted_analysis,2332,TWSE,94,94,0,1.0
adjusted_analysis,2337,TWSE,108,108,0,1.0
adjusted_analysis,2338,TWSE,82,82,0,1.0
adjusted_analysis,2340,TWSE,96,96,0,1.0
adjusted_analysis,2344,TWSE,299,299,0,1.0
adjusted_analysis,2345,TWSE,766,765,1,0.998694517
adjusted_analysis,2347,TWSE,568,567,1,0.9982394366
adjusted_analysis,2348,TWSE,211,211,0,1.0
adjusted_analysis,2351,TWSE,205,205,0,1.0
adjusted_analysis,2352,TWSE,225,225,0,1.0
adjusted_analysis,2353,TWSE,793,792,1,0.998738966
adjusted_analysis,2354,TWSE,466,465,1,0.9978540773
adjusted_analysis,2355,TWSE,445,445,0,1.0
adjusted_analysis,2356,TWSE,792,791,1,0.9987373737
adjusted_analysis,2357,TWSE,762,761,1,0.998687664
adjusted_analysis,2359,TWSE,493,492,1,0.9979716024
adjusted_analysis,2360,TWSE,774,773,1,0.9987080103
adjusted_analysis,2362,TWSE,229,229,0,1.0
adjusted_analysis,2363,TWSE,594,593,1,0.9983164983
adjusted_analysis,2364,TWSE,210,210,0,1.0
adjusted_analysis,2365,TWSE,447,446,1,0.9977628635
adjusted_analysis,2367,TWSE,329,329,0,1.0
adjusted_analysis,2368,TWSE,681,680,1,0.9985315712
adjusted_analysis,2369,TWSE,80,80,0,1.0
adjusted_analysis,2371,TWSE,633,632,1,0.9984202212
adjusted_analysis,2374,TWSE,553,552,1,0.9981916817
adjusted_analysis,2375,TWSE,318,317,1,0.9968553459
adjusted_analysis,2376,TWSE,776,775,1,0.9987113402
adjusted_analysis,2377,TWSE,621,620,1,0.998389694
adjusted_analysis,2379,TWSE,777,776,1,0.9987129987
adjusted_analysis,2382,TWSE,723,722,1,0.9986168741
adjusted_analysis,2383,TWSE,786,785,1,0.9987277354
adjusted_analysis,2385,TWSE,482,482,0,1.0
adjusted_analysis,2388,TWSE,445,445,0,1.0
adjusted_analysis,2392,TWSE,442,441,1,0.9977375566
adjusted_analysis,2393,TWSE,275,275,0,1.0
adjusted_analysis,2395,TWSE,465,464,1,0.9978494624
adjusted_analysis,2399,TWSE,114,114,0,1.0
adjusted_analysis,2401,TWSE,182,182,0,1.0
adjusted_analysis,2402,TWSE,723,722,1,0.9986168741
adjusted_analysis,2404,TWSE,567,566,1,0.9982363316
adjusted_analysis,2405,TWSE,165,165,0,1.0
adjusted_analysis,2406,TWSE,94,94,0,1.0
adjusted_analysis,2408,TWSE,136,136,0,1.0
adjusted_analysis,2409,TWSE,121,121,0,1.0
adjusted_analysis,2412,TWSE,782,781,1,0.9987212276
adjusted_analysis,2413,TWSE,84,84,0,1.0
adjusted_analysis,2419,TWSE,88,88,0,1.0
adjusted_analysis,2421,TWSE,632,631,1,0.9984177215
adjusted_analysis,2425,TWSE,182,182,0,1.0
adjusted_analysis,2427,TWSE,102,102,0,1.0
adjusted_analysis,2428,TWSE,203,202,1,0.9950738916
adjusted_analysis,2436,TWSE,352,351,1,0.9971590909
adjusted_analysis,2439,TWSE,520,519,1,0.9980769231
adjusted_analysis,2441,TWSE,215,214,1,0.9953488372
adjusted_analysis,2448,TWSE,84,0,84,0.0
adjusted_analysis,2449,TWSE,622,621,1,0.998392283
adjusted_analysis,2451,TWSE,307,306,1,0.996742671
adjusted_analysis,2453,TWSE,131,131,0,1.0
adjusted_analysis,2454,TWSE,782,781,1,0.9987212276
adjusted_analysis,2455,TWSE,614,613,1,0.9983713355
adjusted_analysis,2456,TWSE,84,0,84,0.0
adjusted_analysis,2457,TWSE,177,177,0,1.0
adjusted_analysis,2458,TWSE,480,480,0,1.0
adjusted_analysis,2462,TWSE,84,84,0,1.0
adjusted_analysis,2464,TWSE,218,218,0,1.0
adjusted_analysis,2467,TWSE,647,646,1,0.9984544049
adjusted_analysis,2468,TWSE,227,227,0,1.0
adjusted_analysis,2471,TWSE,135,135,0,1.0
adjusted_analysis,2472,TWSE,401,400,1,0.9975062344
adjusted_analysis,2474,TWSE,642,641,1,0.9984423676
adjusted_analysis,2476,TWSE,537,536,1,0.9981378026
adjusted_analysis,2478,TWSE,120,119,1,0.9916666667
adjusted_analysis,2481,TWSE,478,477,1,0.9979079498
adjusted_analysis,2484,TWSE,90,90,0,1.0
adjusted_analysis,2486,TWSE,543,542,1,0.9981583794
adjusted_analysis,2489,TWSE,276,276,0,1.0
adjusted_analysis,2492,TWSE,620,619,1,0.9983870968
adjusted_analysis,2495,TWSE,251,250,1,0.9960159363
adjusted_analysis,2497,TWSE,180,180,0,1.0
adjusted_analysis,2501,TWSE,113,113,0,1.0
adjusted_analysis,2504,TWSE,322,322,0,1.0
adjusted_analysis,2515,TWSE,241,241,0,1.0
adjusted_analysis,2520,TWSE,328,328,0,1.0
adjusted_analysis,2524,TWSE,98,98,0,1.0
adjusted_analysis,2537,TWSE,94,94,0,1.0
adjusted_analysis,2540,TWSE,193,193,0,1.0
adjusted_analysis,2542,TWSE,435,435,0,1.0
adjusted_analysis,2543,TWSE,299,299,0,1.0
adjusted_analysis,2603,TWSE,566,566,0,1.0
adjusted_analysis,2605,TWSE,533,532,1,0.9981238274
adjusted_analysis,2606,TWSE,517,516,1,0.998065764
adjusted_analysis,2607,TWSE,84,84,0,1.0
adjusted_analysis,2609,TWSE,488,488,0,1.0
adjusted_analysis,2610,TWSE,739,739,0,1.0
adjusted_analysis,2611,TWSE,121,121,0,1.0
adjusted_analysis,2613,TWSE,149,149,0,1.0
adjusted_analysis,2615,TWSE,414,414,0,1.0
adjusted_analysis,2618,TWSE,744,744,0,1.0
adjusted_analysis,2630,TWSE,84,84,0,1.0
adjusted_analysis,2634,TWSE,477,477,0,1.0
adjusted_analysis,2636,TWSE,88,88,0,1.0
adjusted_analysis,2637,TWSE,475,474,1,0.9978947368
adjusted_analysis,2641,TPEx,359,359,0,1.0
adjusted_analysis,2645,TWSE,560,559,1,0.9982142857
adjusted_analysis,2646,TWSE,145,145,0,1.0
adjusted_analysis,2727,TWSE,203,203,0,1.0
adjusted_analysis,2731,TWSE,474,473,1,0.9978902954
