snapshot_date,ticker,name,market,pool_rank,layer4_pool_role,is_layer4_primary_pool,reference_only
2023-07-14,3008,大立光,TWSE,1,primary_80_pool,True,False
2023-07-14,3260,威剛,TPEx,2,primary_80_pool,True,False
2023-07-14,1609,大亞,TWSE,3,primary_80_pool,True,False
2023-07-14,3665,貿聯-KY,TWSE,4,primary_80_pool,True,False
2023-07-14,2388,威盛,TWSE,5,primary_80_pool,True,False
2023-07-14,1504,東元,TWSE,6,primary_80_pool,True,False
2023-07-14,2308,台達電,TWSE,7,primary_80_pool,True,False
2023-07-14,3680,家登,TPEx,8,primary_80_pool,True,False
2023-07-14,8478,東哥遊艇,TWSE,9,primary_80_pool,True,False
2023-07-14,2330,台積電,TWSE,10,primary_80_pool,True,False
2023-07-14,3293,鈊象,TPEx,11,primary_80_pool,True,False
2023-07-14,2886,兆豐金,TWSE,12,primary_80_pool,True,False
2023-07-14,2353,宏碁,TWSE,13,primary_80_pool,True,False
2023-07-14,1513,中興電,TWSE,14,primary_80_pool,True,False
2023-07-14,1477,聚陽,TWSE,15,primary_80_pool,True,False
2023-07-14,3207,耀勝,TPEx,16,primary_80_pool,True,False
2023-07-14,5483,中美晶,TPEx,17,primary_80_pool,True,False
2023-07-14,2206,三陽工業,TWSE,18,primary_80_pool,True,False
2023-07-14,5388,中磊,TWSE,19,primary_80_pool,True,False
2023-07-14,2317,鴻海,TWSE,20,primary_80_pool,True,False
2023-07-14,4938,和碩,TWSE,21,primary_80_pool,True,False
2023-07-14,2481,強茂,TWSE,22,primary_80_pool,True,False
2023-07-14,9958,世紀鋼,TWSE,23,primary_80_pool,True,False
2023-07-14,1514,亞力,TWSE,24,primary_80_pool,True,False
2023-07-14,2881,富邦金,TWSE,25,primary_80_pool,True,False
2023-07-14,6285,啟碁,TWSE,26,primary_80_pool,True,False
2023-07-14,2329,華泰,TWSE,27,primary_80_pool,True,False
2023-07-14,2449,京元電子,TWSE,28,primary_80_pool,True,False
2023-07-14,3587,閎康,TPEx,29,primary_80_pool,True,False
2023-07-14,2377,微星,TWSE,30,primary_80_pool,True,False
2023-07-14,3704,合勤控,TWSE,31,primary_80_pool,True,False
2023-07-14,8255,朋程,TPEx,32,primary_80_pool,True,False
2023-07-14,3289,宜特,TPEx,33,primary_80_pool,True,False
2023-07-14,5871,中租-KY,TWSE,34,primary_80_pool,True,False
2023-07-14,2352,佳世達,TWSE,35,primary_80_pool,True,False
2023-07-14,3707,漢磊,TPEx,36,primary_80_pool,True,False
2023-07-14,2324,仁寶,TWSE,37,primary_80_pool,True,False
2023-07-14,6488,環球晶,TPEx,38,primary_80_pool,True,False
2023-07-14,3596,智易,TWSE,39,primary_80_pool,True,False
2023-07-14,1560,中砂,TWSE,40,primary_80_pool,True,False
2023-07-14,6182,合晶,TPEx,41,primary_80_pool,True,False
2023-07-14,3362,先進光,TPEx,42,primary_80_pool,True,False
2023-07-14,2345,智邦,TWSE,43,primary_80_pool,True,False
2023-07-14,4967,十銓,TWSE,44,primary_80_pool,True,False
2023-07-14,2885,元大金,TWSE,45,primary_80_pool,True,False
2023-07-14,3529,力旺,TPEx,46,primary_80_pool,True,False
2023-07-14,2610,華航,TWSE,47,primary_80_pool,True,False
2023-07-14,6531,愛普*,TWSE,48,primary_80_pool,True,False
2023-07-14,2890,永豐金,TWSE,49,primary_80_pool,True,False
2023-07-14,3088,艾訊,TPEx,50,primary_80_pool,True,False
2023-07-14,6470,宇智,TPEx,51,primary_80_pool,True,False
2023-07-14,8028,昇陽半導體,TWSE,52,primary_80_pool,True,False
2023-07-14,3374,精材,TPEx,53,primary_80_pool,True,False
2023-07-14,2356,英業達,TWSE,54,primary_80_pool,True,False
2023-07-14,2328,廣宇,TWSE,55,primary_80_pool,True,False
2023-07-14,3217,優群,TPEx,56,primary_80_pool,True,False
2023-07-14,6789,采鈺,TWSE,57,primary_80_pool,True,False
2023-07-14,6223,旺矽,TPEx,58,primary_80_pool,True,False
2023-07-14,2645,長榮航太,TWSE,59,primary_80_pool,True,False
2023-07-14,3163,波若威,TPEx,60,primary_80_pool,True,False
2023-07-14,1476,儒鴻,TWSE,61,primary_80_pool,True,False
2023-07-14,4746,台耀,TWSE,62,primary_80_pool,True,False
2023-07-14,5289,宜鼎,TPEx,63,primary_80_pool,True,False
2023-07-14,2379,瑞昱,TWSE,64,primary_80_pool,True,False
2023-07-14,5425,台半,TPEx,65,primary_80_pool,True,False
2023-07-14,2892,第一金,TWSE,66,primary_80_pool,True,False
2023-07-14,3037,欣興,TWSE,67,primary_80_pool,True,False
2023-07-14,4916,事欣科,TWSE,68,primary_80_pool,True,False
2023-07-14,3583,辛耘,TWSE,69,primary_80_pool,True,False
2023-07-14,2888,新光金,TWSE,70,primary_80_pool,True,False
2023-07-14,3558,神準,TPEx,71,primary_80_pool,True,False
2023-07-14,4906,正文,TWSE,72,primary_80_pool,True,False
2023-07-14,3356,奇偶,TWSE,73,primary_80_pool,True,False
2023-07-14,3687,歐買尬,TPEx,74,primary_80_pool,True,False
2023-07-14,8155,博智,TPEx,75,primary_80_pool,True,False
2023-07-14,3324,雙鴻,TPEx,76,primary_80_pool,True,False
2023-07-14,2887,台新新光金,TWSE,77,primary_80_pool,True,False
2023-07-14,4919,新唐,TWSE,78,primary_80_pool,True,False
2023-07-14,2312,金寶,TWSE,79,primary_80_pool,True,False
2023-07-14,9910,豐泰,TWSE,80,primary_80_pool,True,False
2023-07-21,5388,中磊,TWSE,1,primary_80_pool,True,False
2023-07-21,3008,大立光,TWSE,2,primary_80_pool,True,False
2023-07-21,3406,玉晶光,TWSE,3,primary_80_pool,True,False
2023-07-21,2313,華通,TWSE,4,primary_80_pool,True,False
2023-07-21,4906,正文,TWSE,5,primary_80_pool,True,False
2023-07-21,3596,智易,TWSE,6,primary_80_pool,True,False
2023-07-21,2308,台達電,TWSE,7,primary_80_pool,True,False
