ticker,market,required_dates,blocked_dates,source_status,attempt_evidence,raw_used_as_adjusted
3447,TWSE,84,1,accepted,,False
3450,TWSE,460,1,accepted,,False
3481,TWSE,283,1,accepted,,False
3515,TWSE,490,1,accepted,,False
3526,TPEx,170,1,accepted,,False
3529,TPEx,780,1,accepted,,False
3532,TWSE,260,1,accepted,,False
3533,TWSE,740,1,accepted,,False
3551,TPEx,354,1,accepted,,False
3563,TWSE,439,1,accepted,,False
3583,TWSE,761,1,accepted,,False
3587,TPEx,602,1,accepted,,False
3605,TWSE,429,1,accepted,,False
3630,TPEx,84,1,accepted,,False
3645,TWSE,350,1,accepted,,False
3653,TWSE,711,1,accepted,,False
3665,TWSE,721,1,accepted,,False
3680,TPEx,700,1,accepted,,False
3689,TPEx,586,1,accepted,,False
3694,TWSE,315,1,accepted,,False
3698,TWSE,84,84,blocked_no_trusted_free_adjusted_history,,False
3702,TWSE,746,1,accepted,,False
3704,TWSE,221,1,accepted,,False
3706,TWSE,621,1,accepted,,False
3711,TWSE,770,1,accepted,,False
3715,TWSE,668,1,accepted,,False
4303,TPEx,251,1,accepted,,False
4541,TPEx,215,1,accepted,,False
4571,TWSE,253,1,accepted,,False
4721,TPEx,99,1,accepted,,False
4749,TPEx,297,1,accepted,,False
4766,TWSE,414,1,accepted,,False
4772,TPEx,318,1,accepted,,False
4904,TWSE,772,1,accepted,,False
4915,TWSE,182,1,accepted,,False
4916,TWSE,272,1,accepted,,False
4931,TPEx,418,1,accepted,,False
4938,TWSE,592,1,accepted,,False
4958,TWSE,663,1,accepted,,False
4966,TPEx,522,1,accepted,,False
4967,TWSE,645,1,accepted,,False
4968,TWSE,294,1,accepted,,False
4971,TPEx,254,1,accepted,,False
4977,TWSE,377,1,accepted,,False
4979,TPEx,737,1,accepted,,False
4991,TPEx,395,1,accepted,,False
5234,TWSE,385,1,accepted,,False
5264,TWSE,84,84,blocked_no_trusted_free_adjusted_history,,False
5269,TWSE,620,1,accepted,,False
5274,TPEx,531,1,accepted,,False
5284,TWSE,493,1,accepted,,False
5289,TPEx,525,1,accepted,,False
5309,TPEx,295,1,accepted,,False
5314,TPEx,243,1,accepted,,False
5340,TPEx,220,1,accepted,,False
5347,TPEx,649,1,accepted,,False
5425,TPEx,352,1,accepted,,False
5434,TWSE,469,1,accepted,,False
5439,TPEx,599,1,accepted,,False
5443,TPEx,472,1,accepted,,False
5469,TWSE,444,1,accepted,,False
5474,TPEx,167,1,accepted,,False
5483,TPEx,717,1,accepted,,False
5536,TPEx,464,1,accepted,,False
5876,TWSE,593,1,accepted,,False
5880,TWSE,723,1,accepted,,False
5904,TPEx,299,1,accepted,,False
6104,TPEx,511,1,accepted,,False
6121,TPEx,429,1,accepted,,False
6138,TPEx,546,1,accepted,,False
6139,TWSE,643,1,accepted,,False
6143,TPEx,481,1,accepted,,False
6147,TPEx,495,1,accepted,,False
6148,TPEx,219,1,accepted,,False
6173,TPEx,301,1,accepted,,False
6182,TPEx,445,1,accepted,,False
6187,TPEx,656,1,accepted,,False
6188,TPEx,393,1,accepted,,False
6190,TPEx,346,1,accepted,,False
6191,TWSE,494,1,accepted,,False
6197,TWSE,728,1,accepted,,False
6206,TWSE,204,1,accepted,,False
6213,TWSE,785,1,accepted,,False
6215,TWSE,425,1,accepted,,False
6223,TPEx,796,1,accepted,,False
6231,TPEx,600,1,accepted,,False
6235,TWSE,283,1,accepted,,False
6239,TWSE,593,1,accepted,,False
6257,TWSE,730,1,accepted,,False
6274,TPEx,755,1,accepted,,False
6278,TWSE,442,1,accepted,,False
6282,TWSE,481,1,accepted,,False
6284,TPEx,428,1,accepted,,False
6285,TWSE,718,1,accepted,,False
6288,TWSE,199,199,blocked_no_trusted_free_adjusted_history,,False
6290,TPEx,691,1,accepted,,False
6438,TWSE,388,1,accepted,,False
6442,TWSE,557,1,accepted,,False
6446,TWSE,689,1,accepted,,False
6449,TWSE,204,1,accepted,,False
6472,TWSE,408,1,accepted,,False
6488,TPEx,605,1,accepted,,False
6510,TPEx,448,1,accepted,,False
6515,TWSE,688,1,accepted,,False
6531,TWSE,773,1,accepted,,False
6548,TPEx,327,1,accepted,,False
6584,TPEx,292,1,accepted,,False
6591,TWSE,84,1,accepted,,False
6640,TPEx,402,1,accepted,,False
6643,TPEx,538,1,accepted,,False
6664,TPEx,538,1,accepted,,False
6667,TPEx,376,1,accepted,,False
6669,TWSE,755,1,accepted,,False
6672,TWSE,291,1,accepted,,False
6683,TPEx,458,1,accepted,,False
6691,TWSE,486,1,accepted,,False
6739,TPEx,262,1,accepted,,False
6753,TWSE,373,1,accepted,,False
6763,TPEx,244,1,accepted,,False
6781,TWSE,360,1,accepted,,False
6788,TPEx,449,1,accepted,,False
6805,TWSE,659,1,accepted,,False
6806,TWSE,287,287,blocked_no_trusted_free_adjusted_history,,False
6829,TPEx,363,1,accepted,,False
6890,TWSE,219,1,accepted,,False
6937,TWSE,222,1,accepted,,False
6944,TWSE,306,1,accepted,,False
6962,TWSE,111,24,accepted,,False
7402,TPEx,168,1,accepted,,False
7722,TWSE,188,1,accepted,,False
8016,TWSE,481,1,accepted,,False
8021,TWSE,258,1,accepted,,False
8028,TWSE,601,1,accepted,,False
8033,TWSE,340,1,accepted,,False
8039,TWSE,447,1,accepted,,False
8046,TWSE,416,1,accepted,,False
8069,TPEx,569,1,accepted,,False
8070,TWSE,401,1,accepted,,False
8088,TPEx,167,1,accepted,,False
8103,TWSE,183,1,accepted,,False
8111,TPEx,373,1,accepted,,False
8112,TWSE,574,1,accepted,,False
8150,TWSE,370,1,accepted,,False
8155,TPEx,616,1,accepted,,False
8210,TWSE,780,1,accepted,,False
8234,TPEx,224,1,accepted,,False
8255,TPEx,441,1,accepted,,False
8261,TWSE,298,1,accepted,,False
8271,TWSE,247,1,accepted,,False
8299,TPEx,688,1,accepted,,False
8358,TPEx,647,1,accepted,,False
8374,TWSE,312,1,accepted,,False
8422,TWSE,172,1,accepted,,False
8932,TPEx,307,1,accepted,,False
8996,TWSE,707,1,accepted,,False
9802,TWSE,182,1,accepted,,False
9958,TWSE,546,1,accepted,,False
