family,date,market,route_status,required_tickers,ready_tickers,blocked_tickers,retrieval_attempted
margin_short,2023-07-14,TPEx,reused_existing_compact,25,25,0,False
margin_short,2023-07-14,TWSE,accepted,55,54,1,True
margin_short,2023-07-17,TPEx,accepted,25,25,0,True
margin_short,2023-07-17,TWSE,accepted,55,54,1,True
margin_short,2023-07-18,TPEx,accepted,25,25,0,True
margin_short,2023-07-18,TWSE,accepted,55,54,1,True
margin_short,2023-07-19,TPEx,accepted,25,25,0,True
margin_short,2023-07-19,TWSE,accepted,55,54,1,True
margin_short,2023-07-20,TPEx,accepted,25,25,0,True
margin_short,2023-07-20,TWSE,accepted,55,54,1,True
margin_short,2023-07-21,TPEx,accepted,23,22,1,True
margin_short,2023-07-21,TWSE,reused_existing_compact,57,57,0,False
margin_short,2023-07-24,TPEx,accepted,23,22,1,True
margin_short,2023-07-24,TWSE,accepted,57,57,0,True
margin_short,2023-07-25,TPEx,accepted,23,22,1,True
margin_short,2023-07-25,TWSE,accepted,57,57,0,True
margin_short,2023-07-26,TPEx,accepted,23,22,1,True
margin_short,2023-07-26,TWSE,accepted,57,57,0,True
margin_short,2023-07-27,TPEx,accepted,23,22,1,True
margin_short,2023-07-27,TWSE,accepted,57,57,0,True
margin_short,2023-07-28,TPEx,reused_existing_compact,21,21,0,False
margin_short,2023-07-28,TWSE,reused_existing_compact,59,59,0,False
margin_short,2023-07-31,TPEx,reused_existing_compact,21,21,0,False
margin_short,2023-07-31,TWSE,accepted,59,59,0,True
margin_short,2023-08-01,TPEx,reused_existing_compact,21,21,0,False
margin_short,2023-08-01,TWSE,accepted,59,59,0,True
margin_short,2023-08-02,TPEx,reused_existing_compact,21,21,0,False
margin_short,2023-08-02,TWSE,accepted,59,59,0,True
margin_short,2023-08-04,TPEx,accepted,19,17,2,True
margin_short,2023-08-04,TWSE,reused_existing_compact,61,61,0,False
margin_short,2023-08-07,TPEx,accepted,19,17,2,True
margin_short,2023-08-07,TWSE,accepted,61,61,0,True
margin_short,2023-08-08,TPEx,accepted,19,17,2,True
margin_short,2023-08-08,TWSE,accepted,61,61,0,True
margin_short,2023-08-09,TPEx,accepted,19,17,2,True
margin_short,2023-08-09,TWSE,accepted,61,61,0,True
margin_short,2023-08-10,TPEx,accepted,19,17,2,True
margin_short,2023-08-10,TWSE,accepted,61,61,0,True
margin_short,2023-08-11,TPEx,accepted,15,14,1,True
margin_short,2023-08-11,TWSE,accepted,65,64,1,True
margin_short,2023-08-14,TPEx,accepted,15,14,1,True
margin_short,2023-08-14,TWSE,accepted,65,64,1,True
margin_short,2023-08-15,TPEx,accepted,15,14,1,True
margin_short,2023-08-15,TWSE,accepted,65,64,1,True
margin_short,2023-08-16,TPEx,accepted,15,14,1,True
margin_short,2023-08-16,TWSE,accepted,65,64,1,True
margin_short,2023-08-17,TPEx,accepted,15,14,1,True
margin_short,2023-08-17,TWSE,accepted,65,64,1,True
margin_short,2023-08-18,TPEx,reused_existing_compact,13,13,0,False
margin_short,2023-08-18,TWSE,accepted,67,66,1,True
margin_short,2023-08-21,TPEx,accepted,13,13,0,True
margin_short,2023-08-21,TWSE,accepted,67,66,1,True
margin_short,2023-08-22,TPEx,accepted,13,13,0,True
margin_short,2023-08-22,TWSE,accepted,67,66,1,True
margin_short,2023-08-23,TPEx,accepted,13,13,0,True
margin_short,2023-08-23,TWSE,accepted,67,66,1,True
margin_short,2023-08-24,TPEx,accepted,13,13,0,True
margin_short,2023-08-24,TWSE,accepted,67,66,1,True
margin_short,2023-08-25,TPEx,reused_existing_compact,16,16,0,False
margin_short,2023-08-25,TWSE,reused_existing_compact,64,64,0,False
margin_short,2023-08-28,TPEx,accepted,16,16,0,True
margin_short,2023-08-28,TWSE,accepted,64,64,0,True
margin_short,2023-08-29,TPEx,accepted,16,16,0,True
margin_short,2023-08-29,TWSE,accepted,64,64,0,True
margin_short,2023-08-30,TPEx,accepted,16,16,0,True
margin_short,2023-08-30,TWSE,accepted,64,64,0,True
margin_short,2023-08-31,TPEx,accepted,16,16,0,True
margin_short,2023-08-31,TWSE,accepted,64,64,0,True
margin_short,2023-09-01,TPEx,reused_existing_compact,18,18,0,False
margin_short,2023-09-01,TWSE,reused_existing_compact,62,62,0,False
margin_short,2023-09-04,TPEx,accepted,18,18,0,True
margin_short,2023-09-04,TWSE,reused_existing_compact,62,62,0,False
margin_short,2023-09-05,TPEx,accepted,18,18,0,True
margin_short,2023-09-05,TWSE,reused_existing_compact,62,62,0,False
margin_short,2023-09-06,TPEx,accepted,18,18,0,True
margin_short,2023-09-06,TWSE,reused_existing_compact,62,62,0,False
margin_short,2023-09-07,TPEx,accepted,18,18,0,True
margin_short,2023-09-07,TWSE,reused_existing_compact,62,62,0,False
margin_short,2023-09-08,TPEx,reused_existing_compact,11,11,0,False
margin_short,2023-09-08,TWSE,reused_existing_compact,69,69,0,False
margin_short,2023-09-11,TPEx,accepted,11,11,0,True
margin_short,2023-09-11,TWSE,accepted,69,69,0,True
margin_short,2023-09-12,TPEx,accepted,11,11,0,True
margin_short,2023-09-12,TWSE,accepted,69,69,0,True
margin_short,2023-09-13,TPEx,accepted,11,11,0,True
margin_short,2023-09-13,TWSE,accepted,69,69,0,True
margin_short,2023-09-14,TPEx,accepted,11,11,0,True
margin_short,2023-09-14,TWSE,accepted,69,69,0,True
margin_short,2023-09-15,TPEx,reused_existing_compact,22,22,0,False
margin_short,2023-09-15,TWSE,accepted,58,57,1,True
margin_short,2023-09-18,TPEx,reused_existing_compact,22,22,0,False
margin_short,2023-09-18,TWSE,accepted,58,57,1,True
margin_short,2023-09-19,TPEx,reused_existing_compact,22,22,0,False
margin_short,2023-09-19,TWSE,accepted,58,57,1,True
margin_short,2023-09-20,TPEx,reused_existing_compact,22,22,0,False
margin_short,2023-09-20,TWSE,accepted,58,57,1,True
margin_short,2023-09-21,TPEx,reused_existing_compact,22,22,0,False
margin_short,2023-09-21,TWSE,accepted,58,57,1,True
margin_short,2023-09-22,TPEx,reused_existing_compact,17,17,0,False
margin_short,2023-09-22,TWSE,reused_existing_compact,63,63,0,False
margin_short,2023-09-25,TPEx,reused_existing_compact,17,17,0,False
margin_short,2023-09-25,TWSE,accepted,63,63,0,True
margin_short,2023-09-26,TPEx,reused_existing_compact,17,17,0,False
margin_short,2023-09-26,TWSE,accepted,63,63,0,True
margin_short,2023-09-27,TPEx,reused_existing_compact,17,17,0,False
margin_short,2023-09-27,TWSE,accepted,63,63,0,True
margin_short,2023-09-28,TPEx,reused_existing_compact,19,19,0,False
margin_short,2023-09-28,TWSE,reused_existing_compact,61,61,0,False
margin_short,2023-10-02,TPEx,accepted,19,19,0,True
margin_short,2023-10-02,TWSE,accepted,61,61,0,True
margin_short,2023-10-03,TPEx,accepted,19,19,0,True
margin_short,2023-10-03,TWSE,accepted,61,61,0,True
margin_short,2023-10-04,TPEx,accepted,19,19,0,True
margin_short,2023-10-04,TWSE,accepted,61,61,0,True
margin_short,2023-10-05,TPEx,accepted,19,19,0,True
margin_short,2023-10-05,TWSE,accepted,61,61,0,True
margin_short,2023-10-06,TPEx,accepted,21,20,1,True
margin_short,2023-10-06,TWSE,reused_existing_compact,59,59,0,False
margin_short,2023-10-11,TPEx,accepted,21,20,1,True
margin_short,2023-10-11,TWSE,accepted,59,59,0,True
margin_short,2023-10-12,TPEx,accepted,21,20,1,True
margin_short,2023-10-12,TWSE,accepted,59,59,0,True
margin_short,2023-10-13,TPEx,reused_existing_compact,20,20,0,False
margin_short,2023-10-13,TWSE,reused_existing_compact,60,60,0,False
margin_short,2023-10-16,TPEx,reused_existing_compact,20,20,0,False
margin_short,2023-10-16,TWSE,accepted,60,60,0,True
margin_short,2023-10-17,TPEx,reused_existing_compact,20,20,0,False
margin_short,2023-10-17,TWSE,accepted,60,60,0,True
margin_short,2023-10-18,TPEx,reused_existing_compact,20,20,0,False
margin_short,2023-10-18,TWSE,accepted,60,60,0,True
margin_short,2023-10-19,TPEx,reused_existing_compact,20,20,0,False
margin_short,2023-10-19,TWSE,accepted,60,60,0,True
margin_short,2023-10-20,TPEx,reused_existing_compact,15,15,0,False
margin_short,2023-10-20,TWSE,reused_existing_compact,65,65,0,False
margin_short,2023-10-23,TPEx,reused_existing_compact,15,15,0,False
margin_short,2023-10-23,TWSE,accepted,65,65,0,True
margin_short,2023-10-24,TPEx,reused_existing_compact,15,15,0,False
margin_short,2023-10-24,TWSE,accepted,65,65,0,True
margin_short,2023-10-25,TPEx,reused_existing_compact,15,15,0,False
margin_short,2023-10-25,TWSE,accepted,65,65,0,True
margin_short,2023-10-26,TPEx,reused_existing_compact,15,15,0,False
margin_short,2023-10-26,TWSE,accepted,65,65,0,True
margin_short,2023-10-27,TPEx,reused_existing_compact,21,21,0,False
margin_short,2023-10-27,TWSE,reused_existing_compact,59,59,0,False
margin_short,2023-10-30,TPEx,accepted,21,21,0,True
margin_short,2023-10-30,TWSE,reused_existing_compact,59,59,0,False
margin_short,2023-10-31,TPEx,accepted,21,21,0,True
margin_short,2023-10-31,TWSE,reused_existing_compact,59,59,0,False
margin_short,2023-11-01,TPEx,accepted,21,21,0,True
margin_short,2023-11-01,TWSE,reused_existing_compact,59,59,0,False
margin_short,2023-11-02,TPEx,accepted,21,21,0,True
margin_short,2023-11-02,TWSE,reused_existing_compact,59,59,0,False
margin_short,2023-11-03,TPEx,reused_existing_compact,23,23,0,False
margin_short,2023-11-03,TWSE,reused_existing_compact,57,57,0,False
margin_short,2023-11-06,TPEx,reused_existing_compact,23,23,0,False
margin_short,2023-11-06,TWSE,reused_existing_compact,57,57,0,False
margin_short,2023-11-07,TPEx,reused_existing_compact,23,23,0,False
margin_short,2023-11-07,TWSE,reused_existing_compact,57,57,0,False
margin_short,2023-11-08,TPEx,reused_existing_compact,23,23,0,False
margin_short,2023-11-08,TWSE,reused_existing_compact,57,57,0,False
margin_short,2023-11-09,TPEx,reused_existing_compact,23,23,0,False
margin_short,2023-11-09,TWSE,reused_existing_compact,57,57,0,False
margin_short,2023-11-10,TPEx,reused_existing_compact,20,20,0,False
margin_short,2023-11-10,TWSE,reused_existing_compact,60,60,0,False
margin_short,2023-11-13,TPEx,accepted,20,20,0,True
margin_short,2023-11-13,TWSE,accepted,60,60,0,True
margin_short,2023-11-14,TPEx,accepted,20,20,0,True
margin_short,2023-11-14,TWSE,accepted,60,60,0,True
margin_short,2023-11-15,TPEx,accepted,20,20,0,True
margin_short,2023-11-15,TWSE,accepted,60,60,0,True
margin_short,2023-11-16,TPEx,accepted,20,20,0,True
margin_short,2023-11-16,TWSE,accepted,60,60,0,True
margin_short,2023-11-17,TPEx,accepted,15,14,1,True
margin_short,2023-11-17,TWSE,accepted,65,64,1,True
margin_short,2023-11-20,TPEx,accepted,15,14,1,True
margin_short,2023-11-20,TWSE,accepted,65,64,1,True
margin_short,2023-11-21,TPEx,accepted,15,14,1,True
margin_short,2023-11-21,TWSE,accepted,65,64,1,True
margin_short,2023-11-22,TPEx,accepted,15,14,1,True
margin_short,2023-11-22,TWSE,accepted,65,64,1,True
margin_short,2023-11-23,TPEx,accepted,15,14,1,True
margin_short,2023-11-23,TWSE,accepted,65,64,1,True
margin_short,2023-11-24,TPEx,accepted,21,20,1,True
margin_short,2023-11-24,TWSE,accepted,59,58,1,True
margin_short,2023-11-27,TPEx,accepted,21,20,1,True
margin_short,2023-11-27,TWSE,accepted,59,58,1,True
margin_short,2023-11-28,TPEx,accepted,21,20,1,True
margin_short,2023-11-28,TWSE,accepted,59,58,1,True
margin_short,2023-11-29,TPEx,accepted,21,20,1,True
margin_short,2023-11-29,TWSE,accepted,59,58,1,True
margin_short,2023-11-30,TPEx,accepted,21,20,1,True
margin_short,2023-11-30,TWSE,accepted,59,58,1,True
margin_short,2023-12-01,TPEx,accepted,20,19,1,True
margin_short,2023-12-01,TWSE,accepted,60,59,1,True
margin_short,2023-12-04,TPEx,accepted,20,19,1,True
margin_short,2023-12-04,TWSE,accepted,60,59,1,True
margin_short,2023-12-05,TPEx,accepted,20,19,1,True
margin_short,2023-12-05,TWSE,accepted,60,59,1,True
margin_short,2023-12-06,TPEx,accepted,20,19,1,True
margin_short,2023-12-06,TWSE,accepted,60,59,1,True
margin_short,2023-12-07,TPEx,accepted,20,19,1,True
margin_short,2023-12-07,TWSE,accepted,60,59,1,True
margin_short,2023-12-08,TPEx,reused_existing_compact,21,21,0,False
margin_short,2023-12-08,TWSE,accepted,59,57,2,True
margin_short,2023-12-11,TPEx,accepted,21,21,0,True
margin_short,2023-12-11,TWSE,accepted,59,57,2,True
margin_short,2023-12-12,TPEx,accepted,21,21,0,True
margin_short,2023-12-12,TWSE,accepted,59,57,2,True
margin_short,2023-12-13,TPEx,accepted,21,21,0,True
margin_short,2023-12-13,TWSE,accepted,59,57,2,True
margin_short,2023-12-14,TPEx,accepted,21,21,0,True
margin_short,2023-12-14,TWSE,accepted,59,57,2,True
margin_short,2023-12-15,TPEx,accepted,16,14,2,True
margin_short,2023-12-15,TWSE,accepted,64,63,1,True
margin_short,2023-12-18,TPEx,accepted,16,14,2,True
margin_short,2023-12-18,TWSE,accepted,64,63,1,True
margin_short,2023-12-19,TPEx,accepted,16,14,2,True
margin_short,2023-12-19,TWSE,accepted,64,63,1,True
margin_short,2023-12-20,TPEx,accepted,16,14,2,True
margin_short,2023-12-20,TWSE,accepted,64,63,1,True
margin_short,2023-12-21,TPEx,accepted,16,14,2,True
margin_short,2023-12-21,TWSE,accepted,64,63,1,True
margin_short,2023-12-22,TPEx,accepted,19,18,1,True
margin_short,2023-12-22,TWSE,accepted,61,60,1,True
margin_short,2023-12-25,TPEx,accepted,19,18,1,True
margin_short,2023-12-25,TWSE,accepted,61,60,1,True
margin_short,2023-12-26,TPEx,accepted,19,18,1,True
margin_short,2023-12-26,TWSE,accepted,61,60,1,True
margin_short,2023-12-27,TPEx,accepted,19,18,1,True
margin_short,2023-12-27,TWSE,accepted,61,60,1,True
margin_short,2023-12-28,TPEx,accepted,19,18,1,True
margin_short,2023-12-28,TWSE,accepted,61,60,1,True
margin_short,2023-12-29,TPEx,accepted,18,17,1,True
margin_short,2023-12-29,TWSE,accepted,62,61,1,True
margin_short,2024-01-02,TPEx,accepted,18,17,1,True
margin_short,2024-01-02,TWSE,accepted,62,61,1,True
margin_short,2024-01-03,TPEx,accepted,18,17,1,True
margin_short,2024-01-03,TWSE,accepted,62,61,1,True
margin_short,2024-01-04,TPEx,accepted,18,17,1,True
margin_short,2024-01-04,TWSE,accepted,62,61,1,True
margin_short,2024-01-05,TPEx,accepted,15,13,2,True
margin_short,2024-01-05,TWSE,accepted,65,63,2,True
margin_short,2024-01-08,TPEx,accepted,15,13,2,True
margin_short,2024-01-08,TWSE,accepted,65,63,2,True
margin_short,2024-01-09,TPEx,accepted,15,13,2,True
margin_short,2024-01-09,TWSE,accepted,65,63,2,True
margin_short,2024-01-10,TPEx,accepted,15,13,2,True
margin_short,2024-01-10,TWSE,accepted,65,63,2,True
margin_short,2024-01-11,TPEx,accepted,15,13,2,True
margin_short,2024-01-11,TWSE,accepted,65,63,2,True
margin_short,2024-01-12,TPEx,accepted,14,13,1,True
margin_short,2024-01-12,TWSE,accepted,66,64,2,True
margin_short,2024-01-15,TPEx,accepted,14,13,1,True
margin_short,2024-01-15,TWSE,accepted,66,64,2,True
margin_short,2024-01-16,TPEx,accepted,14,13,1,True
margin_short,2024-01-16,TWSE,accepted,66,64,2,True
margin_short,2024-01-17,TPEx,accepted,14,13,1,True
margin_short,2024-01-17,TWSE,accepted,66,64,2,True
margin_short,2024-01-18,TPEx,accepted,14,13,1,True
margin_short,2024-01-18,TWSE,accepted,66,64,2,True
margin_short,2024-01-19,TPEx,accepted,16,15,1,True
margin_short,2024-01-19,TWSE,accepted,64,63,1,True
margin_short,2024-01-22,TPEx,accepted,16,15,1,True
margin_short,2024-01-22,TWSE,accepted,64,63,1,True
margin_short,2024-01-23,TPEx,accepted,16,15,1,True
margin_short,2024-01-23,TWSE,accepted,64,63,1,True
margin_short,2024-01-24,TPEx,accepted,16,15,1,True
margin_short,2024-01-24,TWSE,accepted,64,63,1,True
margin_short,2024-01-25,TPEx,accepted,16,15,1,True
margin_short,2024-01-25,TWSE,accepted,64,63,1,True
margin_short,2024-01-26,TPEx,accepted,20,19,1,True
margin_short,2024-01-26,TWSE,reused_existing_compact,60,60,0,False
margin_short,2024-01-29,TPEx,accepted,20,19,1,True
margin_short,2024-01-29,TWSE,accepted,60,60,0,True
margin_short,2024-01-30,TPEx,accepted,20,19,1,True
