ticker,market,status,required_dates,ready_dates,blocked_dates,retrieval_attempted
1101,TWSE,reused_existing_compact,413,413,0,False
1102,TWSE,reused_existing_compact,319,319,0,False
1210,TWSE,accepted,280,279,1,True
1215,TWSE,reused_existing_compact,84,84,0,False
1216,TWSE,accepted,705,704,1,True
1301,TWSE,reused_existing_compact,180,180,0,False
1303,TWSE,reused_existing_compact,458,458,0,False
1307,TWSE,reused_existing_compact,83,83,0,False
1319,TWSE,reused_existing_compact,492,492,0,False
1326,TWSE,reused_existing_compact,233,233,0,False
1339,TWSE,reused_existing_compact,84,84,0,False
1402,TWSE,reused_existing_compact,481,481,0,False
1409,TWSE,reused_existing_compact,80,80,0,False
1476,TWSE,accepted,686,685,1,True
1477,TWSE,reused_existing_compact,727,727,0,False
1503,TWSE,accepted,684,683,1,True
1504,TWSE,accepted,552,551,1,True
1513,TWSE,accepted,796,795,1,True
1514,TWSE,accepted,689,688,1,True
1515,TWSE,reused_existing_compact,84,84,0,False
1519,TWSE,accepted,727,726,1,True
1522,TWSE,reused_existing_compact,374,374,0,False
1524,TWSE,reused_existing_compact,402,402,0,False
1529,TWSE,reused_existing_compact,84,84,0,False
1532,TWSE,reused_existing_compact,84,84,0,False
1536,TWSE,reused_existing_compact,102,102,0,False
1540,TWSE,reused_existing_compact,86,86,0,False
1560,TWSE,accepted,785,784,1,True
1582,TWSE,reused_existing_compact,285,285,0,False
1584,TPEx,reused_existing_compact,358,358,0,False
1590,TWSE,accepted,673,672,1,True
1597,TWSE,reused_existing_compact,365,365,0,False
1603,TWSE,reused_existing_compact,101,101,0,False
1605,TWSE,reused_existing_compact,577,577,0,False
1608,TWSE,reused_existing_compact,257,257,0,False
1609,TWSE,accepted,586,585,1,True
1612,TWSE,reused_existing_compact,121,121,0,False
1616,TWSE,accepted,124,123,1,True
1618,TWSE,reused_existing_compact,436,436,0,False
1702,TWSE,reused_existing_compact,84,84,0,False
1708,TWSE,reused_existing_compact,89,89,0,False
1711,TWSE,reused_existing_compact,105,105,0,False
1717,TWSE,reused_existing_compact,213,213,0,False
1722,TWSE,reused_existing_compact,84,84,0,False
1727,TWSE,reused_existing_compact,84,84,0,False
1732,TWSE,reused_existing_compact,84,84,0,False
1736,TWSE,reused_existing_compact,101,101,0,False
1760,TWSE,reused_existing_compact,99,99,0,False
1773,TWSE,accepted,176,175,1,True
1785,TPEx,accepted,704,703,1,True
1795,TWSE,accepted,612,611,1,True
1802,TWSE,reused_existing_compact,167,167,0,False
