period_market,completed_at,status,accepted_rows,shard_path
2015Q1_sii,2026-07-03T18:28:12.128245+08:00,completed,828,shards\accepted_quarterly_fundamentals_rows_2015.csv
2015Q1_otc,2026-07-03T18:28:13.641016+08:00,completed,632,shards\accepted_quarterly_fundamentals_rows_2015.csv
2015Q2_sii,2026-07-03T18:28:16.559780+08:00,completed,893,shards\accepted_quarterly_fundamentals_rows_2015.csv
2015Q2_otc,2026-07-03T18:28:18.498959+08:00,completed,714,shards\accepted_quarterly_fundamentals_rows_2015.csv
2015Q3_sii,2026-07-03T18:28:20.691710+08:00,completed,838,shards\accepted_quarterly_fundamentals_rows_2015.csv
2015Q3_otc,2026-07-03T18:28:22.509290+08:00,completed,642,shards\accepted_quarterly_fundamentals_rows_2015.csv
2015Q4_sii,2026-07-03T18:28:26.411148+08:00,completed,923,shards\accepted_quarterly_fundamentals_rows_2015.csv
2015Q4_otc,2026-07-03T18:28:29.181403+08:00,completed,734,shards\accepted_quarterly_fundamentals_rows_2015.csv
2016Q1_sii,2026-07-03T18:28:33.346095+08:00,completed,853,shards\accepted_quarterly_fundamentals_rows_2016.csv
2016Q1_otc,2026-07-03T18:28:35.560067+08:00,completed,657,shards\accepted_quarterly_fundamentals_rows_2016.csv
2016Q2_sii,2026-07-03T18:28:38.683779+08:00,completed,911,shards\accepted_quarterly_fundamentals_rows_2016.csv
2016Q2_otc,2026-07-03T18:28:40.572351+08:00,completed,730,shards\accepted_quarterly_fundamentals_rows_2016.csv
2016Q3_sii,2026-07-03T18:28:43.041636+08:00,completed,864,shards\accepted_quarterly_fundamentals_rows_2016.csv
2016Q3_otc,2026-07-03T18:28:44.855230+08:00,completed,668,shards\accepted_quarterly_fundamentals_rows_2016.csv
2016Q4_sii,2026-07-03T18:28:47.151579+08:00,completed,937,shards\accepted_quarterly_fundamentals_rows_2016.csv
2016Q4_otc,2026-07-03T18:28:49.150978+08:00,completed,752,shards\accepted_quarterly_fundamentals_rows_2016.csv
2017Q1_sii,2026-07-03T18:28:51.554617+08:00,completed,871,shards\accepted_quarterly_fundamentals_rows_2017.csv
2017Q1_otc,2026-07-03T18:28:53.357917+08:00,completed,677,shards\accepted_quarterly_fundamentals_rows_2017.csv
2017Q2_sii,2026-07-03T18:28:56.254643+08:00,completed,928,shards\accepted_quarterly_fundamentals_rows_2017.csv
2017Q2_otc,2026-07-03T18:28:58.166616+08:00,completed,746,shards\accepted_quarterly_fundamentals_rows_2017.csv
2017Q3_sii,2026-07-03T18:29:03.121013+08:00,completed,884,shards\accepted_quarterly_fundamentals_rows_2017.csv
2017Q3_otc,2026-07-03T18:29:06.597529+08:00,completed,690,shards\accepted_quarterly_fundamentals_rows_2017.csv
2017Q4_sii,2026-07-03T18:29:11.135542+08:00,completed,954,shards\accepted_quarterly_fundamentals_rows_2017.csv
2017Q4_otc,2026-07-03T18:29:13.547673+08:00,completed,772,shards\accepted_quarterly_fundamentals_rows_2017.csv
2018Q1_sii,2026-07-03T18:29:17.091049+08:00,completed,892,shards\accepted_quarterly_fundamentals_rows_2018.csv
2018Q1_otc,2026-07-03T18:29:19.718898+08:00,completed,709,shards\accepted_quarterly_fundamentals_rows_2018.csv
2018Q2_sii,2026-07-03T18:29:24.880352+08:00,completed,944,shards\accepted_quarterly_fundamentals_rows_2018.csv
2018Q2_otc,2026-07-03T18:29:27.374775+08:00,completed,767,shards\accepted_quarterly_fundamentals_rows_2018.csv
2018Q3_sii,2026-07-03T18:29:30.769277+08:00,completed,909,shards\accepted_quarterly_fundamentals_rows_2018.csv
2018Q3_otc,2026-07-03T18:29:33.343797+08:00,completed,720,shards\accepted_quarterly_fundamentals_rows_2018.csv
2018Q4_sii,2026-07-03T18:29:37.561574+08:00,completed,972,shards\accepted_quarterly_fundamentals_rows_2018.csv
2018Q4_otc,2026-07-03T18:29:40.804017+08:00,completed,793,shards\accepted_quarterly_fundamentals_rows_2018.csv
2019Q1_sii,2026-07-03T18:29:44.516314+08:00,completed,915,shards\accepted_quarterly_fundamentals_rows_2019.csv
2019Q1_otc,2026-07-03T18:29:47.182300+08:00,completed,725,shards\accepted_quarterly_fundamentals_rows_2019.csv
2019Q2_sii,2026-07-03T18:29:52.233382+08:00,completed,965,shards\accepted_quarterly_fundamentals_rows_2019.csv
2019Q2_otc,2026-07-03T18:29:54.989662+08:00,completed,787,shards\accepted_quarterly_fundamentals_rows_2019.csv
2019Q3_sii,2026-07-03T18:30:00.203022+08:00,completed,923,shards\accepted_quarterly_fundamentals_rows_2019.csv
2019Q3_otc,2026-07-03T18:30:04.157714+08:00,completed,735,shards\accepted_quarterly_fundamentals_rows_2019.csv
2019Q4_sii,2026-07-03T18:30:11.792724+08:00,completed,987,shards\accepted_quarterly_fundamentals_rows_2019.csv
2019Q4_otc,2026-07-03T18:30:16.958227+08:00,completed,809,shards\accepted_quarterly_fundamentals_rows_2019.csv
2020Q1_sii,2026-07-03T18:30:26.546047+08:00,completed,930,shards\accepted_quarterly_fundamentals_rows_2020.csv
2020Q1_otc,2026-07-03T18:30:31.171217+08:00,completed,743,shards\accepted_quarterly_fundamentals_rows_2020.csv
2020Q2_sii,2026-07-03T18:30:37.924990+08:00,completed,981,shards\accepted_quarterly_fundamentals_rows_2020.csv
2020Q2_otc,2026-07-03T18:30:41.259282+08:00,completed,800,shards\accepted_quarterly_fundamentals_rows_2020.csv
2020Q3_sii,2026-07-03T18:30:46.884281+08:00,completed,933,shards\accepted_quarterly_fundamentals_rows_2020.csv
2020Q3_otc,2026-07-03T18:30:49.457815+08:00,completed,750,shards\accepted_quarterly_fundamentals_rows_2020.csv
2020Q4_sii,2026-07-03T18:30:54.452013+08:00,completed,1008,shards\accepted_quarterly_fundamentals_rows_2020.csv
2020Q4_otc,2026-07-03T18:30:57.503193+08:00,completed,822,shards\accepted_quarterly_fundamentals_rows_2020.csv
2021Q1_sii,2026-07-03T18:31:01.832467+08:00,completed,946,shards\accepted_quarterly_fundamentals_rows_2021.csv
2021Q1_otc,2026-07-03T18:31:04.786962+08:00,completed,759,shards\accepted_quarterly_fundamentals_rows_2021.csv
2021Q2_sii,2026-07-03T18:31:10.310807+08:00,completed,1000,shards\accepted_quarterly_fundamentals_rows_2021.csv
2021Q2_otc,2026-07-03T18:31:14.134114+08:00,completed,822,shards\accepted_quarterly_fundamentals_rows_2021.csv
2021Q3_sii,2026-07-03T18:31:19.421474+08:00,completed,957,shards\accepted_quarterly_fundamentals_rows_2021.csv
2021Q3_otc,2026-07-03T18:31:22.659158+08:00,completed,772,shards\accepted_quarterly_fundamentals_rows_2021.csv
2021Q4_sii,2026-07-03T18:31:27.647299+08:00,completed,1033,shards\accepted_quarterly_fundamentals_rows_2021.csv
2021Q4_otc,2026-07-03T18:31:30.617548+08:00,completed,851,shards\accepted_quarterly_fundamentals_rows_2021.csv
2022Q1_sii,2026-07-03T18:31:34.412331+08:00,completed,965,shards\accepted_quarterly_fundamentals_rows_2022.csv
2022Q1_otc,2026-07-03T18:31:37.959404+08:00,completed,785,shards\accepted_quarterly_fundamentals_rows_2022.csv
2022Q2_sii,2026-07-03T18:31:43.090845+08:00,completed,1023,shards\accepted_quarterly_fundamentals_rows_2022.csv
2022Q2_otc,2026-07-03T18:31:47.611975+08:00,completed,836,shards\accepted_quarterly_fundamentals_rows_2022.csv
2022Q3_sii,2026-07-03T18:31:53.264704+08:00,completed,977,shards\accepted_quarterly_fundamentals_rows_2022.csv
2022Q3_otc,2026-07-03T18:31:57.971440+08:00,completed,792,shards\accepted_quarterly_fundamentals_rows_2022.csv
2022Q4_sii,2026-07-03T18:32:05.410586+08:00,completed,1059,shards\accepted_quarterly_fundamentals_rows_2022.csv
2022Q4_otc,2026-07-03T18:32:09.502296+08:00,completed,875,shards\accepted_quarterly_fundamentals_rows_2022.csv
2023Q1_sii,2026-07-03T18:32:15.634425+08:00,completed,989,shards\accepted_quarterly_fundamentals_rows_2023.csv
2023Q1_otc,2026-07-03T18:32:20.305945+08:00,completed,805,shards\accepted_quarterly_fundamentals_rows_2023.csv
2023Q2_sii,2026-07-03T18:32:25.485416+08:00,completed,1044,shards\accepted_quarterly_fundamentals_rows_2023.csv
2023Q2_otc,2026-07-03T18:32:30.146046+08:00,completed,867,shards\accepted_quarterly_fundamentals_rows_2023.csv
2023Q3_sii,2026-07-03T18:32:37.518035+08:00,completed,1007,shards\accepted_quarterly_fundamentals_rows_2023.csv
2023Q3_otc,2026-07-03T18:32:42.989366+08:00,completed,815,shards\accepted_quarterly_fundamentals_rows_2023.csv
2023Q4_sii,2026-07-03T18:32:48.766281+08:00,completed,1077,shards\accepted_quarterly_fundamentals_rows_2023.csv
2023Q4_otc,2026-07-03T18:32:52.997573+08:00,completed,886,shards\accepted_quarterly_fundamentals_rows_2023.csv
2024Q1_sii,2026-07-03T18:32:58.142348+08:00,completed,1025,shards\accepted_quarterly_fundamentals_rows_2024.csv
2024Q1_otc,2026-07-03T18:33:02.778247+08:00,completed,836,shards\accepted_quarterly_fundamentals_rows_2024.csv
2024Q2_sii,2026-07-03T18:33:08.469314+08:00,completed,1069,shards\accepted_quarterly_fundamentals_rows_2024.csv
2024Q2_otc,2026-07-03T18:33:13.358134+08:00,completed,885,shards\accepted_quarterly_fundamentals_rows_2024.csv
2024Q3_sii,2026-07-03T18:33:18.914693+08:00,completed,1042,shards\accepted_quarterly_fundamentals_rows_2024.csv
2024Q3_otc,2026-07-03T18:33:26.999486+08:00,completed,851,shards\accepted_quarterly_fundamentals_rows_2024.csv
2024Q4_sii,2026-07-03T18:33:33.123137+08:00,completed,1078,shards\accepted_quarterly_fundamentals_rows_2024.csv
2024Q4_otc,2026-07-03T18:33:38.880300+08:00,completed,891,shards\accepted_quarterly_fundamentals_rows_2024.csv
2025Q1_sii,2026-07-03T18:33:44.252329+08:00,completed,1059,shards\accepted_quarterly_fundamentals_rows_2025.csv
2025Q1_otc,2026-07-03T18:33:48.382526+08:00,completed,875,shards\accepted_quarterly_fundamentals_rows_2025.csv
2025Q2_sii,2026-07-03T18:33:56.213835+08:00,completed,1077,shards\accepted_quarterly_fundamentals_rows_2025.csv
2025Q2_otc,2026-07-03T18:34:01.994650+08:00,completed,891,shards\accepted_quarterly_fundamentals_rows_2025.csv
2025Q3_sii,2026-07-03T18:34:08.292699+08:00,completed,1079,shards\accepted_quarterly_fundamentals_rows_2025.csv
2025Q3_otc,2026-07-03T18:34:13.323607+08:00,completed,891,shards\accepted_quarterly_fundamentals_rows_2025.csv
2025Q4_sii,2026-07-03T18:34:20.182987+08:00,completed,1078,shards\accepted_quarterly_fundamentals_rows_2025.csv
2025Q4_otc,2026-07-03T18:34:26.014537+08:00,completed,891,shards\accepted_quarterly_fundamentals_rows_2025.csv
2026Q1_sii,2026-07-03T18:34:30.391576+08:00,completed,1078,shards\accepted_quarterly_fundamentals_rows_2026.csv
2026Q1_otc,2026-07-03T18:34:34.707090+08:00,completed,891,shards\accepted_quarterly_fundamentals_rows_2026.csv
