symbol,name,theme,status,message
2408,南亞科,記憶體,covered_existing,cache already covers all required periods
2344,華邦電,記憶體,covered_existing,cache already covers all required periods
2337,旺宏,記憶體,covered_existing,cache already covers all required periods
3006,晶豪科,記憶體,covered_existing,cache already covers all required periods
3260,威剛,記憶體,covered_existing,cache already covers all required periods
8299,群聯,記憶體,covered_existing,cache already covers all required periods
8271,宇瞻,記憶體,covered_existing,cache already covers all required periods
8088,品安,記憶體,covered_existing,cache already covers all required periods
6531,愛普*,記憶體,covered_existing,cache already covers all required periods
6770,力積電,記憶體,covered_existing,cache already covers all required periods
3037,欣興,PCB/載板,covered_existing,cache already covers all required periods
8046,南電,PCB/載板,covered_existing,cache already covers all required periods
3189,景碩,PCB/載板,covered_existing,cache already covers all required periods
2368,金像電,PCB/載板,covered_existing,cache already covers all required periods
2383,台光電,PCB/載板,covered_existing,cache already covers all required periods
6274,台燿,PCB/載板,covered_existing,cache already covers all required periods
6213,聯茂,PCB/載板,covered_existing,cache already covers all required periods
8358,金居,PCB/載板,covered_existing,cache already covers all required periods
2313,華通,PCB/載板,covered_existing,cache already covers all required periods
3044,健鼎,PCB/載板,covered_existing,cache already covers all required periods
4958,臻鼎-KY,PCB/載板,covered_existing,cache already covers all required periods
2316,楠梓電,PCB/載板,covered_existing,cache already covers all required periods
2367,燿華,PCB/載板,covered_existing,cache already covers all required periods
1815,富喬,PCB/載板,covered_existing,cache already covers all required periods
5439,高技,PCB/載板,covered_existing,cache already covers all required periods
3163,波若威,CPO/矽光子,covered_existing,cache already covers all required periods
3363,上詮,CPO/矽光子,covered_existing,cache already covers all required periods
4908,前鼎,CPO/矽光子,covered_existing,cache already covers all required periods
4979,華星光,CPO/矽光子,covered_existing,cache already covers all required periods
3081,聯亞,CPO/矽光子,covered_existing,cache already covers all required periods
3450,聯鈞,CPO/矽光子,covered_existing,cache already covers all required periods
3234,光環,CPO/矽光子,covered_existing,cache already covers all required periods
4977,眾達-KY,CPO/矽光子,covered_existing,cache already covers all required periods
6442,光聖,CPO/矽光子,covered_existing,cache already covers all required periods
6451,訊芯-KY,CPO/矽光子,covered_existing,cache already covers all required periods
2327,國巨,被動元件,covered_existing,cache already covers all required periods
2492,華新科,被動元件,covered_existing,cache already covers all required periods
2472,立隆電,被動元件,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2472_TW.csv
3026,禾伸堂,被動元件,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3026_TW.csv
3090,日電貿,被動元件,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3090_TW.csv
2375,凱美,被動元件,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2375_TW.csv
6173,信昌電,被動元件,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\6173_TWO.csv
6127,九豪,被動元件,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\6127_TWO.csv
8043,蜜望實,被動元件,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\8043_TWO.csv
3624,光頡,被動元件,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3624_TWO.csv
3357,臺慶科,被動元件,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3357_TWO.csv
3236,千如,被動元件,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3236_TWO.csv
2382,廣達,AI伺服器/ODM,covered_existing,cache already covers all required periods
3231,緯創,AI伺服器/ODM,covered_existing,cache already covers all required periods
6669,緯穎,AI伺服器/ODM,covered_existing,cache already covers all required periods
2356,英業達,AI伺服器/ODM,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2356_TW.csv
2376,技嘉,AI伺服器/ODM,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2376_TW.csv
