symbol,name,theme,status,message
2357,華碩,AI伺服器/ODM,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2357_TW.csv
2317,鴻海,AI伺服器/ODM,covered_existing,cache already covers all required periods
2301,光寶科,AI伺服器/ODM,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2301_TW.csv
3017,奇鋐,散熱,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3017_TW.csv
3324,雙鴻,散熱,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3324_TWO.csv
6230,尼得科超眾,散熱,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\6230_TW.csv
2421,建準,散熱,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2421_TW.csv
3653,健策,散熱,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3653_TW.csv
3483,力致,散熱,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3483_TWO.csv
3338,泰碩,散熱,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3338_TW.csv
2308,台達電,電源/BBU,covered_existing,cache already covers all required periods
6412,群電,電源/BBU,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\6412_TW.csv
3015,全漢,電源/BBU,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3015_TW.csv
2457,飛宏,電源/BBU,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2457_TW.csv
4931,新盛力,電源/BBU,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\4931_TWO.csv
3211,順達,電源/BBU,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3211_TWO.csv
3323,加百裕,電源/BBU,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3323_TWO.csv
1513,中興電,重電/電網,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\1513_TW.csv
1519,華城,重電/電網,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\1519_TW.csv
1504,東元,重電/電網,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\1504_TW.csv
1605,華新,重電/電網,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\1605_TW.csv
1609,大亞,重電/電網,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\1609_TW.csv
1514,亞力,重電/電網,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\1514_TW.csv
1618,合機,重電/電網,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\1618_TW.csv
6806,森崴能源,重電/電網,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\6806_TW.csv
2049,上銀,機器人/自動化,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2049_TW.csv
1590,亞德客-KY,機器人/自動化,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\1590_TW.csv
2359,所羅門,機器人/自動化,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2359_TW.csv
2464,盟立,機器人/自動化,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2464_TW.csv
4576,大銀微系統,機器人/自動化,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\4576_TW.csv
6166,凌華,機器人/自動化,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\6166_TW.csv
3443,創意,ASIC/IP,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3443_TW.csv
3661,世芯-KY,ASIC/IP,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3661_TW.csv
3035,智原,ASIC/IP,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3035_TW.csv
3529,力旺,ASIC/IP,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3529_TWO.csv
5274,信驊,ASIC/IP,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\5274_TWO.csv
2454,聯發科,ASIC/IP,covered_existing,cache already covers all required periods
2379,瑞昱,ASIC/IP,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2379_TW.csv
3711,日月光投控,封測/CoWoS,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3711_TW.csv
2449,京元電子,封測/CoWoS,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2449_TW.csv
6239,力成,封測/CoWoS,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\6239_TW.csv
6257,矽格,封測/CoWoS,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\6257_TW.csv
3264,欣銓,封測/CoWoS,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3264_TWO.csv
6510,精測,封測/CoWoS,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\6510_TWO.csv
6223,旺矽,封測/CoWoS,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\6223_TWO.csv
6147,頎邦,封測/CoWoS,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\6147_TWO.csv
3131,弘塑,半導體設備/耗材,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3131_TWO.csv
3583,辛耘,半導體設備/耗材,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3583_TW.csv
6187,萬潤,半導體設備/耗材,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\6187_TWO.csv
2467,志聖,半導體設備/耗材,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2467_TW.csv
3413,京鼎,半導體設備/耗材,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3413_TW.csv
5434,崇越,半導體設備/耗材,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\5434_TW.csv
4768,晶呈科技,半導體設備/耗材,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\4768_TWO.csv
2634,漢翔,軍工/無人機,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2634_TW.csv
2208,台船,軍工/無人機,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2208_TW.csv
8033,雷虎,軍工/無人機,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\8033_TW.csv
4572,駐龍,軍工/無人機,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\4572_TW.csv
4916,事欣科,軍工/無人機,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\4916_TW.csv
1536,和大,車用電子,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\1536_TW.csv
2231,為升,車用電子,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2231_TW.csv
3665,貿聯-KY,車用電子,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3665_TW.csv
6279,胡連,車用電子,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\6279_TWO.csv
3552,同致,車用電子,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3552_TWO.csv
2497,怡利電,車用電子,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2497_TW.csv
2347,聯強,電子通路,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2347_TW.csv
3702,大聯大,電子通路,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3702_TW.csv
3036,文曄,電子通路,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3036_TW.csv
3010,華立,電子通路,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3010_TW.csv
3023,信邦,電子通路,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3023_TW.csv
2603,長榮,航運,covered_existing,cache already covers all required periods
2609,陽明,航運,covered_existing,cache already covers all required periods
2615,萬海,航運,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2615_TW.csv
2618,長榮航,航運,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2618_TW.csv
2610,華航,航運,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2610_TW.csv
2606,裕民,航運,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2606_TW.csv
2605,新興,航運,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2605_TW.csv
2881,富邦金,金融,covered_existing,cache already covers all required periods
2882,國泰金,金融,covered_existing,cache already covers all required periods
2884,玉山金,金融,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2884_TW.csv
2885,元大金,金融,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2885_TW.csv
2886,兆豐金,金融,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2886_TW.csv
2891,中信金,金融,covered_existing,cache already covers all required periods
2892,第一金,金融,covered_existing,cache already covers all required periods
2880,華南金,金融,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2880_TW.csv
5876,上海商銀,金融,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\5876_TW.csv
1301,台塑,塑化,covered_existing,cache already covers all required periods
1303,南亞,塑化,covered_existing,cache already covers all required periods
1326,台化,塑化,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\1326_TW.csv
6505,台塑化,塑化,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\6505_TW.csv
1314,中石化,塑化,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\1314_TW.csv
1304,台聚,塑化,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\1304_TW.csv
6446,藥華藥,生技醫療,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\6446_TW.csv
4743,合一,生技醫療,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\4743_TWO.csv
1795,美時,生技醫療,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\1795_TW.csv
1760,寶齡富錦,生技醫療,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\1760_TW.csv
4162,智擎,生技醫療,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\4162_TWO.csv
4123,晟德,生技醫療,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\4123_TWO.csv
2707,晶華,觀光餐飲,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2707_TW.csv
2727,王品,觀光餐飲,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2727_TW.csv
2731,雄獅,觀光餐飲,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2731_TW.csv
2748,雲品,觀光餐飲,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2748_TW.csv
2753,八方雲集,觀光餐飲,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2753_TW.csv
2723,美食-KY,觀光餐飲,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2723_TW.csv
2739,寒舍,觀光餐飲,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2739_TW.csv
6443,元晶,綠能/儲能,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\6443_TW.csv
6244,茂迪,綠能/儲能,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\6244_TWO.csv
3576,聯合再生,綠能/儲能,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3576_TW.csv
3708,上緯投控,綠能/儲能,downloaded,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3708_TW.csv
