file,source_url,source_title,source_date,download_status,parse_status,exact_or_proxy
tip_1276_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1276/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：禾伸堂延期納入成分股,2026/06/18,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_1275_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1275/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：大量延期納入成分股,2026/06/18,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_1270_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1270/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：延期刪除來億-KY及富邦媒,2026/06/15,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_1262_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1262/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股定期審核結果,2026/06/05,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_1217_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1217/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：旺宏納入成分股,2026/04/09,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_1215_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1215/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：欣興納入刪除成分股,2026/04/02,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_1205_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1205/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：旺宏納入成分股延期,2026/03/19,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_1206_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1206/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：欣興納入刪除成分股延期,2026/03/19,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_1199_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1199/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股定期審核結果,2026/03/06,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_1173_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1173/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：南亞科納入刪除成分股,2025/12/23,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_1170_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1170/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列成分股變動：南亞科納入刪除成分股延期,2025/12/16,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_1156_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1156/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股審核,2025/12/05,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
tip_1105_tw.pdf,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/1105/tw,臺灣證券交易所與富時國際有限公司合編之臺灣指數系列及臺灣高股息指數成分股審核,2025/09/05,download_failed:HTTPError:HTTP Error 429: Too Many Requests,parse_pending,exact_candidate
