ticker,year_month,route,source_url,raw_cache_path,raw_sha256,route_status,route_error,accepted_rows,response_bytes,retrieved_at_utc,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
1101,201505,twse_rwd_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150501&stockNo=1101&response=json,raw_sources\twse_rwd_stock_day_1101_201505.json,3a364492cd4e296f71a6f91de2230ccde038f00a7f8ad452f3a9b6420bb8126c,fetched,,20,2605,2026-07-08T11:53:38+00:00,0,False,False,False,False,False,False,False,True,False
1216,201912,twse_rwd_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20191201&stockNo=1216&response=json,raw_sources\twse_rwd_stock_day_1216_201912.json,b3c23b9ecbdc9fced36fd9437dc514e8c82f37735c5ef1ef3919153f10dc1727,fetched,,22,2872,2026-07-08T11:53:38+00:00,0,False,False,False,False,False,False,False,True,False
1301,201505,twse_rwd_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150501&stockNo=1301&response=json,raw_sources\twse_rwd_stock_day_1301_201505.json,2331331023c853c88f191c809d80448cb14340f8eefcfea911a85573abecb040,fetched,,20,2609,2026-07-08T11:53:38+00:00,0,False,False,False,False,False,False,False,True,False
1301,201705,twse_rwd_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170501&stockNo=1301&response=json,raw_sources\twse_rwd_stock_day_1301_201705.json,de4ee7e0cd697c3e4fdbb13569a6b89b0c0a3ae0ded3f3d2c665d9e9e079b7e3,fetched,,0,71,2026-07-08T11:53:38+00:00,0,False,False,False,False,False,False,False,True,False
1301,201705,tpex_trading_stock,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1301&date=2017/05/01&response=json,raw_sources\tpex_trading_stock_1301_201705.json,0ec09290464fe28513e2d4fb2062486f0689a93c3bbc8953f2b271f1364e5d3e,fetched,,0,376,2026-07-08T11:53:39+00:00,0,False,False,False,False,False,False,False,True,False
1301,201806,twse_rwd_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20180601&stockNo=1301&response=json,raw_sources\twse_rwd_stock_day_1301_201806.json,c39a9bf1b0fdbdf47c4236791f2784c37b26e8b2352fd33de9546cef130a4f5e,fetched,,20,2784,2026-07-08T11:53:39+00:00,0,False,False,False,False,False,False,False,True,False
1303,201510,twse_rwd_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20151001&stockNo=1303&response=json,raw_sources\twse_rwd_stock_day_1303_201510.json,61f0bc661a2cc6790fc66160a15490a14b16bda3d012ac35a62061f084533c10,fetched,,21,2697,2026-07-08T11:53:39+00:00,0,False,False,False,False,False,False,False,True,False
1303,201702,twse_rwd_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170201&stockNo=1303&response=json,raw_sources\twse_rwd_stock_day_1303_201702.json,f7d7e8888b01540313d40b52b16b13a9344973f691a39f12ea668df8d897e43a,fetched,,18,2513,2026-07-08T11:53:39+00:00,0,False,False,False,False,False,False,False,True,False
1303,201708,twse_rwd_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170801&stockNo=1303&response=json,raw_sources\twse_rwd_stock_day_1303_201708.json,156b9d4a541ad429ae1de443b1c6a9e214267a9367f20ac9faf62a3709e09329,fetched,,23,2959,2026-07-08T11:53:39+00:00,0,False,False,False,False,False,False,False,True,False
1303,201709,twse_rwd_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170901&stockNo=1303&response=json,raw_sources\twse_rwd_stock_day_1303_201709.json,f9f35dffefbe9fa2a4e1aef3dce326e48773002ed866f0d17c9c220640e1538f,fetched,,22,2869,2026-07-08T11:53:39+00:00,0,False,False,False,False,False,False,False,True,False
1303,201806,twse_rwd_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20180601&stockNo=1303&response=json,raw_sources\twse_rwd_stock_day_1303_201806.json,5bb29c475c8a6b5f6166cdd31011a6aefde7d351e82ae8691c4d1e83942a7d2f,fetched,,20,2710,2026-07-08T11:53:40+00:00,0,False,False,False,False,False,False,False,True,False
1326,201711,twse_rwd_stock_day,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20171101&stockNo=1326&response=json,raw_sources\twse_rwd_stock_day_1326_201711.json,69687857519986c286219c55d626f56fbeccc2c7f8a56e4e5b6aae48a31e4ff9,fetched,,22,2864,2026-07-08T11:53:40+00:00,0,False,False,False,False,False,False,False,True,False
