period_id,period_type,target_snapshot_date,priority,expected_filename,expected_path,file_status,byte_size,pdf_header_status,review_status,next_action
2022-01,monthly,2022-01-31,1,yuanta_0050_monthly_202201.pdf,data\formal_sources\tw50_0050_holdings_manual_ledger_intake\manual_pdfs\yuanta_0050_monthly_202201.pdf,missing,0,not_checked,source_pending,place the expected PDF in the manual_pdfs folder
2022-Q1,quarterly,2022-03-31,1,yuanta_domestic_holdings_2022Q1.pdf,data\formal_sources\tw50_0050_holdings_manual_ledger_intake\manual_pdfs\yuanta_domestic_holdings_2022Q1.pdf,missing,0,not_checked,source_pending,place the expected PDF in the manual_pdfs folder
2022-06,monthly,2022-06-30,2,yuanta_0050_monthly_202206.pdf,data\formal_sources\tw50_0050_holdings_manual_ledger_intake\manual_pdfs\yuanta_0050_monthly_202206.pdf,missing,0,not_checked,source_pending,place the expected PDF in the manual_pdfs folder
2022-Q2,quarterly,2022-06-30,2,yuanta_domestic_holdings_2022Q2.pdf,data\formal_sources\tw50_0050_holdings_manual_ledger_intake\manual_pdfs\yuanta_domestic_holdings_2022Q2.pdf,missing,0,not_checked,source_pending,place the expected PDF in the manual_pdfs folder
2022-12,monthly,2022-12-31,2,yuanta_0050_monthly_202212.pdf,data\formal_sources\tw50_0050_holdings_manual_ledger_intake\manual_pdfs\yuanta_0050_monthly_202212.pdf,missing,0,not_checked,source_pending,place the expected PDF in the manual_pdfs folder
2023-03,monthly,2023-03-31,3,yuanta_0050_monthly_202303.pdf,data\formal_sources\tw50_0050_holdings_manual_ledger_intake\manual_pdfs\yuanta_0050_monthly_202303.pdf,missing,0,not_checked,source_pending,place the expected PDF in the manual_pdfs folder
2023-Q1,quarterly,2023-03-31,3,yuanta_domestic_holdings_2023Q1.pdf,data\formal_sources\tw50_0050_holdings_manual_ledger_intake\manual_pdfs\yuanta_domestic_holdings_2023Q1.pdf,missing,0,not_checked,source_pending,place the expected PDF in the manual_pdfs folder
2023-12,monthly,2023-12-31,3,yuanta_0050_monthly_202312.pdf,data\formal_sources\tw50_0050_holdings_manual_ledger_intake\manual_pdfs\yuanta_0050_monthly_202312.pdf,missing,0,not_checked,source_pending,place the expected PDF in the manual_pdfs folder
2024-03,monthly,2024-03-31,4,yuanta_0050_monthly_202403.pdf,data\formal_sources\tw50_0050_holdings_manual_ledger_intake\manual_pdfs\yuanta_0050_monthly_202403.pdf,missing,0,not_checked,source_pending,place the expected PDF in the manual_pdfs folder
2024-Q1,quarterly,2024-03-31,4,yuanta_domestic_holdings_2024Q1.pdf,data\formal_sources\tw50_0050_holdings_manual_ledger_intake\manual_pdfs\yuanta_domestic_holdings_2024Q1.pdf,missing,0,not_checked,source_pending,place the expected PDF in the manual_pdfs folder
2024-12,monthly,2024-12-31,4,yuanta_0050_monthly_202412.pdf,data\formal_sources\tw50_0050_holdings_manual_ledger_intake\manual_pdfs\yuanta_0050_monthly_202412.pdf,missing,0,not_checked,source_pending,place the expected PDF in the manual_pdfs folder
2025-03,monthly,2025-03-31,5,yuanta_0050_monthly_202503.pdf,data\formal_sources\tw50_0050_holdings_manual_ledger_intake\manual_pdfs\yuanta_0050_monthly_202503.pdf,missing,0,not_checked,source_pending,place the expected PDF in the manual_pdfs folder
2025-Q1,quarterly,2025-03-31,5,yuanta_domestic_holdings_2025Q1.pdf,data\formal_sources\tw50_0050_holdings_manual_ledger_intake\manual_pdfs\yuanta_domestic_holdings_2025Q1.pdf,missing,0,not_checked,source_pending,place the expected PDF in the manual_pdfs folder
2025-12,monthly,2025-12-31,5,yuanta_0050_monthly_202512.pdf,data\formal_sources\tw50_0050_holdings_manual_ledger_intake\manual_pdfs\yuanta_0050_monthly_202512.pdf,missing,0,not_checked,source_pending,place the expected PDF in the manual_pdfs folder
2026-05,monthly,2026-05-31,6,yuanta_0050_monthly_202605.pdf,data\formal_sources\tw50_0050_holdings_manual_ledger_intake\manual_pdfs\yuanta_0050_monthly_202605.pdf,missing,0,not_checked,source_pending,place the expected PDF in the manual_pdfs folder
