ticker,market,report_period,t164sb05_status,t164sb03_status,official_asof_match_status,operating_cash_flow,investing_cash_flow,capex_proxy,inventory,receivables_trade,current_assets,current_liabilities,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1101,TWSE,115Q1,code=200 rows=75,code=200 rows=70,accepted,3358179,4029757,-8613010,20812552,23524066,184722314,82516661,False,False,False,False,False,False,True,False
1101,TWSE,114Q4,code=200 rows=91,code=200 rows=69,accepted,33191582,-13562136,-25939976,19023915,23113996,178163742,85947537,False,False,False,False,False,False,True,False
1216,TWSE,115Q1,code=200 rows=88,code=200 rows=77,accepted,12205671,-11053120,-8079303,58206374,19755075,241807588,273723981,False,False,False,False,False,False,True,False
1216,TWSE,114Q4,code=200 rows=90,code=200 rows=77,accepted,75383767,-44997097,-29031117,62285424,19211872,237174040,271227631,False,False,False,False,False,False,True,False
1301,TWSE,115Q1,code=200 rows=62,code=200 rows=61,accepted,1178822,-3867473,-4445555,19807664,8661491,175217601,95826345,False,False,False,False,False,False,True,False
1301,TWSE,114Q4,code=200 rows=77,code=200 rows=64,accepted,6619088,-6096434,-14548253,17297286,8911320,155423904,75827629,False,False,False,False,False,False,True,False
2330,TWSE,115Q1,code=200 rows=74,code=200 rows=69,accepted,698976265,-356853756,-350762799,311453459,357742772,4265512176,1714253448,False,False,False,False,False,False,True,False
2330,TWSE,114Q4,code=200 rows=81,code=200 rows=68,accepted,2274975625,-1144393407,-1272410529,288109485,279051553,3817130817,1458019289,False,False,False,False,False,False,True,False
2308,TWSE,115Q1,code=200 rows=76,code=200 rows=74,accepted,19931192,-12318347,-11091192,119107625,126864149,431011083,220629087,False,False,False,False,False,False,True,False
2308,TWSE,114Q4,code=200 rows=80,code=200 rows=73,accepted,98474281,-53214206,-45722154,101478308,119225016,395780787,209664989,False,False,False,False,False,False,True,False
2317,TWSE,115Q1,code=200 rows=83,code=200 rows=77,accepted,3217154,-29019834,-35774345,1209878099,1149891836,4052387707,2792211149,False,False,False,False,False,False,True,False
2317,TWSE,114Q4,code=200 rows=89,code=200 rows=77,accepted,226852474,-304689272,-173763139,1095574319,1151546008,3961827499,2710848518,False,False,False,False,False,False,True,False
2454,TWSE,115Q1,code=200 rows=71,code=200 rows=65,accepted,-17656664,-4090712,-4260191,85470342,79121488,378185472,309807293,False,False,False,False,False,False,True,False
2454,TWSE,114Q4,code=200 rows=81,code=200 rows=65,accepted,162792872,-37753968,-15059115,67234559,62056117,397456191,303349808,False,False,False,False,False,False,True,False
2881,TWSE,115Q1,code=200 rows=83,code=200 rows=59,accepted,-32098859,-4418895,,,,,,False,False,False,False,False,False,True,False
2881,TWSE,114Q4,code=200 rows=88,code=200 rows=58,accepted,14407546,-23173577,,,,,,False,False,False,False,False,False,True,False
2882,TWSE,115Q1,code=200 rows=80,code=200 rows=58,accepted,-30157900,-6642587,,,,,,False,False,False,False,False,False,True,False
2882,TWSE,114Q4,code=200 rows=97,code=200 rows=57,accepted,188257172,-47209127,,,,,,False,False,False,False,False,False,True,False
3008,TWSE,115Q1,code=200 rows=54,code=200 rows=59,accepted,9316789,-2411596,-2340581,7639639,9299660,159095122,39536493,False,False,False,False,False,False,True,False
3008,TWSE,114Q4,code=200 rows=59,code=200 rows=59,accepted,26080226,-9235725,-12339968,6713192,10439603,154285459,29748503,False,False,False,False,False,False,True,False
3711,TWSE,115Q1,code=200 rows=75,code=200 rows=64,accepted,36387434,-45744766,-45959066,76043030,126007412,337698528,294501914,False,False,False,False,False,False,True,False
3711,TWSE,114Q4,code=200 rows=78,code=200 rows=64,accepted,142249287,-165644259,-164642502,69382990,125042214,313795092,244348583,False,False,False,False,False,False,True,False
6669,TWSE,115Q1,code=200 rows=63,code=200 rows=58,accepted,-16154195,-5043453,-3871756,229166239,88126215,395619318,257883938,False,False,False,False,False,False,True,False
6669,TWSE,114Q4,code=200 rows=66,code=200 rows=56,accepted,-624481,-13766152,-11568205,136257029,75725957,306976861,179653598,False,False,False,False,False,False,True,False
6488,TPEx,115Q1,code=200 rows=61,code=200 rows=57,accepted,673302,12197464,-3460304,11000429,10079070,76922308,62223760,False,False,False,False,False,False,True,False
6488,TPEx,114Q4,code=200 rows=70,code=200 rows=60,accepted,12744715,-34049115,-33497272,10398696,10062969,86629456,54108725,False,False,False,False,False,False,True,False
8299,TPEx,115Q1,code=200 rows=67,code=200 rows=61,accepted,-13848665,-888835,-425790,72199107,20880005,120178393,61319256,False,False,False,False,False,False,True,False
8299,TPEx,114Q4,code=200 rows=70,code=200 rows=62,accepted,1597542,-1908272,-1396629,35608709,11788601,68479676,25295348,False,False,False,False,False,False,True,False
5347,TPEx,115Q1,code=200 rows=69,code=200 rows=64,accepted,11432126,-24947417,-25180284,7504662,6830599,71173748,47890183,False,False,False,False,False,False,True,False
5347,TPEx,114Q4,code=200 rows=74,code=200 rows=63,accepted,25439228,-59710578,-63264869,6936952,6368898,66897206,51604245,False,False,False,False,False,False,True,False
6187,TPEx,115Q1,code=200 rows=60,code=200 rows=71,accepted,228096,-297766,-204276,1568797,1228409,7254868,3647779,False,False,False,False,False,False,True,False
6187,TPEx,114Q4,code=200 rows=72,code=200 rows=69,accepted,1958047,-665920,-467192,1114034,803938,6335154,1640435,False,False,False,False,False,False,True,False
8069,TPEx,115Q1,code=200 rows=68,code=200 rows=59,accepted,2205961,-1462589,-791140,4630284,5472010,35562862,26620658,False,False,False,False,False,False,True,False
8069,TPEx,114Q4,code=200 rows=74,code=200 rows=59,accepted,9599717,377413,-4259865,3877695,5368405,33189321,19907402,False,False,False,False,False,False,True,False
3081,TPEx,115Q1,code=200 rows=46,code=200 rows=49,accepted,282783,-220778,-42553,595471,562306,3182499,1100813,False,False,False,False,False,False,True,False
3081,TPEx,114Q4,code=200 rows=52,code=200 rows=50,accepted,713897,-487201,-87076,571168,337028,2911349,531794,False,False,False,False,False,False,True,False
6147,TPEx,115Q1,code=200 rows=52,code=200 rows=59,accepted,-441775,-912853,-757206,3776560,4634441,14865711,6098495,False,False,False,False,False,False,True,False
6147,TPEx,114Q4,code=200 rows=59,code=200 rows=58,accepted,3548454,-3590506,-5054077,3294355,4117505,14591472,4349850,False,False,False,False,False,False,True,False
3264,TPEx,115Q1,code=200 rows=53,code=200 rows=64,accepted,1671231,-1095672,-1330081,,3577488,9161378,7244788,False,False,False,False,False,False,True,False
3264,TPEx,114Q4,code=200 rows=56,code=200 rows=66,accepted,5716339,-2855670,-3772989,,3248748,9037772,7050392,False,False,False,False,False,False,True,False
