ticker,market,report_period,field,source_route,value_available,policy_status,accepted_for_formal,human_review_required,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1101,TWSE,115Q1,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
1101,TWSE,115Q1,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
1101,TWSE,114Q4,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
1101,TWSE,114Q4,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
1216,TWSE,115Q1,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
1216,TWSE,115Q1,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
1216,TWSE,114Q4,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
1216,TWSE,114Q4,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
1301,TWSE,115Q1,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
1301,TWSE,115Q1,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
1301,TWSE,114Q4,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
1301,TWSE,114Q4,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
2330,TWSE,115Q1,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
2330,TWSE,115Q1,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
2330,TWSE,114Q4,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
2330,TWSE,114Q4,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
2308,TWSE,115Q1,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
2308,TWSE,115Q1,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
2308,TWSE,114Q4,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
2308,TWSE,114Q4,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
2317,TWSE,115Q1,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
2317,TWSE,115Q1,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
2317,TWSE,114Q4,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
2317,TWSE,114Q4,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
2454,TWSE,115Q1,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
2454,TWSE,115Q1,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
2454,TWSE,114Q4,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
2454,TWSE,114Q4,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
2881,TWSE,115Q1,capex_proxy,t164sb05,False,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
2881,TWSE,115Q1,receivables_trade,t164sb03,False,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
2881,TWSE,114Q4,capex_proxy,t164sb05,False,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
2881,TWSE,114Q4,receivables_trade,t164sb03,False,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
2882,TWSE,115Q1,capex_proxy,t164sb05,False,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
2882,TWSE,115Q1,receivables_trade,t164sb03,False,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
2882,TWSE,114Q4,capex_proxy,t164sb05,False,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
2882,TWSE,114Q4,receivables_trade,t164sb03,False,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
3008,TWSE,115Q1,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
3008,TWSE,115Q1,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
3008,TWSE,114Q4,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
3008,TWSE,114Q4,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
3711,TWSE,115Q1,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
3711,TWSE,115Q1,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
3711,TWSE,114Q4,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
3711,TWSE,114Q4,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
6669,TWSE,115Q1,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
6669,TWSE,115Q1,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
6669,TWSE,114Q4,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
6669,TWSE,114Q4,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
6488,TPEx,115Q1,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
6488,TPEx,115Q1,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
6488,TPEx,114Q4,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
6488,TPEx,114Q4,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
8299,TPEx,115Q1,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
8299,TPEx,115Q1,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
8299,TPEx,114Q4,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
8299,TPEx,114Q4,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
5347,TPEx,115Q1,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
5347,TPEx,115Q1,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
5347,TPEx,114Q4,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
5347,TPEx,114Q4,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
6187,TPEx,115Q1,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
6187,TPEx,115Q1,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
6187,TPEx,114Q4,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
6187,TPEx,114Q4,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
8069,TPEx,115Q1,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
8069,TPEx,115Q1,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
8069,TPEx,114Q4,capex_proxy,t164sb05,True,proxy_human_review_required,False,True,False,False,False,False,False,False,True,False
8069,TPEx,114Q4,receivables_trade,t164sb03,True,receivables_basket_human_review_required,False,True,False,False,False,False,False,False,True,False
