ticker,market,report_period,match_status,market_available_at,accepted_subject,accepted_match_status,blocked_reason,after_close_next_trading_day_policy,quarter_end_date_used,query_response_datetime_used,conservative_deadline_proxy_used,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
6187,TPEx,115Q1,accepted,115/05/08 16:36:05,公告本公司董事會通過115年第一季合併財報,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
6187,TPEx,114Q4,accepted,115/02/10 18:16:38,公告本公司董事會通過114年合併財報,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
8069,TPEx,115Q1,accepted,115/05/08 13:38:22,本公司民國115年第1季合併財務報告業經董事會決議通過,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
8069,TPEx,114Q4,accepted,115/03/06 16:22:27,本公司民國114年度合併財務報告業經董事會決議通過,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
3081,TPEx,115Q1,accepted,115/04/22 13:40:46,公告本公司董事會通過115年第一季財務報告,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
3081,TPEx,114Q4,accepted,115/01/28 13:41:28,本公司董事會通過114年度財務報告,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
6147,TPEx,115Q1,accepted,115/04/30 14:16:23,公告本公司民國115年第1季合併財務報告業經董事會決議,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
6147,TPEx,114Q4,accepted,115/02/26 14:06:08,公告本公司民國114年度合併財務報告業經董事會決議,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
3264,TPEx,115Q1,accepted,115/04/30 15:07:29,公告本公司115年第1季合併財務報告業經董事會決議通過,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
3264,TPEx,114Q4,accepted,115/03/06 16:22:04,公告本公司114年度合併財務報告業經董事會決議通過,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
