ticker,holding_month_count,holding_months,official_event_rows,capital_change_rows,coverage_status,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
1301,1,106/05,34,0,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
2316,1,104/05,18,6,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
2317,1,106/01,19,2,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
2330,5,104/01|104/02|108/12|112/03|115/06,41,0,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
2351,1,110/07,3,0,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
2374,1,113/05,6,1,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
2388,1,112/11,4,1,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
2412,1,105/09,10,0,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
2453,1,112/03,8,0,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
2468,1,114/05,6,0,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
2603,3,104/02|106/08|106/09,7,0,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
2615,1,114/05,10,2,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
2636,1,110/06,27,1,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
3008,2,104/05|112/10,8,0,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
3037,1,115/01,12,6,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
3090,1,107/06,12,0,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
3105,2,114/12|115/01,18,3,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
3163,1,115/04,9,0,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
3260,1,109/01,32,2,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
3324,1,105/03,13,1,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
3346,1,106/02,21,0,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
3661,1,108/09,26,2,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
4971,1,115/01,13,2,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
6121,2,106/10|106/11,12,3,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
6143,1,104/10,16,1,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
6150,1,107/03,4,0,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
6573,2,106/11|106/12,4,0,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
6796,1,111/08,0,0,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
8021,1,114/08,6,0,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
8163,1,107/07,9,1,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
8433,1,104/10,7,1,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
8478,1,111/01,14,5,official_holding_month_route_queried_no_silent_no_event_proof,0,False,False,False,False,False,False,False,True,False
