route,payload,payload_hash,raw_cache_path,response_hash,route_status,route_error,retry_count,retrieved_at_utc,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
t05st01,"{""companyId"": ""1301"", ""firstDay"": """", ""lastDay"": """", ""month"": ""05"", ""year"": ""106""}",8eafc0c7ef58d623913a05772f77ad191aed93f57c891742a615b8dbe9ed5d58,raw_cache\holding_month_1301_106_05_list.json,faed089537766a75678d556a2cc76ff249e47e1949085b7fb8ddb5062022a6ad,cache_hit,,0,2026-07-10T08:27:21+00:00,0,False,False,False,False,False,False,False,True,False
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1060508"", ""marketKind"": ""sii"", ""serialNumber"": ""1""}",13c69fee26a59a3ca208294263ee99584f81e49c595c263c4d4914d135ad919e,raw_cache\holding_1301_106_05_1_detail.json,60ed62d8f1b496143181ff391489ccb1cd8fdc1b09532ebceb4ed647360f190b,cache_hit,,0,2026-07-10T08:27:21+00:00,0,False,False,False,False,False,False,False,True,False
t05st01,"{""companyId"": ""2316"", ""firstDay"": """", ""lastDay"": """", ""month"": ""05"", ""year"": ""104""}",72efe2310fd67cf8b6842f0bfba25044e29678820c0bd5f73cf18211a7d35d57,raw_cache\holding_month_2316_104_05_list.json,678ddb3b0f692edf5d5990f84f870b228e544cc54586e98d3eced09f9d425a75,cache_hit,,0,2026-07-10T08:27:21+00:00,0,False,False,False,False,False,False,False,True,False
t05st01,"{""companyId"": ""2317"", ""firstDay"": """", ""lastDay"": """", ""month"": ""01"", ""year"": ""106""}",aa9ac2e849ccd6cc48e7e59ff8c8c4bf276852129e83d214e1e74dd961711bd4,raw_cache\holding_month_2317_106_01_list.json,a0ba7b974c53642ac318cade1ac3b7a0afd4c500154587f70081aef4cf079678,cache_hit,,0,2026-07-10T08:27:21+00:00,0,False,False,False,False,False,False,False,True,False
t05st01,"{""companyId"": ""2330"", ""firstDay"": """", ""lastDay"": """", ""month"": ""01"", ""year"": ""104""}",3fc8914798e478c0f2b57a0d9c8554278f1fad91b973314787aa3e34d7d50fbf,raw_cache\holding_month_2330_104_01_list.json,5c3c7255bb041e5372252e10f1d327f7cea593f4c0a0dd0870a2623097f9665d,cache_hit,,0,2026-07-10T08:27:21+00:00,0,False,False,False,False,False,False,False,True,False
t05st01,"{""companyId"": ""2330"", ""firstDay"": """", ""lastDay"": """", ""month"": ""02"", ""year"": ""104""}",29fd72e368380e56cb85a517805893f62ed18ed20f2cce9961947f56fc2c4b1c,raw_cache\holding_month_2330_104_02_list.json,da3a8dffc50909d6032b2ca7a92e1fcc19fb69275487b33a05925b8d95958ec9,cache_hit,,0,2026-07-10T08:27:21+00:00,0,False,False,False,False,False,False,False,True,False
t05st01_detail,"{""companyId"": ""2330"", ""enterDate"": ""1040210"", ""marketKind"": ""sii"", ""serialNumber"": ""3""}",ed33c6e08c43a0fe39ecdf4a475554727f88e9ec18b9041e29cce25b4f9641b0,raw_cache\holding_2330_104_02_9_detail.json,dde2766f90be19e4690aa93a0f4d9ec0abd93e7a74eb61985f1b5e7d34d31e06,cache_hit,,0,2026-07-10T08:27:21+00:00,0,False,False,False,False,False,False,False,True,False
t05st01_detail,"{""companyId"": ""2330"", ""enterDate"": ""1040210"", ""marketKind"": ""sii"", ""serialNumber"": ""8""}",1d6733f0756140b329886a2c62d850a7e1aaf99d46ac97a196bd98cb71d5af73,raw_cache\holding_2330_104_02_14_detail.json,5900f2137e57e257e32d14fb43a75d304763b9c12e07051178c51c1c1c023200,cache_hit,,0,2026-07-10T08:27:21+00:00,0,False,False,False,False,False,False,False,True,False
t05st01,"{""companyId"": ""2330"", ""firstDay"": """", ""lastDay"": """", ""month"": ""12"", ""year"": ""108""}",aab4e15c6d339a15e90f6a124b0d74710903b9c2f8159ad02a3d2fb022b14b2f,raw_cache\holding_month_2330_108_12_list.json,13de85d17bb4a9028cc3340effae7e60a7846c917cc1f189074af1f40a11e877,cache_hit,,0,2026-07-10T08:27:21+00:00,0,False,False,False,False,False,False,False,True,False
t05st01,"{""companyId"": ""2330"", ""firstDay"": """", ""lastDay"": """", ""month"": ""03"", ""year"": ""112""}",74183c93becce9853838baccb4cb3bc7e15e6e8df8165fb6818b6fa357bd84d3,raw_cache\holding_month_2330_112_03_list.json,a060e8379647bf3cb00ff61004e2ef8cd1901816fa711f728bc752ecfd5c2792,cache_hit,,0,2026-07-10T08:27:21+00:00,0,False,False,False,False,False,False,False,True,False
