source,target_period,source_type,query_url,attempt_type,holdings_date,date_field_detected,row_count,retrieved_path,acceptance_decision,notes
sitca_fund_query_home,2014Q4,disclosure,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,direct,2016-01-29,generic_date_regex,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_sitca_fund_query_home_direct.html,not_parsed,
sitca_fund_query_home,2014Q4,disclosure,https://archive.org/wayback/available?url=https%3A%2F%2Fwww.sitca.org.tw%2FROC%2FIndustry%2FIN2421.aspx&timestamp=20141231,wayback_available,2013-08-01,generic_date_regex,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_sitca_fund_query_home_wayback_available.json,not_parsed,closest_timestamp=20130801221825; closest_url=http://web.archive.org/web/20130801221825/http://www.sitca.org.tw:80/ROC/Industry/IN2421.aspx?
sitca_etf_home,2014Q4,disclosure,https://www.sitca.org.tw/ROC/ETF/,direct,,,0,,not_parsed,
sitca_etf_home,2014Q4,disclosure,https://archive.org/wayback/available?url=https%3A%2F%2Fwww.sitca.org.tw%2FROC%2FETF%2F&timestamp=20141231,wayback_available,2014-12-31,generic_date_regex,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_sitca_etf_home_wayback_available.json,not_parsed,closest_timestamp=; closest_url=
mops_home_fund_keyword,2014Q4,disclosure,https://mops.twse.com.tw/mops/web/index,direct,,,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_mops_home_fund_keyword_direct.html,not_parsed,
mops_home_fund_keyword,2014Q4,disclosure,https://archive.org/wayback/available?url=https%3A%2F%2Fmops.twse.com.tw%2Fmops%2Fweb%2Findex&timestamp=20141231,wayback_available,2015-02-04,generic_date_regex,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_mops_home_fund_keyword_wayback_available.json,not_parsed,closest_timestamp=20150204022231; closest_url=http://web.archive.org/web/20150204022231/http://mops.twse.com.tw/mops/web/index
twse_etf_home,2014Q4,twse_index_proxy_candidate,https://www.twse.com.tw/zh/ETF/list,direct,,,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_twse_etf_home_direct.html,not_parsed,
twse_etf_home,2014Q4,twse_index_proxy_candidate,https://archive.org/wayback/available?url=https%3A%2F%2Fwww.twse.com.tw%2Fzh%2FETF%2Flist&timestamp=20141231,wayback_available,2022-10-23,generic_date_regex,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_twse_etf_home_wayback_available.json,not_parsed,closest_timestamp=20221023174803; closest_url=http://web.archive.org/web/20221023174803/https://www.twse.com.tw/zh/ETF/list
taiwan_index_home,2014Q4,twse_index_proxy_candidate,https://www.taiwanindex.com.tw/index/index/TW50,direct,,,0,,not_parsed,
taiwan_index_home,2014Q4,twse_index_proxy_candidate,https://archive.org/wayback/available?url=https%3A%2F%2Fwww.taiwanindex.com.tw%2Findex%2Findex%2FTW50&timestamp=20141231,wayback_available,2016-06-30,generic_date_regex,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_taiwan_index_home_wayback_available.json,not_parsed,closest_timestamp=20160630153714; closest_url=http://web.archive.org/web/20160630153714/http://www.taiwanindex.com.tw:80/index/index/TW50
sitca_fund_query_home,2016Q1,disclosure,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,direct,2016-01-29,generic_date_regex,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2016Q1_sitca_fund_query_home_direct.html,not_parsed,
