source,target_period,query_url,attempt_type,status,http_code,content_type,date_field_detected,holdings_date,row_count,retrieved_path,error,notes
yuanta_etfapi_product_0050,2014Q4,https://etfapi.yuantaetfs.com/api/ETF/GetETFInfo?fundid=0050,direct,http_ok,200,text/html,,,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_etfapi_product_0050_direct.html,,
yuanta_etfapi_product_0050,2014Q4,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetETFInfo%3Ffundid%3D0050&timestamp=20141231,wayback_available,http_ok,200,application/json,generic_date_regex,2014-12-31,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_etfapi_product_0050_wayback_available.json,,closest_timestamp=; closest_url=
yuanta_etfapi_ratio_0050,2014Q4,https://etfapi.yuantaetfs.com/api/ETF/GetHoldStock?fundid=0050,direct,http_ok,200,text/html,,,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_etfapi_ratio_0050_direct.html,,
yuanta_etfapi_ratio_0050,2014Q4,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetHoldStock%3Ffundid%3D0050&timestamp=20141231,wayback_available,error,,,,,0,,"ReadTimeout: HTTPSConnectionPool(host='archive.org', port=443): Read timed out. (read timeout=5)",
yuanta_etfapi_pcf_0050,2014Q4,https://etfapi.yuantaetfs.com/api/ETF/GetPCF?fundid=0050,direct,http_ok,200,text/html,,,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_etfapi_pcf_0050_direct.html,,
yuanta_etfapi_pcf_0050,2014Q4,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetPCF%3Ffundid%3D0050&timestamp=20141231,wayback_available,http_ok,200,application/json,generic_date_regex,2014-12-31,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_etfapi_pcf_0050_wayback_available.json,,closest_timestamp=; closest_url=
yuanta_etfapi_file_downloads,2014Q4,https://etfapi.yuantaetfs.com/api/ETF/GetFileDownload?fundid=0050,direct,http_ok,200,text/html,,,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_etfapi_file_downloads_direct.html,,
yuanta_etfapi_file_downloads,2014Q4,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetFileDownload%3Ffundid%3D0050&timestamp=20141231,wayback_available,http_ok,200,application/json,generic_date_regex,2014-12-31,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_etfapi_file_downloads_wayback_available.json,,closest_timestamp=; closest_url=
yuanta_etfapi_product_list,2014Q4,https://etfapi.yuantaetfs.com/api/ETF/GetETFList,direct,http_ok,200,text/html,,,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_etfapi_product_list_direct.html,,
yuanta_etfapi_product_list,2014Q4,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetETFList&timestamp=20141231,wayback_available,http_ok,200,application/json,generic_date_regex,2014-12-31,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_etfapi_product_list_wayback_available.json,,closest_timestamp=; closest_url=
yuanta_current_ratio_page,2014Q4,https://www.yuantaetfs.com/product/detail/0050/ratio,direct,http_ok,200,text/html; charset=utf-8,date,2026-06-29,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_current_ratio_page_direct.html,,
yuanta_current_ratio_page,2014Q4,https://archive.org/wayback/available?url=https%3A%2F%2Fwww.yuantaetfs.com%2Fproduct%2Fdetail%2F0050%2Fratio&timestamp=20141231,wayback_available,http_ok,200,application/json,generic_date_regex,2022-05-26,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_current_ratio_page_wayback_available.json,,closest_timestamp=20220526044621; closest_url=http://web.archive.org/web/20220526044621/https://www.yuantaetfs.com/product/detail/0050/ratio
yuanta_current_download_page,2014Q4,https://www.yuantaetfs.com/product/detail/0050/download,direct,http_ok,200,text/html; charset=utf-8,generic_date_regex,2024-03-31,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_current_download_page_direct.html,,
yuanta_current_download_page,2014Q4,https://archive.org/wayback/available?url=https%3A%2F%2Fwww.yuantaetfs.com%2Fproduct%2Fdetail%2F0050%2Fdownload&timestamp=20141231,wayback_available,http_ok,200,application/json,generic_date_regex,2022-05-26,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_current_download_page_wayback_available.json,,closest_timestamp=20220526050142; closest_url=http://web.archive.org/web/20220526050142/https://www.yuantaetfs.com/product/detail/0050/download
sitca_fund_query_home,2014Q4,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,direct,http_ok,200,text/html; charset=utf-8,generic_date_regex,2016-01-29,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_sitca_fund_query_home_direct.html,,
