source,target_period,source_type,query_url,attempt_type,holdings_date,date_field_detected,row_count,retrieved_path,acceptance_decision,notes
phase3_extracted_api_url,2014Q4,api_payload,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2FECImage%2FETFBackstage%2Ffile%2FETFFileDownload%2FETF%E7%94%B3%E8%B3%BC%E6%92%A4%E5%9B%9E%E7%94%B3%E8%AB%8B%E6%9B%B8.pdf&timestamp=20141231,wayback_available,2014-12-31,generic_date_regex,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_phase3_extracted_api_url_wayback_available.json,not_parsed,closest_timestamp=; closest_url=
yuanta_etfapi_product_0050,2016Q1,api_payload,https://etfapi.yuantaetfs.com/api/ETF/GetETFInfo?fundid=0050,direct,,,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2016Q1_yuanta_etfapi_product_0050_direct.html,not_parsed,
yuanta_etfapi_product_0050,2016Q1,api_payload,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetETFInfo%3Ffundid%3D0050&timestamp=20160331,wayback_available,,,0,,not_parsed,
yuanta_etfapi_ratio_0050,2016Q1,api_payload,https://etfapi.yuantaetfs.com/api/ETF/GetHoldStock?fundid=0050,direct,,,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2016Q1_yuanta_etfapi_ratio_0050_direct.html,not_parsed,
yuanta_etfapi_ratio_0050,2016Q1,api_payload,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetHoldStock%3Ffundid%3D0050&timestamp=20160331,wayback_available,2016-03-31,generic_date_regex,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2016Q1_yuanta_etfapi_ratio_0050_wayback_available.json,not_parsed,closest_timestamp=; closest_url=
yuanta_etfapi_pcf_0050,2016Q1,api_payload,https://etfapi.yuantaetfs.com/api/ETF/GetPCF?fundid=0050,direct,,,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2016Q1_yuanta_etfapi_pcf_0050_direct.html,not_parsed,
yuanta_etfapi_pcf_0050,2016Q1,api_payload,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetPCF%3Ffundid%3D0050&timestamp=20160331,wayback_available,2016-03-31,generic_date_regex,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2016Q1_yuanta_etfapi_pcf_0050_wayback_available.json,not_parsed,closest_timestamp=; closest_url=
yuanta_etfapi_file_downloads,2016Q1,api_payload,https://etfapi.yuantaetfs.com/api/ETF/GetFileDownload?fundid=0050,direct,,,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2016Q1_yuanta_etfapi_file_downloads_direct.html,not_parsed,
yuanta_etfapi_file_downloads,2016Q1,api_payload,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetFileDownload%3Ffundid%3D0050&timestamp=20160331,wayback_available,,,0,,not_parsed,
yuanta_etfapi_product_list,2016Q1,api_payload,https://etfapi.yuantaetfs.com/api/ETF/GetETFList,direct,,,0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2016Q1_yuanta_etfapi_product_list_direct.html,not_parsed,
