source_id,raw_file_path,source_url_or_reference,document_date,covered_effective_start,covered_effective_end,source_type,archive_status,checksum_sha256,notes
2021Q4_yuanta_etfapi_ratio_0050_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_yuanta_etfapi_ratio_0050_direct.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2021-12-31,2021-12-31,api_payload,downloaded_payload_candidate,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,attempt_type=direct; content_type=text/html; row_count=0
2021Q4_yuanta_etfapi_ratio_0050_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_yuanta_etfapi_ratio_0050_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetHoldStock%3Ffundid%3D0050&timestamp=20211231,2021-12-31,2021-12-31,2021-12-31,api_payload,downloaded_payload_candidate,c7a0b848f0ff1945ef974b0e124a703e2a302127bbeed22133aa681b279361b6,attempt_type=wayback_available; content_type=application/json; row_count=0
2021Q4_yuanta_etfapi_pcf_0050_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_yuanta_etfapi_pcf_0050_direct.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2021-12-31,2021-12-31,api_payload,downloaded_payload_candidate,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,attempt_type=direct; content_type=text/html; row_count=0
2021Q4_yuanta_etfapi_pcf_0050_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_yuanta_etfapi_pcf_0050_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetPCF%3Ffundid%3D0050&timestamp=20211231,2021-12-31,2021-12-31,2021-12-31,api_payload,downloaded_payload_candidate,4daadfcbdd642d7f59020148dda18fc2d2cd39c7aace9cc08d88b35a2e4a82fb,attempt_type=wayback_available; content_type=application/json; row_count=0
2021Q4_yuanta_etfapi_file_downloads_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_yuanta_etfapi_file_downloads_direct.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2021-12-31,2021-12-31,api_payload,downloaded_payload_candidate,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,attempt_type=direct; content_type=text/html; row_count=0
2021Q4_yuanta_etfapi_file_downloads_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_yuanta_etfapi_file_downloads_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetFileDownload%3Ffundid%3D0050&timestamp=20211231,2021-12-31,2021-12-31,2021-12-31,api_payload,downloaded_payload_candidate,25dbef160969d38a0c93fd7a59d453ebca9b51f0509169f9e22b99a6426875ac,attempt_type=wayback_available; content_type=application/json; row_count=0
2021Q4_yuanta_etfapi_product_list_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_yuanta_etfapi_product_list_direct.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2021-12-31,2021-12-31,api_payload,downloaded_payload_candidate,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,attempt_type=direct; content_type=text/html; row_count=0
2021Q4_yuanta_etfapi_product_list_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_yuanta_etfapi_product_list_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetETFList&timestamp=20211231,2021-12-31,2021-12-31,2021-12-31,api_payload,downloaded_payload_candidate,eb08b1286d19144b5c1a77cdf646c888cddf7207a8d573d4533827456698eaee,attempt_type=wayback_available; content_type=application/json; row_count=0
2021Q4_yuanta_current_ratio_page_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_yuanta_current_ratio_page_direct.html,https://www.yuantaetfs.com/product/detail/0050/ratio,2026-06-26,2021-12-31,2021-12-31,html_payload,downloaded_payload_candidate,978fbbb305b1c9d05958d79390a976df552429a3624d1101beceadfa68d85cfc,attempt_type=direct; content_type=text/html; charset=utf-8; row_count=0
2021Q4_yuanta_current_download_page_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_yuanta_current_download_page_direct.html,https://www.yuantaetfs.com/product/detail/0050/download,2024-03-31,2021-12-31,2021-12-31,html_payload,downloaded_payload_candidate,d0398b7125121408b1ef77d7ac16c4737495a68db21c48ca88ad55f8dac1246e,attempt_type=direct; content_type=text/html; charset=utf-8; row_count=0
