date,ticker,code,name,market,open,high,low,close,volume,turnover_value,adjusted_close,adjusted_close_available,source_date,source_url,source_route,source_type,formal_exact
2026-05-18,8299.TWO,8299,群聯,TPEx,2585.0,2755.0,2570.0,2735.0,8642239,23067779555,,false,2026-05-18,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/05/18&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
2026-05-19,8299.TWO,8299,群聯,TPEx,2605.0,2615.0,2465.0,2465.0,9028233,22789218535,,false,2026-05-19,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/05/19&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
2026-05-20,8299.TWO,8299,群聯,TPEx,2450.0,2480.0,2250.0,2265.0,13617629,32001988830,,false,2026-05-20,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/05/20&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
2026-05-21,8299.TWO,8299,群聯,TPEx,2380.0,2425.0,2305.0,2335.0,7664579,18085755775,,false,2026-05-21,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/05/21&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
2026-05-22,8299.TWO,8299,群聯,TPEx,2425.0,2480.0,2400.0,2430.0,6123057,14945812070,,false,2026-05-22,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/05/22&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
2026-05-25,8299.TWO,8299,群聯,TPEx,2450.0,2540.0,2320.0,2480.0,8096588,19839186600,,false,2026-05-25,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/05/25&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
2026-05-26,8299.TWO,8299,群聯,TPEx,2510.0,2590.0,2440.0,2505.0,7287380,18326427225,,false,2026-05-26,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/05/26&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
2026-05-27,8299.TWO,8299,群聯,TPEx,2700.0,2730.0,2455.0,2480.0,10481063,26956623225,,false,2026-05-27,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/05/27&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
2026-05-28,8299.TWO,8299,群聯,TPEx,2475.0,2535.0,2410.0,2450.0,7044737,17524045605,,false,2026-05-28,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/05/28&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
2026-05-29,8299.TWO,8299,群聯,TPEx,2530.0,2620.0,2525.0,2575.0,6552345,16837066598,,false,2026-05-29,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/05/29&response=json,tpex_daily_quotes,official_daily_trading_pit_from_liquidity_full_sweep,false
