variant_id,period,decision_date,ticker,role,requested_execution_date,reason
S08_CD7,P1,2016-05-16,1227,sell,2016-05-17,missing_official_raw_execution_close
S08_CD7,P2,2023-09-04,8996,sell,2023-09-05,missing_official_raw_execution_close
S08_CD10,P1,2016-05-16,6285,sell,2016-05-17,missing_official_raw_execution_close
S08_CD10,P2,2023-10-18,3653,sell,2023-10-19,missing_official_raw_execution_close
S09_CD2,P1,2016-05-06,2891,sell,2016-05-09,missing_official_raw_execution_close
S09_CD2,P2,2023-09-12,1609,sell,2023-09-13,missing_official_raw_execution_close
S09_CD3,P1,2016-04-28,2892,sell,2016-04-29,missing_official_raw_execution_close
S09_CD3,P2,2023-12-19,2402,sell,2023-12-20,missing_official_raw_execution_close
S09_CD5,P1,2016-05-11,4915,sell,2016-05-12,missing_official_raw_execution_close
S09_CD5,P1,2016-05-11,8341,buy,2016-05-12,missing_official_raw_execution_close
S09_CD5,P2,2023-09-20,2352,sell,2023-09-21,missing_official_raw_execution_close
S09_CD7,P1,2016-06-24,8341,sell,2016-08-17,missing_official_raw_execution_close
S09_CD7,P1,2016-06-24,2912,buy,2016-06-27,missing_official_raw_execution_close
S09_CD7,P2,2023-08-07,6446,sell,2023-08-08,missing_official_raw_execution_close
S09_CD10,P1,2017-11-07,1101,sell,2017-11-08,missing_official_raw_execution_close
S10_CD3,P1,2019-01-07,3665,sell,2019-01-08,missing_official_raw_execution_close
S10_CD5,P1,2017-08-18,4971,sell,2017-08-21,missing_official_raw_execution_close
S10_CD7,P1,2018-10-26,3023,sell,2018-10-29,missing_official_raw_execution_close
S10_CD10,P1,2016-08-12,4915,sell,2016-08-15,missing_official_raw_execution_close
S10_CD10,P1,2016-08-12,3231,buy,2016-08-15,missing_official_raw_execution_close
S10_CD10,P2,2023-09-12,2457,sell,2023-09-13,missing_official_raw_execution_close
