date,market,route,source_url,raw_cache_path,raw_sha256,route_status,route_error,accepted_rows,response_bytes,retrieved_at_utc,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2026-07-08,TWSE,twse_mi_index_allbut0999,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20260708&type=ALLBUT0999&response=json,raw_sources\twse_mi_index_allbut0999_20260708.json,294e0d9d42266f0b29371deeb33e1e1f6150d239c7f4fed7cfed10e03f51090d,fetched,,1369,246531,2026-07-08T13:52:20+00:00,0,False,False,False,True,False,False,False,True,False
2026-07-08,TPEx,tpex_daily_quotes,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/07/08&response=json,raw_sources\tpex_daily_quotes_20260708.json,35125b3de911a8948b6aeccf0efe66a4870bd85106468bd3175f119cbc9fdcfb,fetched,,10039,1503250,2026-07-08T13:52:20+00:00,0,False,False,False,True,False,False,False,True,False
