ticker,name,path_rows,path_ready_rows,path_blocked_rows
1101,台泥,24,24,0
1102,亞泥,9,9,0
1215,卜蜂,24,24,0
1216,統一,24,24,0
1219,福壽,9,9,0
1301,台塑,21,21,0
1303,南亞,9,9,0
1308,亞聚,12,12,0
1309,台達化,9,9,0
1310,台苯,18,18,0
1312,國喬,15,15,0
1314,中石化,6,6,0
1319,東陽,3,3,0
1325,恆大,3,3,0
1326,台化,12,12,0
1402,遠東新,24,24,0
1409,新纖,6,6,0
1444,力麗,36,36,0
1452,宏益,18,18,0
1457,宜進,18,18,0
1464,得力,30,28,2
1476,儒鴻,3,3,0
1477,聚陽,6,6,0
1504,東元,6,6,0
1513,中興電,21,21,0
1515,力山,21,21,0
1522,堤維西,33,33,0
1525,江申,6,6,0
1526,日馳,18,18,0
1527,鑽全,27,9,18
1536,和大,39,39,0
1560,中砂,18,18,0
1565,精華,9,9,0
1568,倉佑,6,6,0
1569,濱川,48,48,0
1589,永冠-KY,33,33,0
1590,亞德客-KY,21,21,0
1592,英瑞-KY,6,6,0
1599,宏佳騰,15,15,0
1605,華新,18,18,0
1608,華榮,9,9,0
1609,大亞,39,39,0
1707,葡萄王,15,15,0
1710,東聯,12,12,0
1711,永光,27,27,0
1727,中華化,57,57,0
1730,花仙子,9,9,0
1732,毛寶,21,21,0
1736,喬山,24,24,0
1737,臺鹽,21,21,0
1760,寶齡富錦,36,36,0
1762,中化生,18,18,0
1773,勝一,6,6,0
1784,訊聯,9,9,0
1785,光洋科,3,3,0
1789,神隆,6,6,0
1795,美時,6,6,0
1802,台玻,18,18,0
1815,富喬,3,3,0
1909,榮成,15,13,2
2002,中鋼,69,69,0
2006,東和鋼鐵,24,24,0
2007,燁興,15,15,0
2009,第一銅,12,12,0
2013,中鋼構,21,21,0
2014,中鴻,24,24,0
2023,燁輝,33,30,3
2027,大成鋼,15,15,0
2029,盛餘,12,12,0
2030,彰源,18,18,0
2034,允強,18,18,0
2049,上銀,9,9,0
2062,橋椿,9,9,0
2069,運錩,9,9,0
2104,國際中橡,15,15,0
2108,南帝,18,18,0
2201,裕隆,6,6,0
2206,三陽工業,21,21,0
2207,和泰車,18,18,0
2231,為升,12,12,0
2233,宇隆,15,15,0
2301,光寶科,6,6,0
2303,聯電,57,57,0
2308,台達電,42,42,0
2311,日月光,3,3,0
2313,華通,24,24,0
2314,台揚,9,9,0
2316,楠梓電,21,21,0
2317,鴻海,24,24,0
2324,仁寶,9,9,0
2327,國巨*,75,75,0
2329,華泰,3,3,0
2330,台積電,87,87,0
2331,精英,21,21,0
2337,旺宏,66,66,0
2338,光罩,18,18,0
2340,台亞,51,42,9
2344,華邦電,36,36,0
2345,智邦,33,33,0
2347,聯強,9,9,0
2351,順德,39,39,0
2352,佳世達,30,30,0
2353,宏碁,45,39,6
2354,鴻準,12,12,0
2356,英業達,6,6,0
2357,華碩,9,9,0
2359,所羅門,9,9,0
2362,藍天,12,12,0
2367,燿華,6,6,0
2368,金像電,81,81,0
2376,技嘉,21,21,0
2377,微星,12,12,0
2379,瑞昱,12,12,0
2383,台光電,21,21,0
2387,精元,36,36,0
2388,威盛,18,18,0
2392,正崴,15,15,0
2393,億光,9,9,0
2395,研華,9,7,2
2399,映泰,36,36,0
2404,漢唐,24,24,0
2408,南亞科,30,30,0
2409,友達,15,15,0
2412,中華電,18,18,0
2419,仲琦,51,51,0
2421,建準,48,48,0
2428,興勤,9,9,0
2439,美律,24,24,0
2448,晶電,9,9,0
2449,京元電子,6,6,0
2454,聯發科,21,21,0
2455,全新,45,45,0
2456,奇力新,15,15,0
2458,義隆,3,3,0
2461,光群雷,30,30,0
2464,盟立,12,12,0
2467,志聖,21,21,0
2468,華經,33,33,0
2474,可成,6,6,0
2476,鉅祥,21,21,0
2478,大毅,45,45,0
2480,敦陽科,3,3,0
2481,強茂,21,21,0
2485,兆赫,24,24,0
2486,一詮,12,12,0
2492,華新科,18,18,0
2497,怡利電,6,6,0
2504,國產,21,0,21
2505,國揚,6,6,0
2520,冠德,9,9,0
2542,興富發,9,9,0
2603,長榮,114,114,0
2609,陽明,51,51,0
2612,中航,18,18,0
2615,萬海,51,51,0
2633,台灣高鐵,18,18,0
2634,漢翔,6,6,0
2636,台驊控股,54,54,0
2637,慧洋-KY,18,18,0
2642,宅配通,3,3,0
2707,晶華,12,12,0
2723,美食-KY,21,21,0
2731,雄獅,6,6,0
2732,六角,12,12,0
2881,富邦金,12,12,0
2882,國泰金,15,15,0
2884,玉山金,6,6,0
2886,兆豐金,15,13,2
2887,台新新光金,15,15,0
2888,新光金,3,3,0
2890,永豐金,3,3,0
2891,中信金,12,12,0
3004,豐達科,24,24,0
3005,神基,9,9,0
3006,晶豪科,21,21,0
3008,大立光,27,27,0
3013,晟銘電,18,18,0
3016,嘉晶,33,33,0
3017,奇鋐,3,3,0
3019,亞光,9,9,0
3023,信邦,3,3,0
3026,禾伸堂,24,24,0
3030,德律,36,36,0
3032,偉訓,18,18,0
3034,聯詠,24,24,0
3035,智原,27,27,0
3036,文曄,3,3,0
3037,欣興,33,33,0
3042,晶技,6,6,0
3044,健鼎,9,7,2
3045,台灣大,9,9,0
3047,訊舟,36,36,0
3049,精金,21,21,0
3078,僑威,21,7,14
3081,聯亞,12,12,0
3083,網龍,36,36,0
3088,艾訊,3,3,0
3090,日電貿,15,15,0
3092,鴻碩,18,18,0
3105,穩懋,33,33,0
3122,笙泉,12,12,0
