date,ticker,name,market,open,high,low,close,volume,turnover_value,source_quality,adjustment_policy,source_url,source_route
2015-01-09,1101,台泥,TWSE,42.3,42.6,41.8,41.8,10494129,441333468,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20150101&stockNo=1101&response=json,TWSE_STOCK_DAY
2015-01-12,1101,台泥,TWSE,41.6,41.7,40.6,40.75,14743805,605441072,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20150101&stockNo=1101&response=json,TWSE_STOCK_DAY
2015-01-16,1101,台泥,TWSE,41.45,41.65,41.0,41.45,13346241,550440143,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20150101&stockNo=1101&response=json,TWSE_STOCK_DAY
2015-01-19,1101,台泥,TWSE,41.7,42.25,41.55,41.7,9378707,392959219,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20150101&stockNo=1101&response=json,TWSE_STOCK_DAY
2015-01-23,1101,台泥,TWSE,42.3,42.3,42.05,42.25,6099711,257185590,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20150101&stockNo=1101&response=json,TWSE_STOCK_DAY
2015-01-26,1101,台泥,TWSE,42.25,42.5,42.05,42.5,4801173,203249203,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20150101&stockNo=1101&response=json,TWSE_STOCK_DAY
2015-01-30,1101,台泥,TWSE,42.45,42.9,42.3,42.6,10361097,441412912,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20150101&stockNo=1101&response=json,TWSE_STOCK_DAY
2015-02-02,1101,台泥,TWSE,42.6,42.8,42.3,42.75,3475137,147908989,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20150201&stockNo=1101&response=json,TWSE_STOCK_DAY
2015-02-06,1101,台泥,TWSE,42.2,42.55,42.05,42.55,3120480,132185450,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20150201&stockNo=1101&response=json,TWSE_STOCK_DAY
2015-02-09,1101,台泥,TWSE,42.5,42.5,42.1,42.2,3201832,135534691,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20150201&stockNo=1101&response=json,TWSE_STOCK_DAY
2018-05-04,1102,亞泥,TWSE,31.3,31.85,31.15,31.65,7697274,241553675,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20180501&stockNo=1102&response=json,TWSE_STOCK_DAY
