date,ticker,name,market,open,high,low,close,volume,turnover_value,source_route,source_url,source_quality,raw_sha256,retrieved_at_utc
2017-05-15,1301,,TWSE,89.0,89.3,88.8,89.0,6155448,547528272,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,2f97b5d260d169930f0228386695f91a58e8ece187081e322fc2f5dc4fb74e71,2026-07-10T05:14:35+00:00
2017-05-16,1301,,TWSE,89.1,89.1,88.5,89.0,7950614,706216846,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,2f97b5d260d169930f0228386695f91a58e8ece187081e322fc2f5dc4fb74e71,2026-07-10T05:14:35+00:00
2017-05-17,1301,,TWSE,89.0,89.2,88.5,89.0,6625017,588643113,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,2f97b5d260d169930f0228386695f91a58e8ece187081e322fc2f5dc4fb74e71,2026-07-10T05:14:35+00:00
2017-05-18,1301,,TWSE,88.2,88.9,88.1,88.5,6671168,589969756,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,2f97b5d260d169930f0228386695f91a58e8ece187081e322fc2f5dc4fb74e71,2026-07-10T05:14:35+00:00
2017-05-19,1301,,TWSE,88.5,88.7,87.8,88.0,7379622,649783136,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,2f97b5d260d169930f0228386695f91a58e8ece187081e322fc2f5dc4fb74e71,2026-07-10T05:14:35+00:00
2017-05-22,1301,,TWSE,88.0,88.5,87.6,88.0,9667205,850734240,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,2f97b5d260d169930f0228386695f91a58e8ece187081e322fc2f5dc4fb74e71,2026-07-10T05:14:35+00:00
2015-05-04,2316,,TWSE,23.05,23.4,22.65,22.8,2875992,66002152,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,a4a02a7edc8f54770b4bc2b58657a8373b53879a6ce67faf89a592eb23f2fa02,2026-07-10T05:14:35+00:00
2015-05-05,2316,,TWSE,22.9,22.95,22.3,22.4,3327605,74944105,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,a4a02a7edc8f54770b4bc2b58657a8373b53879a6ce67faf89a592eb23f2fa02,2026-07-10T05:14:35+00:00
2015-05-06,2316,,TWSE,22.4,22.9,22.2,22.9,2381544,53946846,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,a4a02a7edc8f54770b4bc2b58657a8373b53879a6ce67faf89a592eb23f2fa02,2026-07-10T05:14:35+00:00
2015-05-07,2316,,TWSE,22.7,23.1,22.6,22.75,1623147,37023315,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,a4a02a7edc8f54770b4bc2b58657a8373b53879a6ce67faf89a592eb23f2fa02,2026-07-10T05:14:35+00:00
