field,required_for_accepted_row,notes
ticker,true,
company_name,true,
market,true,
evidence_type,true,
evidence_category,true,
keyword_or_topic,true,
ai_supply_chain_layer,true,
mainline_theme_label,true,
source_doc_type,true,
source_doc_date,true,
source_url,true,
source_url_or_file,true,
source_title,true,
source_excerpt,true,
source_date,true,
effective_date,true,
as_of_date,true,
extraction_method,true,
confidence_level,true,
accepted_for_diagnostic,true,
accepted_for_formal,true,
formal_exact,true,
human_review_required,true,
notes,true,
