date,ticker,market,open,high,low,close,volume,turnover_value,source_route,source_url,source_quality,raw_sha256,retrieved_at_utc
2015-05-04,2354,TWSE,87.7,88.0,86.5,87.0,4018754,351307887,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20150501&stockNo=2354&response=json,official_unadjusted_ohlcv_selected_ticker_month,52572b552d78632f7ee3d6768cb155c2633c4236ac614bd8890ea15f2405ce02,2026-07-10T03:24:19+00:00
2015-05-11,2354,TWSE,90.0,92.3,90.0,91.1,15549329,1415514463,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20150501&stockNo=2354&response=json,official_unadjusted_ohlcv_selected_ticker_month,52572b552d78632f7ee3d6768cb155c2633c4236ac614bd8890ea15f2405ce02,2026-07-10T03:24:19+00:00
2015-05-18,2892,TWSE,19.0,19.15,19.0,19.15,9385445,178966366,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20150501&stockNo=2892&response=json,official_unadjusted_ohlcv_selected_ticker_month,0db53446570b5f8b3db6f21a9e72f520a9679e62e0cadc1f8b8afe03a57524e1,2026-07-10T03:24:19+00:00
2015-05-25,2892,TWSE,19.05,19.05,18.9,19.0,8799902,166871388,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20150501&stockNo=2892&response=json,official_unadjusted_ohlcv_selected_ticker_month,0db53446570b5f8b3db6f21a9e72f520a9679e62e0cadc1f8b8afe03a57524e1,2026-07-10T03:24:19+00:00
2015-10-12,6176,TWSE,105.0,105.5,103.5,105.0,2280831,238549255,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20151001&stockNo=6176&response=json,official_unadjusted_ohlcv_selected_ticker_month,e3250963c9cca134fcfa28693da4997e1da2424b9582194ae95e69a93045611a,2026-07-10T03:24:19+00:00
2015-10-19,1319,TWSE,34.2,34.7,34.1,34.25,1695740,58325917,local_reused_official_selected_ohlc_package,outputs\radar_vnext_p1_c2_top5_exception_candidate_ohlc_source_fill_20260708\p1_c2_top5_exception_candidate_selected_stock_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,,
2015-10-19,6176,TWSE,103.5,105.0,103.0,103.5,3309909,344856079,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20151001&stockNo=6176&response=json,official_unadjusted_ohlcv_selected_ticker_month,e3250963c9cca134fcfa28693da4997e1da2424b9582194ae95e69a93045611a,2026-07-10T03:24:19+00:00
2015-10-26,1319,TWSE,35.95,36.3,35.7,36.05,4103491,148001074,local_reused_official_selected_ohlc_package,outputs\radar_vnext_p1_c2_top5_exception_candidate_ohlc_source_fill_20260708\p1_c2_top5_exception_candidate_selected_stock_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,,
2016-03-01,1216,TWSE,57.2,57.4,56.8,57.2,7286156,416490635,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20160301&stockNo=1216&response=json,official_unadjusted_ohlcv_selected_ticker_month,9ab26b888d49fc89678241b226c7b9af58bad5b6ca6ff4b8b670b06d4866cb10,2026-07-10T03:24:19+00:00
2016-03-08,1216,TWSE,57.4,57.5,56.9,57.5,7016714,401636261,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20160301&stockNo=1216&response=json,official_unadjusted_ohlcv_selected_ticker_month,9ab26b888d49fc89678241b226c7b9af58bad5b6ca6ff4b8b670b06d4866cb10,2026-07-10T03:24:19+00:00
