ticker,year_month,market,route,source_url,raw_sha256,route_status,route_error,accepted_month_rows,response_bytes,retrieved_at_utc,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
,,local,local_reused_source_package,outputs\radar_vnext_p1_c2_top5_exception_candidate_ohlc_source_fill_20260708\p1_c2_top5_exception_candidate_selected_stock_unadjusted_ohlc_rows.csv,,loaded,,2021,,,0,False,False,False,False,False,False,False,True,False
,,local,local_reused_source_package,outputs\radar_vnext_p1_c2_weighted_pool80_top5_selected_ticker_ohlc_source_fill_20260708\p1_c2_weighted_pool80_top5_selected_stock_unadjusted_ohlc_rows.csv,,loaded,,371,,,0,False,False,False,False,False,False,False,True,False
,,local,local_reused_source_package,outputs\radar_vnext_p1_risk_adjusted_rs20_selected_stock_ohlc_gap_fill_20260709\p1_risk_adjusted_rs20_selected_stock_unadjusted_ohlc_rows.csv,,loaded,,677,,,0,False,False,False,False,False,False,False,True,False
,,local,local_reused_source_package,outputs\radar_vnext_p2_2023_selected_stock_ohlc_source_gap_fill_20260708\p2_2023_selected_stock_unadjusted_ohlc_rows.csv,,loaded,,525,,,0,False,False,False,False,False,False,False,True,False
,,local,local_reused_source_package,outputs\radar_vnext_legacy_rs20_selected_stock_price_path_source_package_20260708\selected_stock_price_rows_local_only.csv,,loaded,,219088,,,0,False,False,False,False,False,False,False,True,False
1216,201603,TWSE,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20160301&stockNo=1216&response=json,9ab26b888d49fc89678241b226c7b9af58bad5b6ca6ff4b8b670b06d4866cb10,fetched,,23,2887,2026-07-10T03:24:19+00:00,0,False,False,False,False,False,False,False,True,False
1319,201510,TWSE,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20151001&stockNo=1319&response=json,de4ee7e0cd697c3e4fdbb13569a6b89b0c0a3ae0ded3f3d2c665d9e9e079b7e3,fetched,,0,71,2026-07-10T03:24:19+00:00,0,False,False,False,False,False,False,False,True,False
1319,201510,TPEx,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1319&date=2015/10/01&response=json,b043c3bf4d52b860bb0903a936aaf914943847eba1387d1e0ad93da0a641a8c9,fetched,,0,376,2026-07-10T03:24:19+00:00,0,False,False,False,False,False,False,False,True,False
2027,201807,TWSE,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20180701&stockNo=2027&response=json,613da50f34ce13eef5c62f77feb8a5049467753d8c65c363b3416342fd4d8155,fetched,,22,2870,2026-07-10T03:24:19+00:00,0,False,False,False,False,False,False,False,True,False
2317,202606,TWSE,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20260601&stockNo=2317&response=json,caf195490a802a54e049447d899f2d55f4111c78ee918c29a51d413ce26d8a15,fetched,,21,2982,2026-07-10T03:24:19+00:00,0,False,False,False,False,False,False,False,True,False
2330,202106,TWSE,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20210601&stockNo=2330&response=json,bd39a6d9fa9632bfd554eb3787be795c6de48260c851a36fe392e12df506f44a,fetched,,21,2967,2026-07-10T03:24:19+00:00,0,False,False,False,False,False,False,False,True,False
