date,ticker,name,market,open,high,low,close,volume,turnover_value,source_route,source_url,source_quality,adjustment_policy
2016-01-18,1101,台泥,TWSE,26.50,26.90,26.25,26.60,7044076,187200559,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=1101&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2016-01-25,1101,台泥,TWSE,25.85,26.00,25.75,25.85,6261270,162190920,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=1101&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2019-01-02,1101,台泥,TWSE,35.75,35.95,35.50,35.50,6566997,234262829,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20190101&stockNo=1101&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2019-01-09,1101,台泥,TWSE,35.95,36.35,35.90,36.35,20974178,756069459,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20190101&stockNo=1101&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2018-05-21,1102,亞泥,TWSE,35.40,35.75,34.85,35.25,8408424,296985051,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20180501&stockNo=1102&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2018-05-28,1102,亞泥,TWSE,33.55,33.85,33.15,33.50,4994331,167446203,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20180501&stockNo=1102&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2021-10-04,1102,亞泥,TWSE,45.50,45.70,45.25,45.45,6971683,316826060,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20211001&stockNo=1102&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2021-10-12,1102,亞泥,TWSE,45.25,45.60,45.10,45.45,5866092,266260108,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20211001&stockNo=1102&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2022-07-04,1102,亞泥,TWSE,44.10,44.30,43.55,43.90,7737993,340041642,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20220701&stockNo=1102&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2022-07-11,1102,亞泥,TWSE,43.95,44.15,43.70,44.05,2528077,111072005,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20220701&stockNo=1102&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2022-07-18,1102,亞泥,TWSE,43.30,43.95,42.70,43.95,9410074,410136185,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20220701&stockNo=1102&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2020-06-01,1215,卜蜂,TWSE,72.40,73.30,72.40,73.10,1164517,85031578,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20200601&stockNo=1215&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2020-06-08,1215,卜蜂,TWSE,74.30,74.70,73.30,74.50,1392437,103181789,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20200601&stockNo=1215&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2019-05-13,1216,統一,TWSE,77.00,78.20,76.80,77.70,10579630,819404099,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20190501&stockNo=1216&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2019-05-20,1216,統一,TWSE,78.20,80.00,78.20,80.00,12206669,972390409,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20190501&stockNo=1216&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2015-06-08,1227,佳格,TWSE,83.50,85.00,83.50,84.80,4977134,420443381,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150601&stockNo=1227&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2015-06-15,1227,佳格,TWSE,87.00,88.70,85.60,86.50,3294508,287708908,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150601&stockNo=1227&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2017-12-04,1305,華夏,TWSE,28.25,29.50,28.20,29.10,5299946,153781613,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20171201&stockNo=1305&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2017-12-11,1305,華夏,TWSE,28.35,28.45,27.95,28.10,2443078,68683179,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20171201&stockNo=1305&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2018-07-16,1312,國喬,TWSE,28.95,29.00,28.40,28.40,5166121,147763445,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20180701&stockNo=1312&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2018-07-23,1312,國喬,TWSE,26.85,27.35,26.80,27.00,5824724,157943498,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20180701&stockNo=1312&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2018-04-30,1314,中石化,TWSE,13.00,13.10,12.95,13.05,10225317,133125321,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20180401&stockNo=1314&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2018-05-08,1314,中石化,TWSE,12.65,12.95,12.60,12.95,21682099,278217356,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20180501&stockNo=1314&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2020-08-17,1325,恆大,TWSE,168.00,172.00,163.00,166.00,10890971,1817720099,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20200801&stockNo=1325&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
