ticker,cache_path,schema,rows,first_date,last_date,adjusted_close_available,source,sha256,notes
2311.TW,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_0050_pit_missing_price_coverage_4tickers_20260629\cache_compatible\2311_TW.csv,"date,open,high,low,close,adj_close,volume,dividend,stock_split",817,2014-11-28,2018-03-31,False,twse_stock_day,bf0804ad297c5e24ade8783b269a2f75905c1be7f6c0949632cb97f81fc3011e,adj_close intentionally blank because TWSE STOCK_DAY provides unadjusted OHLCV only.
2823.TW,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_0050_pit_missing_price_coverage_4tickers_20260629\cache_compatible\2823_TW.csv,"date,open,high,low,close,adj_close,volume,dividend,stock_split",918,2016-11-30,2020-08-31,False,twse_stock_day,474f668c7b9157615c86524409f0b0bc1d053b9caea57a9952bbbe90f9791e39,adj_close intentionally blank because TWSE STOCK_DAY provides unadjusted OHLCV only.
2888.TW,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_0050_pit_missing_price_coverage_4tickers_20260629\cache_compatible\2888_TW.csv,"date,open,high,low,close,adj_close,volume,dividend,stock_split",225,2019-09-27,2020-08-31,False,twse_stock_day,0ceb44fe95cff6114205a70bba259983c16b0100deb4ead70559be7802e9ed11,adj_close intentionally blank because TWSE STOCK_DAY provides unadjusted OHLCV only.
3474.TW,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_0050_pit_missing_price_coverage_4tickers_20260629\cache_compatible\3474_TW.csv,"date,open,high,low,close,adj_close,volume,dividend,stock_split",469,2014-11-28,2016-10-31,False,twse_stock_day,6e14cf2715e49a2cb0dd637f760ecf99bd8752b2c528429992d5667788968a19,adj_close intentionally blank because TWSE STOCK_DAY provides unadjusted OHLCV only.
