ticker,date,market,close,source_quality,adjustment_policy,source_url,source_hash,retrieved_at,checkpoint_path,source_reuse,future_data_violation_count
00631L,2016-01-04,TWSE,17.19,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-18T07:23:34+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_sleeve_internal_timing_close_fill_20260718\checkpoints\00631L\2016-01.json.gz,previous_accepted_official_ticker_month_checkpoint,0
00631L,2016-01-05,TWSE,16.94,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-18T07:23:34+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_sleeve_internal_timing_close_fill_20260718\checkpoints\00631L\2016-01.json.gz,previous_accepted_official_ticker_month_checkpoint,0
00631L,2016-01-06,TWSE,16.63,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-18T07:23:34+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_sleeve_internal_timing_close_fill_20260718\checkpoints\00631L\2016-01.json.gz,previous_accepted_official_ticker_month_checkpoint,0
00631L,2016-01-07,TWSE,16.02,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-18T07:23:34+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_sleeve_internal_timing_close_fill_20260718\checkpoints\00631L\2016-01.json.gz,previous_accepted_official_ticker_month_checkpoint,0
00631L,2016-01-08,TWSE,16.22,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-18T07:23:34+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_sleeve_internal_timing_close_fill_20260718\checkpoints\00631L\2016-01.json.gz,previous_accepted_official_ticker_month_checkpoint,0
00631L,2016-01-11,TWSE,15.71,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-18T07:23:34+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_sleeve_internal_timing_close_fill_20260718\checkpoints\00631L\2016-01.json.gz,previous_accepted_official_ticker_month_checkpoint,0
00631L,2016-01-12,TWSE,15.58,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-18T07:23:34+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_sleeve_internal_timing_close_fill_20260718\checkpoints\00631L\2016-01.json.gz,previous_accepted_official_ticker_month_checkpoint,0
00631L,2016-01-13,TWSE,15.89,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-18T07:23:34+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_sleeve_internal_timing_close_fill_20260718\checkpoints\00631L\2016-01.json.gz,previous_accepted_official_ticker_month_checkpoint,0
00631L,2016-01-14,TWSE,15.58,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-18T07:23:34+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_sleeve_internal_timing_close_fill_20260718\checkpoints\00631L\2016-01.json.gz,previous_accepted_official_ticker_month_checkpoint,0
00631L,2016-01-15,TWSE,15.41,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-18T07:23:34+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_sleeve_internal_timing_close_fill_20260718\checkpoints\00631L\2016-01.json.gz,previous_accepted_official_ticker_month_checkpoint,0
