ticker,date,market,close,source_quality,adjustment_policy,source_url,source_hash,retrieved_at,source_reuse,future_data_violation_count
00631L,2016-01-20,TWSE,15.15,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-18T07:23:34+00:00,network_exact_authority_month_checkpoint,0
00631L,2016-04-07,TWSE,18.83,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160401&stockNo=00631L&response=json,9b2dcbfb01463a68b73840f3314e2381d232191583ba3471f58189710ed4cda9,2026-07-18T07:23:36+00:00,network_exact_authority_month_checkpoint,0
00631L,2016-05-18,TWSE,17.5,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160501&stockNo=00631L&response=json,306ea0ed58afd3e9b84db1edb771e598f3437654df4750cfe9812e4dd2ea84be,2026-07-18T07:23:37+00:00,network_exact_authority_month_checkpoint,0
00631L,2016-09-02,TWSE,23.19,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160901&stockNo=00631L&response=json,e7fbba2341dc54e3cfc1077b8446d9b0e1ae1817385a8cc3874170cfe9742866,2026-07-18T07:23:38+00:00,network_exact_authority_month_checkpoint,0
00631L,2016-09-22,TWSE,24.67,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160901&stockNo=00631L&response=json,e7fbba2341dc54e3cfc1077b8446d9b0e1ae1817385a8cc3874170cfe9742866,2026-07-18T07:23:38+00:00,network_exact_authority_month_checkpoint,0
00631L,2016-11-04,TWSE,24.26,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20161101&stockNo=00631L&response=json,e7e92506a7326f0220a9a225b035ef940a03e8c68275e48d47d28de6c2031bdf,2026-07-18T07:23:39+00:00,network_exact_authority_month_checkpoint,0
00631L,2016-11-18,TWSE,23.89,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20161101&stockNo=00631L&response=json,e7e92506a7326f0220a9a225b035ef940a03e8c68275e48d47d28de6c2031bdf,2026-07-18T07:23:39+00:00,network_exact_authority_month_checkpoint,0
00631L,2016-12-05,TWSE,24.53,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20161201&stockNo=00631L&response=json,df40540f2f19529e972fd738231f42f014e97a81744d82b3e5b4dd719d8fb10b,2026-07-18T07:23:41+00:00,network_exact_authority_month_checkpoint,0
00631L,2016-12-16,TWSE,25.46,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20161201&stockNo=00631L&response=json,df40540f2f19529e972fd738231f42f014e97a81744d82b3e5b4dd719d8fb10b,2026-07-18T07:23:41+00:00,network_exact_authority_month_checkpoint,0
00631L,2017-04-17,TWSE,27.64,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170401&stockNo=00631L&response=json,5cc3b5479a3187954c9272c80fe8d39fd8e36d84fc743e581eddddd8c63cac0d,2026-07-18T07:23:42+00:00,network_exact_authority_month_checkpoint,0
00631L,2017-04-28,TWSE,28.37,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170401&stockNo=00631L&response=json,5cc3b5479a3187954c9272c80fe8d39fd8e36d84fc743e581eddddd8c63cac0d,2026-07-18T07:23:42+00:00,network_exact_authority_month_checkpoint,0
