date,theme,symbol,name,theme_rank,theme_score,capital_share,capital_share_5d_avg,capital_share_5d_change,turnover_value,turnover_value_5d,strong_stock_ratio,theme_risk_heat,stock_score,bucket,fundamental_pass,fundamental_score,fundamental_data_status,fundamental_source_date,fundamental_reason,risk_heat,liquidity,foreign_5d,trust_5d,margin_change_5d,stock_turnover_rank_in_theme,stock_turnover_share_in_theme,stock_turnover_share_change_5d,theme_leader_flag,theme_second_line_flag,theme_laggard_rebound_flag,overheated_flag
2023-05-10,ASIC/IP,3443,創意,1,100.0,43.0,35.9,8.9,25107.8,100769.9,62.5,48.5,62.9,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,36.4,100.0,0,0,0,2,25.3,-9.2,true,false,false,false
2023-05-10,ASIC/IP,3661,世芯-KY,1,100.0,43.0,35.9,8.9,25107.8,100769.9,62.5,48.5,64.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,58.3,100.0,0,0,0,1,47.2,24.6,true,false,false,false
2023-05-10,ASIC/IP,3035,智原,1,100.0,43.0,35.9,8.9,25107.8,100769.9,62.5,48.5,33.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,40.0,40.2,0,0,0,5,3.2,-3.7,false,false,false,false
2023-05-10,ASIC/IP,6531,愛普*,1,100.0,43.0,35.9,8.9,25107.8,100769.9,62.5,48.5,32.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,42.9,39.5,0,0,0,6,3.1,-4.3,false,false,false,false
2023-05-10,ASIC/IP,3529,力旺,1,100.0,43.0,35.9,8.9,25107.8,100769.9,62.5,48.5,31.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,38.6,33.7,0,0,0,7,2.7,-0.9,false,false,false,false
2023-05-10,ASIC/IP,5274,信驊,1,100.0,43.0,35.9,8.9,25107.8,100769.9,62.5,48.5,47.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,36.4,74.3,0,0,0,4,5.9,-2.3,false,false,false,false
2023-05-10,ASIC/IP,2454,聯發科,1,100.0,43.0,35.9,8.9,25107.8,100769.9,62.5,48.5,57.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,36.4,100.0,0,0,0,3,10.0,-2.2,false,false,false,false
2023-05-10,ASIC/IP,2379,瑞昱,1,100.0,43.0,35.9,8.9,25107.8,100769.9,62.5,48.5,30.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,40.8,32.4,0,0,0,8,2.6,-2.1,false,false,false,false
2023-05-10,AI伺服器/ODM,2382,廣達,2,55.0,21.2,18.6,3.2,12351.1,51825.5,12.5,45.0,42.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,54.4,0,0,0,5,8.8,-6.0,false,false,false,false
2023-05-10,AI伺服器/ODM,3231,緯創,2,55.0,21.2,18.6,3.2,12351.1,51825.5,12.5,45.0,63.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,2,23.6,-2.0,true,false,false,false
2023-05-10,AI伺服器/ODM,6669,緯穎,2,55.0,21.2,18.6,3.2,12351.1,51825.5,12.5,45.0,65.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,1,30.9,12.6,true,false,false,false
2023-05-10,AI伺服器/ODM,2356,英業達,2,55.0,21.2,18.6,3.2,12351.1,51825.5,12.5,45.0,25.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,13.3,0,0,0,8,2.2,-0.7,false,false,false,false
2023-05-10,AI伺服器/ODM,2376,技嘉,2,55.0,21.2,18.6,3.2,12351.1,51825.5,12.5,45.0,52.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,35.2,80.1,0,0,0,4,13.0,3.1,false,true,false,false
2023-05-10,AI伺服器/ODM,2357,華碩,2,55.0,21.2,18.6,3.2,12351.1,51825.5,12.5,45.0,28.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,21.0,0,0,0,6,3.4,-2.1,false,false,false,false
2023-05-10,AI伺服器/ODM,2317,鴻海,2,55.0,21.2,18.6,3.2,12351.1,51825.5,12.5,45.0,57.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,92.7,0,0,0,3,15.0,-3.7,false,false,false,false
2023-05-10,AI伺服器/ODM,2301,光寶科,2,55.0,21.2,18.6,3.2,12351.1,51825.5,12.5,45.0,27.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,19.4,0,0,0,7,3.1,-1.3,false,false,false,false
2023-05-10,PCB/載板,3037,欣興,3,42.1,14.6,21.3,-8.4,8504.1,59830.5,13.3,45.0,68.7,theme_leader,true,70.0,ok,2022-01-03,fundamental checks passed,33.8,100.0,6200,3100,6.0,1,39.4,-10.8,true,false,false,false
2023-05-10,PCB/載板,8046,南電,3,42.1,14.6,21.3,-8.4,8504.1,59830.5,13.3,45.0,56.7,theme_leader,true,70.0,ok,2022-01-03,fundamental checks passed,33.8,85.2,3300,1800,8.0,2,20.0,-4.4,true,false,false,false
2023-05-10,PCB/載板,3189,景碩,3,42.1,14.6,21.3,-8.4,8504.1,59830.5,13.3,45.0,26.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,14.2,0,0,0,9,3.3,-0.5,false,false,false,false
2023-05-10,PCB/載板,2368,金像電,3,42.1,14.6,21.3,-8.4,8504.1,59830.5,13.3,45.0,31.9,theme_second_line,true,100.0,ok,2022-01-03,fundamental checks passed,33.8,27.8,2800,1200,13.8,3,6.5,1.2,false,true,false,false
2023-05-10,PCB/載板,2383,台光電,3,42.1,14.6,21.3,-8.4,8504.1,59830.5,13.3,45.0,25.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,12.9,0,0,0,10,3.0,-0.4,false,false,false,false
2023-05-10,PCB/載板,6274,台燿,3,42.1,14.6,21.3,-8.4,8504.1,59830.5,13.3,45.0,28.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,20.2,0,0,0,6,4.8,1.6,false,false,false,false
2023-05-10,PCB/載板,6213,聯茂,3,42.1,14.6,21.3,-8.4,8504.1,59830.5,13.3,45.0,26.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,14.5,0,0,0,8,3.4,3.1,false,false,true,false
2023-05-10,PCB/載板,8358,金居,3,42.1,14.6,21.3,-8.4,8504.1,59830.5,13.3,45.0,22.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,5.6,0,0,0,12,1.3,0.0,false,false,false,false
