date,theme,symbol,name,theme_rank,theme_score,capital_share,capital_share_5d_avg,capital_share_5d_change,turnover_value,turnover_value_5d,strong_stock_ratio,theme_risk_heat,stock_score,bucket,fundamental_pass,fundamental_score,fundamental_data_status,fundamental_source_date,fundamental_reason,risk_heat,liquidity,foreign_5d,trust_5d,margin_change_5d,stock_turnover_rank_in_theme,stock_turnover_share_in_theme,stock_turnover_share_change_5d,theme_leader_flag,theme_second_line_flag,theme_laggard_rebound_flag,overheated_flag
2023-11-29,ASIC/IP,3443,創意,1,99.6,33.5,31.0,3.1,43649.1,159228.4,75.0,57.9,56.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,43.4,100.0,0,0,0,3,13.1,-6.6,false,false,false,false
2023-11-29,ASIC/IP,3661,世芯-KY,1,99.6,33.5,31.0,3.1,43649.1,159228.4,75.0,57.9,57.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,43.4,100.0,0,0,0,2,14.6,-9.1,false,false,false,false
2023-11-29,ASIC/IP,3035,智原,1,99.6,33.5,31.0,3.1,43649.1,159228.4,75.0,57.9,59.9,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,64.5,100.0,0,0,0,1,40.6,18.0,true,false,false,false
2023-11-29,ASIC/IP,6531,愛普*,1,99.6,33.5,31.0,3.1,43649.1,159228.4,75.0,57.9,48.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,67.3,100.0,0,0,0,5,10.6,5.1,false,true,false,false
2023-11-29,ASIC/IP,3529,力旺,1,99.6,33.5,31.0,3.1,43649.1,159228.4,75.0,57.9,40.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,48.1,68.1,0,0,0,7,3.1,-0.4,false,false,false,false
2023-11-29,ASIC/IP,5274,信驊,1,99.6,33.5,31.0,3.1,43649.1,159228.4,75.0,57.9,38.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,45.5,60.1,0,0,0,8,2.8,-0.0,false,false,false,false
2023-11-29,ASIC/IP,2454,聯發科,1,99.6,33.5,31.0,3.1,43649.1,159228.4,75.0,57.9,55.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,46.0,100.0,0,0,0,4,11.1,-6.2,false,false,false,false
2023-11-29,ASIC/IP,2379,瑞昱,1,99.6,33.5,31.0,3.1,43649.1,159228.4,75.0,57.9,46.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,53.2,89.5,0,0,0,6,4.1,-0.7,false,false,false,false
2023-11-29,AI伺服器/ODM,2382,廣達,2,81.8,24.6,25.5,-1.1,32033.5,128622.9,75.0,57.3,57.9,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,51.1,100.0,0,0,0,1,23.6,-7.2,true,false,false,false
2023-11-29,AI伺服器/ODM,3231,緯創,2,81.8,24.6,25.5,-1.1,32033.5,128622.9,75.0,57.3,57.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,46.5,100.0,0,0,0,3,17.7,-1.0,false,false,false,false
