date,theme,symbol,name,theme_rank,theme_score,capital_share,capital_share_5d_avg,capital_share_5d_change,turnover_value,turnover_value_5d,strong_stock_ratio,theme_risk_heat,stock_score,bucket,fundamental_pass,fundamental_score,fundamental_data_status,fundamental_source_date,fundamental_reason,risk_heat,liquidity,foreign_5d,trust_5d,margin_change_5d,stock_turnover_rank_in_theme,stock_turnover_share_in_theme,stock_turnover_share_change_5d,theme_leader_flag,theme_second_line_flag,theme_laggard_rebound_flag,overheated_flag
2023-09-11,AI伺服器/ODM,2382,廣達,1,100.0,53.2,37.9,19.1,70675.2,211975.7,0.0,45.0,65.9,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,1,31.5,4.3,true,false,false,false
2023-09-11,AI伺服器/ODM,3231,緯創,1,100.0,53.2,37.9,19.1,70675.2,211975.7,0.0,45.0,64.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,2,26.1,7.1,true,false,false,false
2023-09-11,AI伺服器/ODM,6669,緯穎,1,100.0,53.2,37.9,19.1,70675.2,211975.7,0.0,45.0,56.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,5,5.5,-1.1,false,false,false,false
2023-09-11,AI伺服器/ODM,2356,英業達,1,100.0,53.2,37.9,19.1,70675.2,211975.7,0.0,45.0,56.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,7,3.6,-0.7,false,false,false,false
2023-09-11,AI伺服器/ODM,2376,技嘉,1,100.0,53.2,37.9,19.1,70675.2,211975.7,0.0,45.0,61.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,3,19.1,-6.0,false,false,false,false
2023-09-11,AI伺服器/ODM,2357,華碩,1,100.0,53.2,37.9,19.1,70675.2,211975.7,0.0,45.0,56.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,6,5.2,0.4,false,false,false,false
2023-09-11,AI伺服器/ODM,2317,鴻海,1,100.0,53.2,37.9,19.1,70675.2,211975.7,0.0,45.0,53.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,93.3,0,0,0,8,2.6,-1.7,false,false,false,false
2023-09-11,AI伺服器/ODM,2301,光寶科,1,100.0,53.2,37.9,19.1,70675.2,211975.7,0.0,45.0,57.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,4,6.4,-2.3,false,false,false,false
2023-09-11,ASIC/IP,3443,創意,2,46.7,17.0,21.6,-5.8,22596.4,117417.3,12.5,45.0,60.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,3,14.8,-1.4,false,false,false,false
2023-09-11,ASIC/IP,3661,世芯-KY,2,46.7,17.0,21.6,-5.8,22596.4,117417.3,12.5,45.0,60.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,2,15.7,8.4,true,false,false,false
2023-09-11,ASIC/IP,3035,智原,2,46.7,17.0,21.6,-5.8,22596.4,117417.3,12.5,45.0,68.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,1,37.6,-0.5,true,false,false,false
2023-09-11,ASIC/IP,6531,愛普*,2,46.7,17.0,21.6,-5.8,22596.4,117417.3,12.5,45.0,51.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,82.4,0,0,0,5,7.3,-6.9,false,false,false,false
2023-09-11,ASIC/IP,3529,力旺,2,46.7,17.0,21.6,-5.8,22596.4,117417.3,12.5,45.0,27.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,20.5,0,0,0,8,1.8,-0.7,false,false,false,false
2023-09-11,ASIC/IP,5274,信驊,2,46.7,17.0,21.6,-5.8,22596.4,117417.3,12.5,45.0,35.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,40.6,0,0,0,7,3.6,0.4,false,false,false,false
2023-09-11,ASIC/IP,2454,聯發科,2,46.7,17.0,21.6,-5.8,22596.4,117417.3,12.5,45.0,47.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,36.6,75.0,0,0,0,6,6.6,-5.1,false,false,false,false
2023-09-11,ASIC/IP,2379,瑞昱,2,46.7,17.0,21.6,-5.8,22596.4,117417.3,12.5,45.0,59.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,4,12.6,5.8,false,true,false,false
2023-09-11,綠能/儲能,4931,新盛力,3,40.8,0.0,0.0,-0.0,23.5,217.2,100.0,61.3,51.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,47.9,1.2,0,0,0,1,100.0,0.0,true,false,false,false
2023-09-11,PCB/載板,3037,欣興,4,33.3,11.4,19.0,-9.6,15081.9,105108.7,6.7,45.0,55.1,theme_second_line,true,70.0,ok,2022-01-03,fundamental checks passed,33.8,88.9,6200,3100,6.0,4,11.8,3.6,false,true,false,false
2023-09-11,PCB/載板,8046,南電,4,33.3,11.4,19.0,-9.6,15081.9,105108.7,6.7,45.0,31.1,watch,true,70.0,ok,2022-01-03,fundamental checks passed,37.0,30.7,3300,1800,8.0,8,4.1,0.9,false,false,false,false
2023-09-11,PCB/載板,3189,景碩,4,33.3,11.4,19.0,-9.6,15081.9,105108.7,6.7,45.0,24.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,10.4,0,0,0,10,1.4,-0.1,false,false,false,false
