date,theme,symbol,name,theme_rank,theme_score,capital_share,capital_share_5d_avg,capital_share_5d_change,turnover_value,turnover_value_5d,strong_stock_ratio,theme_risk_heat,stock_score,bucket,fundamental_pass,fundamental_score,fundamental_data_status,fundamental_source_date,fundamental_reason,risk_heat,liquidity,foreign_5d,trust_5d,margin_change_5d,stock_turnover_rank_in_theme,stock_turnover_share_in_theme,stock_turnover_share_change_5d,theme_leader_flag,theme_second_line_flag,theme_laggard_rebound_flag,overheated_flag
2023-10-02,AI伺服器/ODM,2382,廣達,1,100.0,46.3,36.0,13.0,71844.8,218529.0,100.0,84.1,50.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,88.1,100.0,0,0,0,1,34.5,2.5,true,false,false,true
2023-10-02,AI伺服器/ODM,3231,緯創,1,100.0,46.3,36.0,13.0,71844.8,218529.0,100.0,84.1,45.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,100.0,100.0,0,0,0,2,29.0,10.6,true,false,false,true
2023-10-02,AI伺服器/ODM,6669,緯穎,1,100.0,46.3,36.0,13.0,71844.8,218529.0,100.0,84.1,37.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,100.0,100.0,0,0,0,4,7.7,-1.1,false,false,false,true
2023-10-02,AI伺服器/ODM,2356,英業達,1,100.0,46.3,36.0,13.0,71844.8,218529.0,100.0,84.1,40.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,89.2,100.0,0,0,0,6,5.0,2.6,false,false,true,true
2023-10-02,AI伺服器/ODM,2376,技嘉,1,100.0,46.3,36.0,13.0,71844.8,218529.0,100.0,84.1,47.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,75.1,100.0,0,0,0,3,14.0,-9.5,false,false,false,true
2023-10-02,AI伺服器/ODM,2357,華碩,1,100.0,46.3,36.0,13.0,71844.8,218529.0,100.0,84.1,31.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,69.1,61.9,0,0,0,8,1.7,-1.5,false,false,false,false
2023-10-02,AI伺服器/ODM,2317,鴻海,1,100.0,46.3,36.0,13.0,71844.8,218529.0,100.0,84.1,36.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,65.0,72.6,0,0,0,7,2.0,-4.3,false,false,false,false
2023-10-02,AI伺服器/ODM,2301,光寶科,1,100.0,46.3,36.0,13.0,71844.8,218529.0,100.0,84.1,44.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,76.2,100.0,0,0,0,5,6.0,0.9,false,true,false,true
2023-10-02,PCB/載板,3037,欣興,2,69.4,18.5,16.3,2.8,28704.6,97121.7,80.0,71.2,49.0,watch,true,70.0,ok,2022-01-03,fundamental checks passed,64.9,100.0,6200,3100,6.0,4,10.0,-2.7,false,false,false,false
2023-10-02,PCB/載板,8046,南電,2,69.4,18.5,16.3,2.8,28704.6,97121.7,80.0,71.2,38.4,watch,true,70.0,ok,2022-01-03,fundamental checks passed,54.9,66.6,3300,1800,8.0,7,4.6,-2.9,false,false,false,false
2023-10-02,PCB/載板,3189,景碩,2,69.4,18.5,16.3,2.8,28704.6,97121.7,80.0,71.2,18.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,53.4,11.3,0,0,0,13,0.8,-0.5,false,false,false,false
2023-10-02,PCB/載板,2368,金像電,2,69.4,18.5,16.3,2.8,28704.6,97121.7,80.0,71.2,55.0,theme_leader,true,100.0,ok,2022-01-03,fundamental checks passed,53.4,100.0,2800,1200,13.8,2,17.2,-1.7,true,false,false,false
2023-10-02,PCB/載板,2383,台光電,2,69.4,18.5,16.3,2.8,28704.6,97121.7,80.0,71.2,47.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,73.0,100.0,0,0,0,3,11.9,2.5,false,true,false,true
2023-10-02,PCB/載板,6274,台燿,2,69.4,18.5,16.3,2.8,28704.6,97121.7,80.0,71.2,46.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,90.2,100.0,0,0,0,1,24.6,5.2,true,false,false,true
2023-10-02,PCB/載板,6213,聯茂,2,69.4,18.5,16.3,2.8,28704.6,97121.7,80.0,71.2,35.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,66.5,68.4,0,0,0,6,4.8,0.2,false,false,false,false
2023-10-02,PCB/載板,8358,金居,2,69.4,18.5,16.3,2.8,28704.6,97121.7,80.0,71.2,24.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,86.4,54.7,0,0,0,10,3.8,2.7,false,false,true,true
