period,ticker,market,min,max,count
P1,1597,TPEx,2017-06-23,2018-06-01,16
P1,1597,TWSE,2021-01-22,2021-06-25,2
P1,1795,TPEx,2015-01-09,2019-12-13,45
P1,1795,TWSE,2019-12-20,2022-11-18,17
P1,2233,TPEx,2015-03-06,2018-05-04,28
P1,2233,TWSE,2020-08-28,2022-06-17,3
P1,2636,TPEx,2015-10-02,2015-10-02,1
P1,2636,TWSE,2021-03-26,2022-06-02,18
P1,3563,TPEx,2016-09-14,2019-03-22,48
P1,3563,TWSE,2019-04-26,2020-05-08,11
P1,4739,TPEx,2015-04-30,2017-08-04,16
P1,4739,TWSE,2017-09-29,2022-12-02,49
P1,6438,TPEx,2017-08-04,2020-11-13,18
P1,6438,TWSE,2021-08-27,2022-02-11,4
P2,6446,TPEx,2023-07-21,2023-09-01,3
P2,6446,TWSE,2024-05-17,2026-05-29,41
P2,6472,TPEx,2023-01-06,2023-06-30,21
P2,6472,TWSE,2024-05-10,2025-09-05,42
