ticker,date,source_rows,distinct_close_values,close_values,source_components
1476,2024-04-08,2,2,500.0|545.0,p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1477,2022-08-04,2,2,152.0|181.5,p1_official_raw_annual_compact|p3_official_raw_annual_compact
1477,2022-11-28,4,2,124.5|221.0,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1477,2023-05-29,3,2,124.5|219.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1477,2023-08-15,2,2,297.5|298.0,p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1477,2023-10-11,3,2,121.0|353.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1477,2023-12-04,3,2,124.5|356.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1477,2026-01-06,2,2,222.5|291.5,p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1503,2026-03-11,3,2,41.85|208.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1504,2022-08-04,2,2,28.1|29.65,p1_official_raw_annual_compact|p3_official_raw_annual_compact
1504,2023-05-29,3,2,28.0|51.8,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1504,2023-10-11,3,2,28.05|48.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1504,2024-01-04,3,2,30.05|46.75,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1504,2025-08-20,3,2,58.0|82.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1504,2025-08-21,3,2,63.8|82.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1513,2022-08-04,4,2,57.3|64.0,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1513,2022-11-28,2,2,21.6|58.5,p1_official_raw_annual_compact|p3_official_raw_annual_compact
1513,2023-05-29,3,2,21.6|113.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1513,2024-01-04,3,2,34.05|118.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1513,2026-01-06,2,2,147.0|168.5,p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1514,2023-05-29,3,2,11.3|51.6,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1514,2023-12-04,3,2,11.3|70.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1514,2024-01-04,3,2,28.3|79.8,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1519,2022-11-28,2,2,19.3|41.35,p1_official_raw_annual_compact|p3_official_raw_annual_compact
1519,2023-10-11,3,2,17.7|291.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1519,2023-12-04,3,2,19.3|309.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1519,2025-07-17,3,2,616.0|632.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1522,2023-10-11,3,2,36.05|42.35,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1524,2023-10-11,3,2,11.15|26.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1524,2023-12-04,3,2,12.1|29.7,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1558,2014-12-19,2,2,128.5|160.0,p1_official_raw_annual_compact
1560,2022-08-04,2,2,153.0|166.5,p1_official_raw_annual_compact|p3_official_raw_annual_compact
1560,2022-11-28,2,2,81.0|110.5,p1_official_raw_annual_compact|p3_official_raw_annual_compact
1560,2023-10-11,3,2,64.6|157.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1560,2023-12-04,3,2,81.0|186.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1582,2024-01-04,3,2,78.4|84.6,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1590,2022-11-28,4,2,500.0|879.0,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1590,2023-12-04,3,2,500.0|1025.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1590,2025-07-17,3,2,860.0|874.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1590,2026-03-11,3,2,500.0|1035.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1605,2023-10-11,3,2,12.05|37.25,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1605,2023-12-04,3,2,17.7|38.35,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1609,2023-10-11,3,2,5.7|35.35,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1609,2024-01-04,3,2,14.85|34.6,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1616,2025-07-17,3,2,32.15|34.45,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1618,2023-10-11,3,2,8.5|27.3,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1717,2026-03-11,3,2,30.75|63.8,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1795,2019-10-03,4,2,96.0|106.5,core_normalized_local_close_index|p1_official_raw_annual_compact|shifted_reusable_combined_close_index
1795,2022-08-04,2,2,135.0|184.5,p1_official_raw_annual_compact|p3_official_raw_annual_compact
1795,2024-01-04,3,2,82.5|272.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
1795,2025-03-17,2,2,255.5|256.5,p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2027,2022-08-04,2,2,34.35|40.65,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2027,2022-11-28,4,2,20.0|39.55,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2027,2025-08-20,3,2,35.8|40.45,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2027,2025-08-21,3,2,35.8|40.6,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2049,2024-01-04,3,2,224.0|339.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2049,2026-03-11,3,2,238.0|311.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2059,2022-08-04,2,2,449.5|470.0,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2059,2025-07-17,3,2,2240.0|2415.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2105,2022-11-28,2,2,33.95|51.2,p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2105,2026-01-06,2,2,29.3|32.4,p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2105,2026-03-11,2,2,28.5|51.2,p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2201,2022-08-04,4,2,41.5|43.25,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2201,2023-05-29,3,2,22.8|82.8,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2201,2023-10-11,3,2,27.0|78.8,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2204,2022-11-28,2,2,25.55|55.7,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2204,2023-05-29,3,2,25.55|91.6,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2204,2023-10-11,3,2,28.75|95.3,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2204,2023-12-04,3,2,25.55|104.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2204,2024-01-04,3,2,43.7|108.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2206,2022-08-04,2,2,36.05|37.25,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2206,2023-12-04,3,2,21.4|73.2,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2301,2022-11-28,4,2,40.3|65.5,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2301,2025-08-20,3,2,123.0|155.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2301,2025-08-21,3,2,125.0|155.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2303,2022-11-28,4,2,14.5|44.4,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2308,2022-08-04,4,2,261.0|272.5,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2308,2022-11-28,4,2,136.0|293.0,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2308,2023-05-29,3,2,136.0|315.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2308,2025-08-20,3,2,625.0|891.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2308,2025-08-21,3,2,648.0|891.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2308,2026-03-11,3,2,136.0|1400.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
