period,ticker,name,first_primary80_eligible_date,warmup_start_date,scope_end_date,required_session_rows,warmup_sessions_before_first_eligible,official_delisting_cap_applied
P1,1101,台泥,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,1102,亞泥,2015-03-27,2015-01-02,2022-12-29,2085,60,False
P1,1201,味全,2019-04-26,2019-02-01,2022-12-29,1020,60,False
P1,1210,大成,2017-05-26,2017-03-03,2022-12-29,1520,60,False
P1,1215,卜蜂,2016-05-27,2016-03-04,2022-12-29,1780,60,False
P1,1216,統一,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,1217,愛之味,2021-06-11,2021-03-19,2022-12-29,465,60,False
P1,1218,泰山,2018-06-29,2018-04-06,2022-12-29,1235,60,False
P1,1219,福壽,2021-04-29,2021-02-04,2022-12-29,496,60,False
P1,1227,佳格,2015-04-24,2015-01-30,2022-12-29,2065,60,False
P1,1229,聯華,2018-01-26,2017-11-03,2022-12-29,1345,60,False
P1,1262,綠悅-KY,2016-04-15,2016-01-22,2019-10-14,972,60,True
P1,1264,德麥,2018-03-02,2017-12-08,2022-12-29,1320,60,False
P1,1301,台塑,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,1303,南亞,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,1304,台聚,2016-10-14,2016-07-22,2022-12-29,1680,60,False
P1,1305,華夏,2015-02-06,2014-11-14,2022-12-29,2120,60,False
P1,1308,亞聚,2016-12-16,2016-09-23,2022-12-29,1635,60,False
P1,1309,台達化,2017-12-15,2017-09-22,2022-12-29,1375,60,False
P1,1310,台苯,2015-08-14,2015-05-22,2022-12-29,1985,60,False
P1,1312,國喬,2015-03-13,2014-12-19,2022-12-29,2095,60,False
P1,1313,聯成,2016-12-02,2016-09-09,2022-12-29,1645,60,False
P1,1314,中石化,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,1319,東陽,2015-01-30,2014-11-07,2022-12-29,2125,60,False
P1,1325,恆大,2020-03-20,2019-12-27,2022-12-29,785,60,False
P1,1326,台化,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,1337,再生-KY,2016-03-11,2015-12-18,2022-12-29,1835,60,False
P1,1338,廣華-KY,2015-08-28,2015-06-05,2022-12-29,1975,60,False
P1,1339,昭輝,2015-05-29,2015-03-06,2022-12-29,2040,60,False
P1,1340,勝悅-KY,2015-10-30,2015-08-07,2022-12-29,1930,60,False
P1,1342,八貫,2022-11-04,2022-08-12,2022-12-29,100,60,False
P1,1402,遠東新,2015-02-06,2014-11-14,2022-12-29,2120,60,False
P1,1409,新纖,2018-08-17,2018-05-25,2022-12-29,1200,60,False
P1,1419,新紡,2016-07-01,2016-04-08,2022-12-29,1755,60,False
P1,1434,福懋,2015-11-06,2015-08-14,2022-12-29,1925,60,False
P1,1440,南紡,2021-05-21,2021-02-26,2022-12-29,480,60,False
P1,1444,力麗,2017-07-28,2017-05-05,2022-12-29,1475,60,False
P1,1447,力鵬,2018-09-28,2018-07-06,2022-12-29,1170,60,False
P1,1452,宏益,2015-04-02,2015-01-08,2022-12-29,2081,60,False
P1,1455,集盛,2016-12-16,2016-09-23,2022-12-29,1635,60,False
P1,1457,宜進,2015-06-05,2015-03-13,2022-12-29,2035,60,False
P1,1460,宏遠,2015-05-29,2015-03-06,2022-12-29,2040,60,False
P1,1463,強盛新,2017-01-13,2016-10-21,2022-12-29,1615,60,False
P1,1464,得力,2015-04-30,2015-02-05,2022-12-29,2061,60,False
P1,1473,台南,2016-05-20,2016-02-26,2022-12-29,1785,60,False
P1,1476,儒鴻,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,1477,聚陽,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,1504,東元,2015-02-06,2014-11-14,2022-12-29,2120,60,False
P1,1513,中興電,2017-09-22,2017-06-30,2022-12-29,1435,60,False
