market,date,missing_keys,unique_tickers,estimated_response_bytes,network_authorized,network_authority_status
TPEx,2015-01-19,1,1,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-01-20,1,1,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-01-21,1,1,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-01-22,1,1,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-01-23,1,1,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-01-26,1,1,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-01-27,1,1,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-01-28,1,1,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-01-29,1,1,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-01-30,1,1,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-02,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-03,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-04,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-05,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-06,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-09,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-10,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-11,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-12,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-13,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-16,7,7,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-17,7,7,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-18,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-19,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-20,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-23,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-24,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-25,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-26,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-02-27,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-02,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-03,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-04,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-05,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-06,6,6,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-09,9,9,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-10,9,9,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-11,9,9,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-12,9,9,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-13,9,9,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-16,11,11,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-17,11,11,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-18,11,11,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-19,11,11,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-20,11,11,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-23,14,14,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-24,14,14,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-25,14,14,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-26,13,13,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-27,13,13,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-30,18,18,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-03-31,18,18,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-04-01,18,18,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-04-02,18,18,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-04-03,21,21,808670,False,audit_only_wait_strategy_center_decision
TPEx,2015-04-06,21,21,808670,False,audit_only_wait_strategy_center_decision
