period,ticker,date,variant_id,decision_date,role,reason,raw_source,source_priority,source_component,blocked_reason,prior_route_status,prior_route_error,network_authorized,network_policy_reason,official_raw_close,source_quality,market,source_url,source_hash,retrieved_at,blocked_reason_after_bounded_network
P1,1227,2015-09-29,S10_CD3,2015-09-25,sell,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,1476,2016-03-02,S07_CD2,2016-03-01,sell,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,1707,2016-06-14,S04_CD2,2016-06-13,buy,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,1786,2015-04-24,S01_CD5,2015-04-23,sell,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,1786,2015-05-06,S04_CD10,2015-05-05,sell,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,2101,2015-09-04,S04_CD7,2015-09-03,buy,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,2207,2016-06-14,S10_CD2,2016-06-13,buy,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,2327,2016-05-16,S08_CD2,2016-05-13,buy,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,2356,2015-04-01,S01_CD2,2015-03-31,sell,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,2356,2015-04-02,S01_CD3,2015-04-01,sell,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,2548,2016-01-05,S07_CD5,2016-01-04,buy,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,2707,2015-10-08,S10_CD10,2015-10-07,sell,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,2834,2015-09-03,S05_CD3,2015-09-02,buy,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,2883,2015-09-03,S08_CD3,2015-09-02,buy,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,3008,2015-09-04,S04_CD7,2015-09-03,sell,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,3227,2016-03-08,S08_CD10,2016-03-07,sell,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
