period,ticker,date,variant_id,decision_date,role,reason,official_raw_close,raw_source,market,source_priority,source_component,source_url,source_hash,retrieved_at,blocked_reason
P1,1227,2015-09-29,S10_CD3,2015-09-25,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,1227,2015-11-10,S10_CD7,2015-11-09,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,1476,2016-03-02,S07_CD2,2016-03-01,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,1707,2016-06-14,S04_CD2,2016-06-13,buy,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,1786,2015-04-24,S01_CD5,2015-04-23,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,1786,2015-05-06,S04_CD10,2015-05-05,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,2101,2015-09-04,S04_CD7,2015-09-03,buy,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,2207,2016-06-14,S10_CD2,2016-06-13,buy,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,2239,2016-03-31,S05_CD7,2016-03-30,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,2303,2016-06-17,S05_CD10,2016-06-16,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,2327,2016-05-16,S08_CD2,2016-05-13,buy,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,2356,2015-04-01,S01_CD2,2015-03-31,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,2356,2015-04-02,S01_CD3,2015-04-01,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,2454,2016-06-17,S05_CD5,2016-06-16,buy,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,2548,2016-01-05,S07_CD5,2016-01-04,buy,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,2707,2015-10-08,S10_CD10,2015-10-07,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,2834,2015-09-03,S05_CD3,2015-09-02,buy,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,2883,2015-09-03,S08_CD3,2015-09-02,buy,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,3008,2015-09-04,S04_CD7,2015-09-03,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,3227,2016-03-08,S08_CD10,2016-03-07,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,3498,2016-04-19,S07_CD7,2016-04-18,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,3545,2015-03-30,S01_CD7,2015-03-27,buy,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,4971,2016-04-13,S07_CD3,2016-04-12,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,5388,2016-06-17,S05_CD5,2016-06-16,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,6409,2015-03-31,S01_CD10,2015-03-30,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,6414,2015-09-29,S10_CD3,2015-09-25,buy,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,8150,2015-07-01,S05_CD2,2015-06-30,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P1,8150,2015-07-07,S09_CD7,2015-07-06,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P2,2303,2023-03-15,S10_CD3,2023-03-14,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P2,2482,2023-07-07,S10_CD7,2023-07-06,buy,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P2,3036,2024-05-10,S10_CD10,2024-05-09,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P2,3576,2023-01-04,S01_CD2,2023-01-03,buy,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
P2,6469,2023-08-07,S10_CD2,2023-08-04,sell,missing_official_raw_execution_close,,,,,,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints
