family,market,date,status,wanted_tickers,filtered_rows,http_status,response_bytes,source_url,response_sha256,retrieval_time_utc,error
margin_short,TWSE,2023-06-02,no_rows_valid_official_response,500,0,200,110973,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20230602&selectType=ALL&response=json,f366c44305230221c18f3a6712f148aeeba5c8f2cf2a2b600d54cd769ac8cc56,2026-07-11T08:54:45+00:00,
securities_lending,TPEx,2023-06-01,accepted,500,147,200,84994,https://www.tpex.org.tw/www/zh-tw/margin/sbl,f5c49470827fc77337a714ee0d16e70e1404b331e2b514056548dbefe5a9d6dd,2026-07-11T08:54:45+00:00,
securities_lending,TWSE,2023-06-01,no_rows_valid_official_response,500,0,200,164311,https://www.twse.com.tw/rwd/zh/lending/TWT72U?date=20230601&response=json,0279de209fe95be761613f15d3357cd41e4dcdf22caf35471068eaf7d47d38ab,2026-07-11T08:54:45+00:00,
institutional,TPEx,2023-06-01,accepted,500,147,200,120842,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,6e0f4e7a3266c3eda5950c40329eac9bcabb456b5a7e1ae049a4e2e802efa53d,2026-07-11T08:54:45+00:00,
institutional,TWSE,2023-06-01,accepted,500,350,200,162497,https://www.twse.com.tw/rwd/zh/fund/T86?date=20230601&selectType=ALLBUT0999&response=json,2dbe18ac3249dc13aab7fbd2032dfea93effebbec2f086dac96f259ebd8c0d22,2026-07-11T08:54:45+00:00,
securities_lending,TWSE,2023-06-02,no_rows_valid_official_response,500,0,200,165001,https://www.twse.com.tw/rwd/zh/lending/TWT72U?date=20230602&response=json,85c079c07c87e50f780712721610c4c3169556adb08af255c1c5d0bdf2fc87e8,2026-07-11T08:54:46+00:00,
margin_short,TWSE,2023-06-01,no_rows_valid_official_response,500,0,200,110603,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20230601&selectType=ALL&response=json,941974a2eed0042bd4036e7719d6a66c150fbbbdda19ae37f254314a28cbec84,2026-07-11T08:54:45+00:00,
securities_lending,TPEx,2023-06-02,accepted,500,147,200,85585,https://www.tpex.org.tw/www/zh-tw/margin/sbl,23c9fb1bc746d33dd8d1e151e75e186d2f539ffb10dd8b888fee4337fe92db75,2026-07-11T08:54:47+00:00,
margin_short,TWSE,2023-06-05,no_rows_valid_official_response,500,0,200,111027,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20230605&selectType=ALL&response=json,9d206ebcab475f1f9d8b9e14a1cb8ce8ea91e4ab9aa8345b4ddb389f83ae5d87,2026-07-11T08:54:47+00:00,
institutional,TPEx,2023-06-02,accepted,500,146,200,121219,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,c200b5c8a200391108f030c799e21cd8dfbe1ba2968e482983ea134f4c8cbd3b,2026-07-11T08:54:47+00:00,
institutional,TWSE,2023-06-02,accepted,500,350,200,165431,https://www.twse.com.tw/rwd/zh/fund/T86?date=20230602&selectType=ALLBUT0999&response=json,8e83579f90484860a0b6e50456d7a85ecaf172523553019db2a0ecc9bb9864c0,2026-07-11T08:54:45+00:00,
securities_lending,TWSE,2023-06-05,no_rows_valid_official_response,500,0,200,163905,https://www.twse.com.tw/rwd/zh/lending/TWT72U?date=20230605&response=json,d7a2b58866815de39a99a0f8f9b7d42157db760f21adbd4484a515dd7a3e5eb4,2026-07-11T08:54:47+00:00,
margin_short,TPEx,2023-06-02,accepted,500,140,200,90843,https://www.tpex.org.tw/www/zh-tw/margin/balance,56f82c86922135ca483bfa83343c269d661bec2a950ea11f00f37d2a500ca11f,2026-07-11T08:54:47+00:00,
margin_short,TPEx,2023-06-05,accepted,500,140,200,90887,https://www.tpex.org.tw/www/zh-tw/margin/balance,f15d6d4fe4e68d3735d4ca7ff153907a4d757f3f849403e64e6270f2a627a294,2026-07-11T08:54:48+00:00,
