ticker,market,requested_start,requested_end,actual_start,actual_end,trusted_nonofficial_adjusted_ready,official_adjusted_ready,official_raw_plus_corporate_action_guard_complete,source_quality,blocked_reason
1102,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1301,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1101,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1303,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1210,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1216,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1215,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1319,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1314,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1307,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1326,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1295,TPEx,2022-07-11,2026-07-09,2023-12-13,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1402,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1339,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1409,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1442,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1476,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1477,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1449,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1503,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1504,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1513,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1514,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1515,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1522,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1519,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1528,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1524,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1529,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1532,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1536,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1540,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1560,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1582,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1590,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1608,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1597,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1605,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1603,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1609,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1612,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1616,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1584,TPEx,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1618,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1702,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1717,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1711,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1708,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1722,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1727,TWSE,2022-07-11,2026-07-09,2022-07-11,2026-07-09,True,False,False,trusted_nonofficial_yahoo_research_grade,
1704,TWSE,2022-07-11,2026-07-09,,,False,False,False,blocked,1704.TW:200:;1704.TWO:404:HTTP_404
