family,ticker,market,status,coverage_start,coverage_end,price_rows,event_rows,attempt_evidence
adjusted_analysis,2228,TWSE,accepted,2022-07-11,2026-07-09,969,4,2228.TW:200:
adjusted_analysis,2207,TWSE,accepted,2022-07-11,2026-07-09,969,6,2207.TW:200:
adjusted_analysis,2233,TWSE,accepted,2022-07-11,2026-07-09,969,4,2233.TW:200:
adjusted_analysis,2303,TWSE,accepted,2022-07-11,2026-07-09,969,4,2303.TW:200:
adjusted_analysis,2312,TWSE,accepted,2022-07-11,2026-07-09,969,5,2312.TW:200:
adjusted_analysis,2301,TWSE,accepted,2022-07-11,2026-07-09,969,8,2301.TW:200:
adjusted_analysis,2308,TWSE,accepted,2022-07-11,2026-07-09,969,4,2308.TW:200:
adjusted_analysis,2317,TWSE,accepted,2022-07-11,2026-07-09,969,4,2317.TW:200:
adjusted_analysis,2323,TWSE,accepted,2022-07-11,2026-07-09,969,4,2323.TW:200:
adjusted_analysis,2313,TWSE,accepted,2022-07-11,2026-07-09,969,4,2313.TW:200:
adjusted_analysis,2311,TWSE,blocked_no_trusted_free_adjusted_history,,,0,0,2311.TW:200:;2311.TWO:404:HTTP_404
adjusted_analysis,2324,TWSE,accepted,2022-07-11,2026-07-09,969,4,2324.TW:200:
adjusted_analysis,2230,TPEx,accepted,2022-07-11,2026-07-09,969,6,2230.TW:404:HTTP_404;2230.TWO:200:
adjusted_analysis,2328,TWSE,accepted,2022-07-11,2026-07-09,969,5,2328.TW:200:
adjusted_analysis,2329,TWSE,accepted,2022-07-11,2026-07-09,969,5,2329.TW:200:
adjusted_analysis,2327,TWSE,accepted,2022-07-11,2026-07-09,969,8,2327.TW:200:
adjusted_analysis,2331,TWSE,accepted,2022-07-11,2026-07-09,969,3,2331.TW:200:
adjusted_analysis,2332,TWSE,accepted,2022-07-11,2026-07-09,969,4,2332.TW:200:
adjusted_analysis,2330,TWSE,accepted,2022-07-11,2026-07-09,969,16,2330.TW:200:
adjusted_analysis,2338,TWSE,accepted,2022-07-11,2026-07-09,969,3,2338.TW:200:
adjusted_analysis,2337,TWSE,accepted,2022-07-11,2026-07-09,969,3,2337.TW:200:
adjusted_analysis,2325,TWSE,blocked_no_trusted_free_adjusted_history,,,0,0,2325.TW:200:;2325.TWO:404:HTTP_404
adjusted_analysis,2340,TWSE,accepted,2022-07-11,2026-07-09,969,3,2340.TW:200:
adjusted_analysis,2344,TWSE,accepted,2022-07-11,2026-07-09,969,2,2344.TW:200:
adjusted_analysis,2345,TWSE,accepted,2022-07-11,2026-07-09,969,4,2345.TW:200:
adjusted_analysis,2347,TWSE,accepted,2022-07-11,2026-07-09,969,3,2347.TW:200:
adjusted_analysis,2348,TWSE,accepted,2022-07-11,2026-07-09,969,6,2348.TW:200:
adjusted_analysis,2351,TWSE,accepted,2022-07-11,2026-07-09,969,4,2351.TW:200:
