strategy,ticker,holding_start,holding_end,trading_day_marks,source_ledger,authority_status
old_ai7_median_rs60_two_sleeve,00631L,2016-11-18 00:00:00,2016-12-02 00:00:00,33,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2016-12-16 00:00:00,2017-04-14 00:00:00,225,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2017-04-28 00:00:00,2017-08-11 00:00:00,219,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2017-08-25 00:00:00,2017-09-20 00:00:00,57,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2017-10-05 00:00:00,2017-11-14 00:00:00,81,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2017-12-15 00:00:00,2017-12-27 00:00:00,27,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2018-01-15 00:00:00,2018-02-06 00:00:00,51,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2018-03-01 00:00:00,2018-03-26 00:00:00,54,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2018-04-12 00:00:00,2018-04-24 00:00:00,27,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2018-05-09 00:00:00,2018-06-15 00:00:00,84,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2018-07-02 00:00:00,2018-08-16 00:00:00,102,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2018-08-30 00:00:00,2018-10-02 00:00:00,69,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2018-10-22 00:00:00,2018-11-02 00:00:00,30,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2019-04-02 00:00:00,2019-05-13 00:00:00,81,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2019-06-03 00:00:00,2019-06-21 00:00:00,42,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2019-07-12 00:00:00,2019-08-02 00:00:00,48,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2019-09-10 00:00:00,2019-09-27 00:00:00,39,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2019-10-23 00:00:00,2019-11-01 00:00:00,24,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2019-11-19 00:00:00,2019-11-29 00:00:00,27,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2019-12-13 00:00:00,2020-01-30 00:00:00,81,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2020-02-17 00:00:00,2020-02-27 00:00:00,27,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2020-06-23 00:00:00,2020-08-21 00:00:00,126,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2020-09-09 00:00:00,2020-09-22 00:00:00,30,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2020-10-08 00:00:00,2021-02-26 00:00:00,279,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2021-03-15 00:00:00,2021-03-25 00:00:00,27,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2021-04-15 00:00:00,2021-05-05 00:00:00,42,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2021-05-21 00:00:00,2021-07-09 00:00:00,105,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2021-08-03 00:00:00,2021-08-13 00:00:00,27,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2021-08-27 00:00:00,2021-09-28 00:00:00,63,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2021-10-18 00:00:00,2021-11-05 00:00:00,45,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2021-11-19 00:00:00,2021-12-03 00:00:00,33,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2021-12-22 00:00:00,2022-01-25 00:00:00,72,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2022-02-17 00:00:00,2022-03-02 00:00:00,27,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2022-03-18 00:00:00,2022-03-18 00:00:00,3,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2022-12-05 00:00:00,2022-12-16 00:00:00,30,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2023-01-10 00:00:00,2023-02-24 00:00:00,78,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2023-03-23 00:00:00,2023-04-21 00:00:00,57,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2023-05-08 00:00:00,2023-05-12 00:00:00,15,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2023-05-26 00:00:00,2023-07-06 00:00:00,84,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2023-07-28 00:00:00,2023-08-10 00:00:00,27,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2023-10-16 00:00:00,2023-10-26 00:00:00,27,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2023-11-09 00:00:00,2024-01-11 00:00:00,135,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2024-01-25 00:00:00,2024-04-19 00:00:00,156,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2024-05-07 00:00:00,2024-07-22 00:00:00,162,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2024-08-13 00:00:00,2024-08-27 00:00:00,33,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2024-09-13 00:00:00,2024-09-13 00:00:00,3,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2024-09-30 00:00:00,2024-10-11 00:00:00,21,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2024-11-11 00:00:00,2024-11-21 00:00:00,27,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2024-12-09 00:00:00,2024-12-20 00:00:00,30,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2025-02-19 00:00:00,2025-03-04 00:00:00,27,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2025-07-10 00:00:00,2025-09-03 00:00:00,120,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2025-09-17 00:00:00,2025-11-13 00:00:00,114,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2025-11-27 00:00:00,2026-03-09 00:00:00,189,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,00631L,2026-04-02 00:00:00,2026-06-26 00:00:00,174,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,2308,2018-11-05 00:00:00,2018-11-22 00:00:00,42,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,2308,2019-06-24 00:00:00,2019-06-28 00:00:00,15,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,2308,2022-07-11 00:00:00,2022-09-01 00:00:00,117,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,2308,2025-03-19 00:00:00,2025-04-07 00:00:00,36,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,2308,2025-07-03 00:00:00,2025-07-04 00:00:00,6,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,2317,2022-03-21 00:00:00,2022-04-11 00:00:00,42,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,2317,2024-10-14 00:00:00,2024-11-08 00:00:00,57,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,2330,2019-10-01 00:00:00,2019-10-18 00:00:00,36,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,2382,2020-02-12 00:00:00,2020-02-14 00:00:00,9,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,2382,2021-10-08 00:00:00,2021-10-15 00:00:00,15,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,2382,2022-06-22 00:00:00,2022-07-07 00:00:00,36,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
old_ai7_median_rs60_two_sleeve,2382,2023-05-15 00:00:00,2023-05-19 00:00:00,15,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger
