strategy,source_ledger,authority_status,rows,blocked_reason
old_ai7_three_chip,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\old_ai7_three_chip_four_strategy_contract_20260721\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger,26,
old_ai7_relative_00631l_timing,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_00631l_old_ai7_relative_ma_slope_switch_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger,201,
old_ai7_priority_backup_00631l,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_priority_00631l_backup_cd_override_contract_20260720\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger,90,
old_ai7_median_rs60_two_sleeve,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_p1_p2_old_ai7_vs_00631l_weekly_median_rs60_two_sleeve_contract_20260719\corrected_NAV_daily_wealth_ledger.csv.gz,actual_daily_holding_ledger,95,
00631l_buyhold,strategy_definition_fixed_buyhold,fixed_strategy_definition,1,
v4d,,blocked_missing_exact_authority,0,exact_actual_held_ticker_date_ledger_not_found_in_mounted_core_outputs
0050_constituent_all,,blocked_missing_exact_authority,0,historical_constituent_all_holding_authority_not_found_in_mounted_core_outputs
0050_constituent_top30,,blocked_missing_exact_authority,0,historical_constituent_top30_holding_authority_not_found_in_mounted_core_outputs
