scope,strategy,ticker,blocked_field,reason,next_step,network_acquisition_authorized
strategy_authority,v4d,,actual_held_ticker_date_authority,exact_actual_held_ticker_date_ledger_not_found_in_mounted_core_outputs,Core must export frozen actual holding intervals before event acquisition,False
strategy_authority,0050_constituent_all,,actual_held_ticker_date_authority,historical_constituent_all_holding_authority_not_found_in_mounted_core_outputs,Core must export frozen actual holding intervals before event acquisition,False
strategy_authority,0050_constituent_top30,,actual_held_ticker_date_authority,historical_constituent_top30_holding_authority_not_found_in_mounted_core_outputs,Core must export frozen actual holding intervals before event acquisition,False
cash_distribution,all_discovered,00631L,exact_exdate_payment_date_cash_per_share_market_available_at,no_local_candidate_source,official historical event route required after complete authority,False
capital_change,all_discovered,00631L,split_reduction_merger_conversion_effective_date_ratio_holder_treatment,blocked_no_local_exact_capital_change_event_source,official historical corporate-action route required after complete authority,False
cash_distribution,all_discovered,2308,exact_exdate_payment_date_cash_per_share_market_available_at,no_local_candidate_source,official historical event route required after complete authority,False
capital_change,all_discovered,2308,split_reduction_merger_conversion_effective_date_ratio_holder_treatment,blocked_no_local_exact_capital_change_event_source,official historical corporate-action route required after complete authority,False
cash_distribution,all_discovered,2317,exact_exdate_payment_date_cash_per_share_market_available_at,blocked_missing_exact_exdate_payment_date,official historical event route required after complete authority,False
capital_change,all_discovered,2317,split_reduction_merger_conversion_effective_date_ratio_holder_treatment,blocked_no_local_exact_capital_change_event_source,official historical corporate-action route required after complete authority,False
cash_distribution,all_discovered,2330,exact_exdate_payment_date_cash_per_share_market_available_at,blocked_missing_exact_exdate_payment_date,official historical event route required after complete authority,False
capital_change,all_discovered,2330,split_reduction_merger_conversion_effective_date_ratio_holder_treatment,blocked_no_local_exact_capital_change_event_source,official historical corporate-action route required after complete authority,False
cash_distribution,all_discovered,2382,exact_exdate_payment_date_cash_per_share_market_available_at,no_local_candidate_source,official historical event route required after complete authority,False
capital_change,all_discovered,2382,split_reduction_merger_conversion_effective_date_ratio_holder_treatment,blocked_no_local_exact_capital_change_event_source,official historical corporate-action route required after complete authority,False
cash_distribution,all_discovered,2454,exact_exdate_payment_date_cash_per_share_market_available_at,no_local_candidate_source,official historical event route required after complete authority,False
capital_change,all_discovered,2454,split_reduction_merger_conversion_effective_date_ratio_holder_treatment,blocked_no_local_exact_capital_change_event_source,official historical corporate-action route required after complete authority,False
cash_distribution,all_discovered,3231,exact_exdate_payment_date_cash_per_share_market_available_at,no_local_candidate_source,official historical event route required after complete authority,False
capital_change,all_discovered,3231,split_reduction_merger_conversion_effective_date_ratio_holder_treatment,blocked_no_local_exact_capital_change_event_source,official historical corporate-action route required after complete authority,False
cash_distribution,all_discovered,6669,exact_exdate_payment_date_cash_per_share_market_available_at,no_local_candidate_source,official historical event route required after complete authority,False
capital_change,all_discovered,6669,split_reduction_merger_conversion_effective_date_ratio_holder_treatment,blocked_no_local_exact_capital_change_event_source,official historical corporate-action route required after complete authority,False
