attempt_id,market,company_type,period,url,http_code,content_type,status,row_count,error
otc_2015-01_0,TPEx,0,2015-01,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_1_0.html,200,text/html,ok,671,
otc_2015-01_1,TPEx,1,2015-01,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_1_1.html,200,text/html,ok,21,
sii_2015-01_0,TWSE,0,2015-01,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_1_0.html,200,text/html,ok,837,
sii_2015-01_1,TWSE,1,2015-01,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_1_1.html,200,text/html,ok,39,
otc_2015-02_0,TPEx,0,2015-02,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_2_0.html,200,text/html,ok,671,
otc_2015-02_1,TPEx,1,2015-02,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_2_1.html,200,text/html,ok,21,
sii_2015-02_0,TWSE,0,2015-02,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_2_0.html,200,text/html,ok,837,
sii_2015-02_1,TWSE,1,2015-02,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_2_1.html,200,text/html,ok,39,
otc_2015-03_0,TPEx,0,2015-03,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_3_0.html,200,text/html,ok,673,
otc_2015-03_1,TPEx,1,2015-03,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_3_1.html,200,text/html,ok,21,
sii_2015-03_0,TWSE,0,2015-03,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_3_0.html,200,text/html,ok,837,
sii_2015-03_1,TWSE,1,2015-03,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_3_1.html,200,text/html,ok,39,
otc_2015-04_0,TPEx,0,2015-04,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_4_0.html,200,text/html,ok,675,
otc_2015-04_1,TPEx,1,2015-04,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_4_1.html,200,text/html,ok,21,
sii_2015-04_0,TWSE,0,2015-04,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_4_0.html,200,text/html,ok,840,
sii_2015-04_1,TWSE,1,2015-04,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_4_1.html,200,text/html,ok,41,
otc_2015-05_0,TPEx,0,2015-05,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_5_0.html,200,text/html,ok,679,
otc_2015-05_1,TPEx,1,2015-05,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_5_1.html,200,text/html,ok,21,
sii_2015-05_0,TWSE,0,2015-05,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_5_0.html,200,text/html,ok,840,
sii_2015-05_1,TWSE,1,2015-05,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_5_1.html,200,text/html,ok,41,
otc_2015-06_0,TPEx,0,2015-06,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_6_0.html,200,text/html,ok,682,
otc_2015-06_1,TPEx,1,2015-06,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_6_1.html,200,text/html,ok,21,
sii_2015-06_0,TWSE,0,2015-06,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_6_0.html,200,text/html,ok,841,
sii_2015-06_1,TWSE,1,2015-06,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_6_1.html,200,text/html,ok,41,
otc_2015-07_0,TPEx,0,2015-07,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_7_0.html,200,text/html,ok,683,
otc_2015-07_1,TPEx,1,2015-07,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_7_1.html,200,text/html,ok,21,
sii_2015-07_0,TWSE,0,2015-07,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_7_0.html,200,text/html,ok,841,
sii_2015-07_1,TWSE,1,2015-07,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_7_1.html,200,text/html,ok,42,
otc_2015-08_0,TPEx,0,2015-08,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_8_0.html,200,text/html,ok,686,
otc_2015-08_1,TPEx,1,2015-08,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_8_1.html,200,text/html,ok,21,
sii_2015-08_0,TWSE,0,2015-08,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_8_0.html,200,text/html,ok,844,
sii_2015-08_1,TWSE,1,2015-08,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_8_1.html,200,text/html,ok,44,
otc_2015-09_0,TPEx,0,2015-09,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_9_0.html,200,text/html,ok,686,
otc_2015-09_1,TPEx,1,2015-09,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_9_1.html,200,text/html,ok,21,
sii_2015-09_0,TWSE,0,2015-09,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_9_0.html,200,text/html,ok,845,
sii_2015-09_1,TWSE,1,2015-09,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_9_1.html,200,text/html,ok,46,
otc_2015-10_0,TPEx,0,2015-10,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_10_0.html,200,text/html,ok,687,
otc_2015-10_1,TPEx,1,2015-10,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_10_1.html,200,text/html,ok,21,
sii_2015-10_0,TWSE,0,2015-10,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_10_0.html,200,text/html,ok,846,
sii_2015-10_1,TWSE,1,2015-10,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_10_1.html,200,text/html,ok,46,
otc_2015-11_0,TPEx,0,2015-11,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_11_0.html,200,text/html,ok,692,
otc_2015-11_1,TPEx,1,2015-11,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_11_1.html,200,text/html,ok,21,
sii_2015-11_0,TWSE,0,2015-11,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_11_0.html,200,text/html,ok,846,
sii_2015-11_1,TWSE,1,2015-11,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_11_1.html,200,text/html,ok,47,
otc_2015-12_0,TPEx,0,2015-12,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_12_0.html,200,text/html,ok,695,
otc_2015-12_1,TPEx,1,2015-12,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_104_12_1.html,200,text/html,ok,22,
sii_2015-12_0,TWSE,0,2015-12,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_12_0.html,200,text/html,ok,846,
sii_2015-12_1,TWSE,1,2015-12,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_104_12_1.html,200,text/html,ok,47,
otc_2016-01_0,TPEx,0,2016-01,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_1_0.html,200,text/html,ok,698,
otc_2016-01_1,TPEx,1,2016-01,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_1_1.html,200,text/html,ok,22,
sii_2016-01_0,TWSE,0,2016-01,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_1_0.html,200,text/html,ok,848,
sii_2016-01_1,TWSE,1,2016-01,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_1_1.html,200,text/html,ok,49,
otc_2016-02_0,TPEx,0,2016-02,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_2_0.html,200,text/html,ok,698,
otc_2016-02_1,TPEx,1,2016-02,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_2_1.html,200,text/html,ok,22,
sii_2016-02_0,TWSE,0,2016-02,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_2_0.html,200,text/html,ok,848,
sii_2016-02_1,TWSE,1,2016-02,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_2_1.html,200,text/html,ok,49,
otc_2016-03_0,TPEx,0,2016-03,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_3_0.html,200,text/html,ok,698,
otc_2016-03_1,TPEx,1,2016-03,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_3_1.html,200,text/html,ok,22,
sii_2016-03_0,TWSE,0,2016-03,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_3_0.html,200,text/html,ok,848,
sii_2016-03_1,TWSE,1,2016-03,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_3_1.html,200,text/html,ok,49,
otc_2016-04_0,TPEx,0,2016-04,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_4_0.html,200,text/html,ok,699,
otc_2016-04_1,TPEx,1,2016-04,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_4_1.html,200,text/html,ok,22,
sii_2016-04_0,TWSE,0,2016-04,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_4_0.html,200,text/html,ok,848,
sii_2016-04_1,TWSE,1,2016-04,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_4_1.html,200,text/html,ok,49,
otc_2016-05_0,TPEx,0,2016-05,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_5_0.html,200,text/html,ok,699,
otc_2016-05_1,TPEx,1,2016-05,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_5_1.html,200,text/html,ok,22,
sii_2016-05_0,TWSE,0,2016-05,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_5_0.html,200,text/html,ok,850,
sii_2016-05_1,TWSE,1,2016-05,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_5_1.html,200,text/html,ok,49,
otc_2016-06_0,TPEx,0,2016-06,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_6_0.html,200,text/html,ok,700,
otc_2016-06_1,TPEx,1,2016-06,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_6_1.html,200,text/html,ok,22,
sii_2016-06_0,TWSE,0,2016-06,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_6_0.html,200,text/html,ok,853,
sii_2016-06_1,TWSE,1,2016-06,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_6_1.html,200,text/html,ok,50,
otc_2016-07_0,TPEx,0,2016-07,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_7_0.html,200,text/html,ok,702,
otc_2016-07_1,TPEx,1,2016-07,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_7_1.html,200,text/html,ok,22,
sii_2016-07_0,TWSE,0,2016-07,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_7_0.html,200,text/html,ok,854,
sii_2016-07_1,TWSE,1,2016-07,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_7_1.html,200,text/html,ok,50,
otc_2016-08_0,TPEx,0,2016-08,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_8_0.html,200,text/html,ok,703,
otc_2016-08_1,TPEx,1,2016-08,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_8_1.html,200,text/html,ok,22,
sii_2016-08_0,TWSE,0,2016-08,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_8_0.html,200,text/html,ok,857,
sii_2016-08_1,TWSE,1,2016-08,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_8_1.html,200,text/html,ok,50,
otc_2016-09_0,TPEx,0,2016-09,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_9_0.html,200,text/html,ok,704,
otc_2016-09_1,TPEx,1,2016-09,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_9_1.html,200,text/html,ok,22,
sii_2016-09_0,TWSE,0,2016-09,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_9_0.html,200,text/html,ok,857,
sii_2016-09_1,TWSE,1,2016-09,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_9_1.html,200,text/html,ok,52,
otc_2016-10_0,TPEx,0,2016-10,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_10_0.html,200,text/html,ok,706,
otc_2016-10_1,TPEx,1,2016-10,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_10_1.html,200,text/html,ok,22,
sii_2016-10_0,TWSE,0,2016-10,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_10_0.html,200,text/html,ok,858,
sii_2016-10_1,TWSE,1,2016-10,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_10_1.html,200,text/html,ok,53,
otc_2016-11_0,TPEx,0,2016-11,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_11_0.html,200,text/html,ok,707,
otc_2016-11_1,TPEx,1,2016-11,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_11_1.html,200,text/html,ok,22,
sii_2016-11_0,TWSE,0,2016-11,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_11_0.html,200,text/html,ok,859,
sii_2016-11_1,TWSE,1,2016-11,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_11_1.html,200,text/html,ok,56,
otc_2016-12_0,TPEx,0,2016-12,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_12_0.html,200,text/html,ok,707,
otc_2016-12_1,TPEx,1,2016-12,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_105_12_1.html,200,text/html,ok,22,
sii_2016-12_0,TWSE,0,2016-12,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_12_0.html,200,text/html,ok,859,
sii_2016-12_1,TWSE,1,2016-12,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_105_12_1.html,200,text/html,ok,56,
otc_2017-01_0,TPEx,0,2017-01,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_106_1_0.html,200,text/html,ok,709,
otc_2017-01_1,TPEx,1,2017-01,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_106_1_1.html,200,text/html,ok,24,
sii_2017-01_0,TWSE,0,2017-01,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_106_1_0.html,200,text/html,ok,863,
sii_2017-01_1,TWSE,1,2017-01,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_106_1_1.html,200,text/html,ok,57,
otc_2017-02_0,TPEx,0,2017-02,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_106_2_0.html,200,text/html,ok,709,
otc_2017-02_1,TPEx,1,2017-02,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_106_2_1.html,200,text/html,ok,24,
sii_2017-02_0,TWSE,0,2017-02,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_106_2_0.html,200,text/html,ok,863,
sii_2017-02_1,TWSE,1,2017-02,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_106_2_1.html,200,text/html,ok,57,
otc_2017-03_0,TPEx,0,2017-03,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_106_3_0.html,200,text/html,ok,710,
otc_2017-03_1,TPEx,1,2017-03,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_106_3_1.html,200,text/html,ok,24,
sii_2017-03_0,TWSE,0,2017-03,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_106_3_0.html,200,text/html,ok,863,
sii_2017-03_1,TWSE,1,2017-03,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_106_3_1.html,200,text/html,ok,57,
otc_2017-04_0,TPEx,0,2017-04,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_106_4_0.html,200,text/html,ok,710,
otc_2017-04_1,TPEx,1,2017-04,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_106_4_1.html,200,text/html,ok,24,
sii_2017-04_0,TWSE,0,2017-04,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_106_4_0.html,200,text/html,ok,863,
sii_2017-04_1,TWSE,1,2017-04,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_106_4_1.html,200,text/html,ok,58,
otc_2017-05_0,TPEx,0,2017-05,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_106_5_0.html,200,text/html,ok,711,
otc_2017-05_1,TPEx,1,2017-05,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_106_5_1.html,200,text/html,ok,24,
sii_2017-05_0,TWSE,0,2017-05,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_106_5_0.html,200,text/html,ok,865,
sii_2017-05_1,TWSE,1,2017-05,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_106_5_1.html,200,text/html,ok,58,
otc_2017-06_0,TPEx,0,2017-06,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_106_6_0.html,200,text/html,ok,714,
otc_2017-06_1,TPEx,1,2017-06,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_106_6_1.html,200,text/html,ok,24,
sii_2017-06_0,TWSE,0,2017-06,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_106_6_0.html,200,text/html,ok,866,
sii_2017-06_1,TWSE,1,2017-06,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_106_6_1.html,200,text/html,ok,58,
otc_2017-07_0,TPEx,0,2017-07,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_106_7_0.html,200,text/html,ok,718,
otc_2017-07_1,TPEx,1,2017-07,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_106_7_1.html,200,text/html,ok,24,
sii_2017-07_0,TWSE,0,2017-07,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_106_7_0.html,200,text/html,ok,865,
sii_2017-07_1,TWSE,1,2017-07,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_106_7_1.html,200,text/html,ok,60,
otc_2017-08_0,TPEx,0,2017-08,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_106_8_0.html,200,text/html,ok,722,
otc_2017-08_1,TPEx,1,2017-08,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_106_8_1.html,200,text/html,ok,24,
sii_2017-08_0,TWSE,0,2017-08,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_106_8_0.html,200,text/html,ok,869,
sii_2017-08_1,TWSE,1,2017-08,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_106_8_1.html,200,text/html,ok,61,
otc_2017-09_0,TPEx,0,2017-09,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_106_9_0.html,200,text/html,ok,725,
