revenue_year_month,market,ticker_count,route_attempts,ok_attempts,failed_attempts,coverage_status
2015-01,TWSE,876,2,2,0,accepted
2015-01,TPEx,692,2,2,0,accepted
2015-02,TWSE,876,2,2,0,accepted
2015-02,TPEx,692,2,2,0,accepted
2015-03,TWSE,876,2,2,0,accepted
2015-03,TPEx,694,2,2,0,accepted
2015-04,TWSE,881,2,2,0,accepted
2015-04,TPEx,696,2,2,0,accepted
2015-05,TWSE,881,2,2,0,accepted
2015-05,TPEx,700,2,2,0,accepted
2015-06,TWSE,882,2,2,0,accepted
2015-06,TPEx,703,2,2,0,accepted
2015-07,TWSE,883,2,2,0,accepted
2015-07,TPEx,704,2,2,0,accepted
2015-08,TWSE,888,2,2,0,accepted
2015-08,TPEx,707,2,2,0,accepted
2015-09,TWSE,891,2,2,0,accepted
2015-09,TPEx,707,2,2,0,accepted
2015-10,TWSE,892,2,2,0,accepted
2015-10,TPEx,708,2,2,0,accepted
2015-11,TWSE,893,2,2,0,accepted
2015-11,TPEx,713,2,2,0,accepted
2015-12,TWSE,893,2,2,0,accepted
2015-12,TPEx,717,2,2,0,accepted
2016-01,TWSE,897,2,2,0,accepted
2016-01,TPEx,720,2,2,0,accepted
2016-02,TWSE,897,2,2,0,accepted
2016-02,TPEx,720,2,2,0,accepted
2016-03,TWSE,897,2,2,0,accepted
2016-03,TPEx,720,2,2,0,accepted
2016-04,TWSE,897,2,2,0,accepted
2016-04,TPEx,721,2,2,0,accepted
2016-05,TWSE,899,2,2,0,accepted
2016-05,TPEx,721,2,2,0,accepted
2016-06,TWSE,903,2,2,0,accepted
2016-06,TPEx,722,2,2,0,accepted
2016-07,TWSE,904,2,2,0,accepted
2016-07,TPEx,724,2,2,0,accepted
2016-08,TWSE,907,2,2,0,accepted
2016-08,TPEx,725,2,2,0,accepted
2016-09,TWSE,909,2,2,0,accepted
2016-09,TPEx,726,2,2,0,accepted
2016-10,TWSE,911,2,2,0,accepted
2016-10,TPEx,728,2,2,0,accepted
