source_id,source_name,source_url_pattern,market,source_type,coverage,release_date_available,formal_exact
mops_static_t21sc03_sii,MOPS TWSE monthly revenue static HTML,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_{roc_year}_{month}_{company_type}.html,TWSE,official_static_html_conservative_available_date,2015-01..2026-05,conservative_available_date_next_month_10_weekday_adjusted,false
mops_static_t21sc03_otc,MOPS TPEx monthly revenue static HTML,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_{roc_year}_{month}_{company_type}.html,TPEx,official_static_html_conservative_available_date,2015-01..2026-05,conservative_available_date_next_month_10_weekday_adjusted,false
