shard_file,year,rows,symbol_count,period_start,period_end
accepted_monthly_revenue_rows_shards/accepted_monthly_revenue_rows_2015.csv,2015,19045,1612,2015-01,2015-12
accepted_monthly_revenue_rows_shards/accepted_monthly_revenue_rows_2016.csv,2016,19536,1645,2016-01,2016-12
accepted_monthly_revenue_rows_shards/accepted_monthly_revenue_rows_2017.csv,2017,20010,1687,2017-01,2017-12
accepted_monthly_revenue_rows_shards/accepted_monthly_revenue_rows_2018.csv,2018,20494,1730,2018-01,2018-12
accepted_monthly_revenue_rows_shards/accepted_monthly_revenue_rows_2019.csv,2019,20936,1759,2019-01,2019-12
accepted_monthly_revenue_rows_shards/accepted_monthly_revenue_rows_2020.csv,2020,21279,1788,2020-01,2020-12
accepted_monthly_revenue_rows_shards/accepted_monthly_revenue_rows_2021.csv,2021,21686,1825,2021-01,2021-12
accepted_monthly_revenue_rows_shards/accepted_monthly_revenue_rows_2022.csv,2022,22197,1870,2022-01,2022-12
accepted_monthly_revenue_rows_shards/accepted_monthly_revenue_rows_2023.csv,2023,22746,1921,2023-01,2023-12
accepted_monthly_revenue_rows_shards/accepted_monthly_revenue_rows_2024.csv,2024,23228,1959,2024-01,2024-12
accepted_monthly_revenue_rows_shards/accepted_monthly_revenue_rows_2025.csv,2025,23608,1971,2025-01,2025-12
accepted_monthly_revenue_rows_shards/accepted_monthly_revenue_rows_2026.csv,2026,9855,1971,2026-01,2026-05
