period,market,accepted_rows,symbols,status
2015Q1,TWSE,828,828,covered
2015Q2,TWSE,893,893,covered
2015Q3,TWSE,838,838,covered
2015Q4,TWSE,923,923,covered
2016Q1,TWSE,853,853,covered
2016Q2,TWSE,911,911,covered
2016Q3,TWSE,864,864,covered
2016Q4,TWSE,937,937,covered
2017Q1,TWSE,871,871,covered
2017Q2,TWSE,928,928,covered
2017Q3,TWSE,884,884,covered
2017Q4,TWSE,954,954,covered
2018Q1,TWSE,892,892,covered
2018Q2,TWSE,944,944,covered
2018Q3,TWSE,909,909,covered
2018Q4,TWSE,972,972,covered
2019Q1,TWSE,915,915,covered
2019Q2,TWSE,965,965,covered
2019Q3,TWSE,923,923,covered
2019Q4,TWSE,987,987,covered
2020Q1,TWSE,930,930,covered
2020Q2,TWSE,981,981,covered
2020Q3,TWSE,933,933,covered
2020Q4,TWSE,1008,1008,covered
2021Q1,TWSE,946,946,covered
2021Q2,TWSE,1000,1000,covered
2021Q3,TWSE,957,957,covered
2021Q4,TWSE,1033,1033,covered
2022Q1,TWSE,965,965,covered
2022Q2,TWSE,1023,1023,covered
2022Q3,TWSE,977,977,covered
2022Q4,TWSE,1059,1059,covered
2023Q1,TWSE,989,989,covered
2023Q2,TWSE,1044,1044,covered
2023Q3,TWSE,1007,1007,covered
2023Q4,TWSE,1077,1077,covered
2024Q1,TWSE,1025,1025,covered
2024Q2,TWSE,1069,1069,covered
2024Q3,TWSE,1042,1042,covered
2024Q4,TWSE,1078,1078,covered
2025Q1,TWSE,1059,1059,covered
2025Q2,TWSE,1077,1077,covered
2025Q3,TWSE,1079,1079,covered
2025Q4,TWSE,1078,1078,covered
2026Q1,TWSE,1078,1078,covered
